APP_ID,TITLE,DEVELOPER,SCORE
com.cars.android,Cars.com – New & Used Vehicles,Cars.com,4.678674
com.stuzo.chevron,Chevron,Chevron Mobility,4.7573924
com.carfax.consumer,CARFAX Find Used Cars for Sale,"CARFAX, Inc",4.2525434
com.autozone.mobile,AutoZone - Auto Parts & Repair,"AutoZone, Inc.",4.653822
com.autolist.autolist,Autolist: Used Car Marketplace,"Autolist, Inc.",4.456956
com.paybyphone,PayByPhone,PayByPhone Technologies Inc .,4.15134
com.shell.sitibv.motorist.america,Shell US & Canada,Shell Information Technology International B.V.,4.3850975
com.advanceauto.mobile.commerce.dist,Advance Auto Parts,"Advance Auto Parts, Inc.",4.691916
com.peace.Speedometer,Speedometer,Peace,4.3960395
com.carvana.carvana,Carvana: Buy/Sell Used Cars,Carvana,4.146597
com.innova.rs2,RepairSolutions2,Innova Electronics Corporation,4.5920615
com.google.android.projection.gearhead,Android Auto,Google LLC,4.092924
com.keyconnect.android,KeyConnect Digital Car Key,Apponfire,4.2719426
com.ebay.motorsapp,"eBay Motors: Parts, Cars, more",eBay Mobile,4.1137724
com.carmax.carmax,CarMax: Used Cars for Sale,"CarMax Enterprise Services, LLC",3.7383502
com.nissan.mynissan,MyNISSAN®,"Nissan North America, Inc.",3.9112904
com.driivz.mobile.android.evgo.driver,EVgo,EVgo,4.5
com.usaa.mobile.android.safedriving,USAA SafePilot,USAA,4.1844316
group.flowbird.mpp,Flowbird Parking,Flowbird,3.568282
com.carfax.mycarfax,CARFAX Car Care App,"CARFAX, Inc",4.715492
com.bsro.fcac,My Firestone,Firestone Complete Auto Care (FCAC),3.3796296
com.ovz.carscanner,Car Scanner ELM OBD2,0vZ,4.6845126
com.garmin.android.apps.gecko,Garmin Drive™,Garmin,3.5820029
com.fixdapp.two,FIXD - Vehicle Health Monitor,FIXD,4.7143497
com.drivingapp.licencetest,DMV Permit Test - Driving Test,Funzilla Studio,4.773913
com.dmvpracticetest.android,DMV Practice Test,Avance Digital,4.0300336
com.driveus.dmvapp,DMV Permit Practice test - car,Drive Buzz,4.780183
com.driversnote.driversnote,Mileage Tracker by Driversnote,Driversnote Mileage Tracker,4.5767636
dto.ee.dmv.genius,DMV Practice Test Genie 2023,Elegant E-Learning,4.659077
com.arity.routereport,Routely V1,"ARITY, LLC",3.2954545
com.dmv.app,DMV Practice Test Pro 2023,PPXTech,4.8
com.drivetime.MobileOnline,DriveTime Used Cars for Sale,"DriveTime Automotive Group, Inc.",4.388235
com.DMV.DMV,CA DMV Official Mobile App,California Department of Motor Vehicles,3.910891
com.lemurmonitors.bluedriver,BlueDriver OBD2 Scan Tool,Lemur Vehicle Monitors,4.580067
com.boatsgroup.boattrader,Boat Trader,Boats Group LLC,4.465038
com.taxsee.taxsee,"maxim — order taxi, food",Taxi booking service and delivery,4.6833014
com.hyundaiusa.hyundai.digitalcarkey,Hyundai Digital Key,Hyundai Motor America,4.4731708
com.gpshopper.discounttire,Discount Tire,Reinalt-Thomas Corporation,3.89
com.stuzo.texaco,Texaco,Chevron Mobility,4.34
com.keyconnect.carremote,CarKey: Car Play & Digital Key,Phuket INC,3.75
com.bitspice.automate,AutoMate - Car Dashboard,BitSpice,3.8375635
com.obdautodoctor,OBD Auto Doctor car scanner,Creosys Ltd,4.1842103
com.carpart.classic,Car-Part.com Used Auto Parts,Car-Part.com,4.26
com.sunoco.sunoco,Sunoco: Pay fast & save,Sunoco,4.4103446
ai.metaverselabs.smartcar,Smart Car Key Connected,Metaverse Labs,0
org.eobdfacile.android,EOBD Facile: OBD 2 Car Scanner,Outils OBD Facile,4.48
com.tmobile.drive,SyncUP DRIVE ™,T-Mobile USA,4.3134327
com.vroom.app.android,Vroom: Used Cars Delivered,"Vroom, Inc.",4.497041
com.garmin.android.driveapp.dezl,dēzl™,Garmin,4.4375
com.carshield_mobile.app,CarShield,CarShield,3.57
