APP_ID,TITLE,DEVELOPER,SCORE
bible.kjvbible.audio.plan.verse,Holy Bible - KJV+Verse,BeWithGod,4.798349
com.kjv.bible.now,KJV Bible Now: Verse+Audio,Bible Now Group,4.8605723
kjv.bible.kingjamesbible,King James Bible - Verse+Audio,Ozion Tech,4.841689
com.audible.application,Audible: Audio Entertainment,"Audible, Inc.",4.572002
com.labs.merlinbirdid.app,Merlin Bird ID by Cornell Lab,Cornell Lab of Ornithology,4.936743
com.bible.hhb,Daily Bible - Verse+Audio,BeWithGod,4.8349514
com.overdrive.mobile.android.libby,"Libby, by OverDrive","OverDrive, Inc.",4.7669516
com.sirma.mobile.bible.android,YouVersion Bible App + Audio,Life.Church,4.9001193
com.bible.holybible.nkjv.dailyverse,Bible-Daily Bible Verse,Bíblia Offline,4.8346562
com.amazon.kindle,Amazon Kindle,Amazon Mobile LLC,4.6976514
wp.wattpad,Wattpad - Read & Write Stories,Wattpad.com,4.1147795
com.offline.bible,Bible Offline-KJV Holy Bible,Bíblia Offline,4.793472
com.fortnitebattleroyale.season8wallpaper,BATTLE ROYALE CHAPTER4 SEASON3,BR WALLPAPERS,3.6380951
com.ancestry.android.apps.ancestry,Ancestry: Family History & DNA,Ancestry.com,4.30566
com.read.goodnovel,"GoodNovel - Web Novel, Fiction",GoodNovel,4.105316
com.google.android.apps.books,Google Play Books & Audiobooks,Google LLC,4.7015386
uk.co.highapp.audiobook.ebooks,Languager; Learn Language Fast,Highapp Limited,4.61
bible.offline.kingjames.holy.kjv.bible.daily.verse,"Bible Daily, KJV Bible + Audio",WOOMBIT,4.9038463
com.mkt18ert.master,NoteMaster,冉静,3.7894738
com.hoopladigital.android,hoopla Digital,Midwest Tape LLC,4.7082796
com.solodevs.fortnitewallpapers,Battle Royale Wallpapers,Solo Devs .inc,4.4158416
com.changdu.ereader,MoboReader,MoboReader,3.9637306
com.whaledream.novel,Joyread,Joyread,4.4150248
com.goodreads,Goodreads,Goodreads,3.5299098
com.app.android.qw.readink,Readink-King of the Underworld,Readink,4.557648
io.mapgenie.diablo4map,MapGenie: Diablo 4 Map,Map Genie,4.7941175
com.bibliavalera.bibliavalera,La Santa Biblia,Clean Mobile Applications,4.7
app.hallow.android,Hallow: Prayer & Meditation,"Hallow, Inc.",4.7877026
com.ebooksstudio.free.books,Unlimited Books & Audiobooks,Books & Audiobooks Studio,4.542241
com.barnesandnoble.app,Barnes & Noble,Barnes & Noble,3.55
com.novel.fiction.read.story.book,Readict -One Click Away Novels,"VitalTek, Inc.",4.6270595
com.vitotechnology.sky.tonight.map.star.walk,Sky Tonight - Star Gazer Guide,Vito Technology,4.5363216
org.jw.jwlibrary.mobile,JW Library,Jehovah's Witnesses,4.8452067
com.deepl.mobiletranslator,DeepL Translate,DeepL SE,4.71855
com.mobisystems.msdict.embedded.wireless.collins.ee,Talk & Translate - Translator,MobiSystems,3.93
com.daily.holybiblelite,Daily Bible - KJV Holy Bible,LINKAMEN PTE. LTD.,4.92821
com.home.bible.verse.prayer,Bible Home - Daily Bible Study,Bible Home,4.8058434
com.colt,GALATEA: Novels & Audiobooks,Inkitt GmbH,4.286974
com.prankcall.fakecalling.huggywuggy,Prank Call for Huggy Wuggy,Champ Developers Ltd,4.01
com.cliffweitzman.speechify2,Speechify Text to Speech (TTS),Speechify - Text To Speech | Dyslexia Reading,4.411406
net.bitbible.es,BitBiblia (pantalla bloqueada),BitBible,4.4745765
com.novel.eromance.ugs,eRomance-Romance,HALOFUN PTE. LTD.,4.776699
org.readera,ReadEra – book reader pdf epub,READERA LLC,4.8179207
org.familysearch.mobile,FamilySearch Tree,FamilySearch International,4.6483817
com.dreame.reader,Dreame,Dreame Media,4.3078613
com.zhangyun.bravo,Bravonovel - Fictions & Webnov,Lovenovel,3.9842272
com.joyreading.wehear,Wehear - Audiobooks & Stories,STAR READING LIMITED,4.401518
com.qidian.Int.reader,Webnovel,Cloudary,4.039747
kjv.holy.bible.kingjames,Daily Bible: Holy Bible KJV,Daily Bible : Daily Verses and Prayers,4.8102293
net.bitbible.en,"BitBible (Lockscreen, English)",BitBible,4.1
