APP_ID,TITLE,DEVELOPER,SCORE
us.zoom.videomeetings,Zoom - One Platform to Connect,zoom.us,4.188531
com.indeed.android.jobsearch,Indeed Job Search,Indeed Jobs,4.6873627
com.azure.authenticator,Microsoft Authenticator,Microsoft Corporation,4.6576896
com.google.android.apps.dynamite,Google Chat,Google LLC,4.1030693
com.microsoft.teams,Microsoft Teams,Microsoft Corporation,4.6719337
com.ubercab.driver,Uber - Driver: Drive & Deliver,"Uber Technologies, Inc.",4.5437045
com.linkedin.android,LinkedIn: Jobs & Business News,LinkedIn,4.260872
com.doordash.driverapp,DoorDash - Dasher,DoorDash,4.27988
com.adpmobile.android,ADP Mobile Solutions,"ADP, INC.",4.4325933
com.duosecurity.duomobile,Duo Mobile,Duo Security LLC,3.0704672
com.workday.workdroidapp,Workday,"Workday, Inc.",4.1539474
com.ziprecruiter.android.release,Job Search by ZipRecruiter,"ZipRecruiter, Inc.",4.824214
com.adobe.scan.android,"Adobe Scan: PDF Scanner, OCR",Adobe,4.7626715
com.squareup,Square Point of Sale: Payment,"Square, Inc.",4.7555313
com.Slack,Slack,Slack Technologies Inc.,3.6269088
com.paylocity.paylocitymobile,Paylocity Mobile,Paylocity,3.8285098
com.bpmobile.iscanner.free,iScanner - PDF Scanner App,BP Mobile LLC,4.4771967
com.dayforce.mobile,Dayforce,Dayforce,4.186066
com.shopify.mobile,Shopify - Your Ecommerce Store,Shopify Inc.,3.8926082
com.shiftsmart.workerapp,Shiftsmart Partner,Shiftsmart,3.985755
com.grubhub.driver,Grubhub for Drivers,Grubhub,4.4371533
com.cisco.webex.meetings,Webex Meetings,"Cisco Systems, Inc.",4.4831586
com.lyft.android.driver,Lyft Driver,"Lyft, Inc.",3.6375902
com.walmart.sparkdriver,Spark Driver,Walmart,4.1165576
com.google.android.apps.meetings,Google Meet (original),Google LLC,4.057315
com.fiverr.fiverr,Fiverr - Freelance Service,Fiverr,4.6512837
com.paypal.merchant.client,PayPal Business,PayPal Mobile,4.250305
com.dotloop.mobile,dotloop,Zillow,4.696429
com.ups.mobile.android,UPS Mobile,UPS,3.8691106
com.fedex.ida.android,FedEx Mobile,FedEx,4.6165175
com.recovermessages.restoredeletedtext.recoverdata,Recover WA Deleted Messages,Vidow™,3.94
com.instaworkmobile,Instawork: Be your own boss,Instawork,4.374541
com.intuit.qbmoney,QuickBooks Money,Intuit Inc,4.628242
com.walmart.squiggly,Me@Walmart,Walmart,4.7202125
net.itx.paychex,Paychex Flex,"Paychex, Inc",3.814893
com.joinhomebase.homebase.homebase,Employee Schedule & Time Clock,Homebase Team Management,4.355993
com.facebook.pages.app,Meta Business Suite,"Meta Platforms, Inc.",4.3436046
com.kronos.dimensions.enterprise,UKG Dimensions,Kronos Incorporated,4.172548
com.documentscan.simplescan.scanpdf,Document Scan: PDF scanner,TrustedOffice,4.5706215
com.tvscreencasting.screencast.screenmirroring,"Cast Phone to TV, Chromecast",Generation z apps,3.871795
com.amazon.sellermobile.android,Amazon Seller,Amazon Mobile LLC,4.0955286
com.staplesconnect.app.twa,Staples Connect,"Staples, Inc.",3.79
com.language.translator.golingo.memriselingo.translation.translateall,Translate: Language Translator,iGlobe Code Store,4.2376237
com.bg.flyermaker,"Flyers, Poster Maker, Design",Apps You Love,4.6817427
us.zoom.pwa.twa,Zoom for Chrome - PWA,zoom.us,3.9780564
com.translate.all.language.translator.dictionary.voice.translation,Translate: Language Translator,Think Shot Inc,4.06
com.glassdoor.app,Glassdoor | Jobs & Community,Glassdoor Inc.,4.331468
com.swipejobs.jobstack.worker,JobStack | Find a Job | Find T,"PeopleReady, Inc.",3.9515374
com.squareup.invoicesapp,Square Invoices: Invoicing App,"Square, Inc.",4.7899923
com.paycor.perform,Paycor Mobile,"Paycor, Inc.",3.8998609
