APP_ID,TITLE,DEVELOPER,SCORE
com.bumble.app,Bumble: Dating & Friends app,Bumble Holding Limited,3.9789813
com.tinder,Tinder Dating app. Meet People,Tinder,3.7075598
com.badoo.mobile,Badoo: Dating. Chat. Meet.,Badoo,4.0055776
co.hinge.app,Hinge Dating App: Meet People,"Hinge, Inc.",3.5401957
com.maybeyou,Dating and chat - Maybe You,Evermatch,4.019553
com.hily.app,Hily: Dating app. Meet People.,Hily Corp.,4.3702297
com.evermatch,Dating and Chat - Evermatch,Evermatch,4.0603013
ru.fotostrana.sweetmeet,Dating and Chat - SweetMeet,SweetMeet,4.008429
com.match.android.matchmobile,"Match Dating: Chat, Date, Meet","Match Group, LLC",3.2732382
com.free.hookup.dating.apps.wild,"Wild: Hook up, Meet, Dating Me",Wild Limited,4.5622144
com.ihappydate,Dating with singles - iHappy,ihappydate,3.9940712
enterprises.dating.boo,Boo: Dating & Friends App,"Boo Enterprises, Inc.",4.0920286
com.match.android.stir,Stir - Single Parent Dating,"Match Group, LLC",3.9843588
com.okcupid.okcupid,"OkCupid: Dating, Love & Fun",okcupid.com,3.5079284
com.mason.wooplus,WooPlus - Dating App for Curvy,Dating Apps by Oasis,4.46632
com.affinityapps.chispa,Chispa: Dating App for Latinos,Chispa Dating,4.2521424
com.udates,Once: Perfect Match Dating App,Xeanco Ltd,3.6780963
co.feeld,Feeld: Meet Couples & Singles,Feeld Ltd.,3.8505535
com.affinityapps.blk,BLK Dating: Meet Black Singles,BLK Dating,4.2429733
com.hookupapps.benaughty,Naughty Hookup & Dating App,Naughty Dating App,4.370861
com.zoosk.zoosk,Zoosk - Social Dating App,Zoosk Inc.,3.3493247
com.crush.magicmatch,Crush,MAGICMATCH PTE. LTD.,2.3670886
com.panda.likerro,Dating and chat - Likerro,STONECAST VENTURES LLC,4.511278
com.eharmony,eharmony dating & real love,eHarmony.com,3.1645648
com.affinityapps.twozerofour,Upward: Christian Dating App,"Affinity Apps, LLC",3.584369
com.coffeemeetsbagel,Coffee Meets Bagel Dating App,Coffee Meets Bagel,3.6745083
com.onlyspark,Dating and Chat - Only Spark,Red Panda App,4.25
com.appspartner.flirtme,FlirtMe – Flirt & Chat App,Appspartner B.V.,4.5916667
com.fwbhookup.xpal,FWB Hookup & NSA Dating: XFun,XFun LTD,4.4098363
com.threesome.swingers.threefun,3Fun: Threesome Couples Dating,3Fun Limited,4.18529
com.mate1se.edate,eDate: Spin A Date,Mate1 Social Enterprises,3.72
com.flirty.momms.casual.locals,MommsPlay Casual Locals 30+,MommsPlay App,3.875
com.infostream.seekingarrangement,Seeking,W8 Tech Limited,3.8053145
com.twosteps.twosteps,2Steps: Dating App & Chat,PSP PROSOCIALPLATFORM LTD,4.347826
com.dating.android,"Dating.com™: Chat, Meet People",DMM SOLUTIONS INC.,2.993205
kr.jungrammer.randomchat,Random Chat (Stranger Chat),gaga.chat,3.29
com.dating.curvyvibes,Dating and Chat - Curvy Vibes,Red Panda App,4.24
com.cupichat.android,"CUPI CHAT: dating, flirt, meet",MatchLab,3.8814814
com.cupidmedia.wrapper.bbwcupid,BBWCupid: BBW Dating Plus Chat,Cupid Media,4.206731
com.cupidmedia.wrapper.interracialcupid,InterracialCupid: Mixed Dating,Cupid Media,4.3411765
com.cupidmedia.wrapper.filipinocupid,FilipinoCupid: Filipino Dating,Cupid Media,4.3848796
com.flirtini,"Flirtini - Chat, Flirt, Date",Xymara LTD,3.927027
app.threesome.dating,Threesome Swingers App - 3way,Threesome Dating & Hookup Apps,4.600993
com.algebealchat.app,جي بي واتساب,Amoory Apps,4.230769
com.hitperformance.whatsflirt,Whatsflirt – Chat and Flirt,Hit Performance B.V.,4.668317
com.tabooapp.dating,Y Hookup App FWB Adult dating,Exposed - Gossip Wheel Production,4.401786
com.hookup.dating.bbw.wink,BBW Dating Hookup App: BBWink,Hookup Apps to Hook up Local Dating,4.6368423
com.appspartner.iflirts,iFlirts – Flirt & Chat,Appspartner B.V.,3.8091717
com.cougardating.cougard,Cougar Dating & Hook Up App,Cougar & Hookup Apps,4.0052633
com.nextbotmod.garrysmod,nextbot mod for Gmod,Hazem ribhi Moh'D,3.4117646
