APP_ID,TITLE,DEVELOPER,SCORE
cn.danatech.xingseus,PictureThis - Plant Identifier,Glority Global Group Ltd.,4.656635
com.duolingo,Duolingo: language lessons,Duolingo,4.482962
plant.identification.flower.tree.leaf.identifier.identify.cat.dog.breed.nature,NatureID - Plant Identifier,AIBY Inc.,4.335805
com.myplantin.app,PlantIn: Plant Identification,PlantIn,4.3259573
com.babbel.mobile.android.en,Babbel - Learn Languages,Babbel,4.654957
com.headway.books,Headway: 15-Min Book Summaries,Books Made Easy Corp,4.319699
com.joytunes.simplypiano,Simply Piano: Learn Piano Fast,Simply (formerly JoyTunes),4.550127
com.tocaboca.tocahairsalon4,Toca Hair Salon 4,Toca Boca,3.8095238
com.zigazoo.zigazoo,Zigazoo Kids,Zigazoo,3.7846153
org.pbskids.video,PBS KIDS Video,PBS KIDS,4.2901554
com.learnlanguage.languagelearning.app2022,Lingutown - Learn Languages,Ocean Float Mobile,4.1525426
com.scaleup.plantid,Plant App - Plant Identifier,ScaleUp,4.6099854
com.mojang.minecraftedu,Minecraft Education,Mojang,4.1123066
com.conceptivapps.blossom,Blossom - Plant Identifier,Conceptiv Apps,4.622665
org.plantnet,PlantNet Plant Identification,PlantNet,4.3979154
com.wonder,Elevate - Brain Training Games,Elevate  Labs,4.5966635
com.PYOPYO.StarTracker,Star Tracker - Mobile Sky Map ,PYOPYO Studio,4.5974274
com.noctuasoftware.stellarium_free,Stellarium Mobile - Star Map,Stellarium Labs,4.7222223
com.glority.pictureinsect,Picture Insect: Bug Identifier,Next Vision Limited,4.4130125
com.remind101,Remind: School Communication,Remind101,4.384641
app.dogo.com.dogo_android,Dogo — Puppy and Dog Training,Dogo,4.562
com.fasttanslator.appm,Translate now Photo translator,Morgan Likue,4.573407
com.dmvwrittentest.android,DMV Written Test: DMV PERMIT,DMV Written Test,4.7354813
mobi.abcmouse.academy_goo,ABCmouse.com,"Age of Learning, Inc.",3.9312139
com.duolingo.literacy,Learn to Read - Duolingo ABC,Duolingo,4.38
com.memrise.android.memrisecompanion,Memrise AI Language Learning,Memrise,4.5803266
no.mobitroll.kahoot.android,Kahoot! Play & Create Quizzes,Kahoot!,4.672326
kr.co.smartstudy.babyshark_android_googlemarket,Pinkfong Baby Shark: Kid Games,The Pinkfong Company,3.6193295
com.miga.world,Miga Town: My World,"XiHe Digital (GuangZhou) Technology Co., Ltd.",4.414977
net.wordbit.enes,WordBit Inglés,WordBit,4.609475
com.tocaboca.tocakitchen,Toca Kitchen,Toca Boca,3.6410573
com.instructure.candroid,Canvas Student,Instructure,4.6344075
plant.identification.snap,LeafSnap Plant Identification,Appixi,3.0059347
org.inaturalist.seek,Seek by iNaturalist,iNaturalist,3.6656628
com.moymer.falou,Falou - Fast language learning,Moymer,4.730196
com.novakids.busylifeworld,YoYa: Busy Life World,YoYa World,3.8713968
com.yousician.yousician,Yousician: Learn Guitar,Yousician Ltd.,4.1353135
com.quizlet.quizletandroid,Quizlet: Languages & Vocab,Quizlet Inc.,4.43975
com.sagosago.World.googleplay,Sago Mini World: Kids Games,Sago Mini,4.0482316
com.t11.skyviewfree,SkyView® Lite,Terminal Eleven,4.3320093
com.microblink.photomath,Photomath,"Photomath, Inc.",4.5814176
com.getepic.Epic,Epic: Kids' Books & Reading,Epic! Creations Inc,4.3105383
com.translate.language.voice.translator.learn.languages,All Language Voice Translate,UM Apps Studio,
com.cappital.prageru,PragerU,PragerU,3.877551
com.classdojo.android,ClassDojo,ClassDojo,4.7762585
air.com.rosettastone.mobile.CoursePlayer,"Rosetta Stone: Learn, Practice",Rosetta Stone Ltd,4.663808
co.brainly,Brainly – Homework Math Solver,Brainly,4.322543
com.beanstack,Beanstack Tracker,"Zoobean, Inc.",4.6545925
com.kinderlime.dev,Procare: Childcare App,Procare Solutions,4.852396
com.fantasy.star.inour.sky,Star Roam Sky Map Planet,Findout World Inc,4.2908587
