APP_ID,TITLE,DEVELOPER,SCORE
com.wbd.stream,"Max: Stream HBO, TV, & Movies","WarnerMedia Global Digital Services, LLC",4.6190476
com.tubitv,Tubi - Movies & TV Shows,Tubi TV,4.77424
com.netflix.mediaclient,Netflix,"Netflix, Inc.",4.3222313
com.disney.disneyplus,Disney+,Disney,4.471583
com.wallpaper4khd.lite,Wallpaper 4K HD,SuperSwold,4.2376876
com.roku.remote,The Roku App (Official),Roku Inc.,4.6680956
tv.pluto.android,Pluto TV - Live TV and Movies,"Pluto, Inc.",3.9272096
com.kick.mobile,Kick: Live Streaming,Kick: Live Streaming,4.287815
com.peacocktv.peacockandroid,Peacock TV: Stream TV & Movies,Peacock TV LLC,4.5445585
com.mistplay.mistplay,MISTPLAY: Play to Earn Rewards,MISTPLAY,4.111185
com.amazon.avod.thirdpartyclient,Amazon Prime Video,Amazon Mobile LLC,4.219391
com.cbs.app,Paramount+ | Peak Streaming,"CBS Interactive, Inc.",4.1781645
com.hulu.plus,Hulu: Stream TV shows & movies,Disney,4.543857
com.lie.detector.test.prank.scan.truthtest,Lie Detector Test Prank - Scan,SOKAR,4.4345236
com.affinity.rewarded_play,Rewarded Play: Earn Gift Cards,"Influence Mobile, Inc.",4.290804
com.google.android.apps.youtube.kids,YouTube Kids,Google LLC,4.325855
tv.twitch.android.app,Twitch: Live Game Streaming,"Twitch Interactive, Inc.",4.396538
com.justplay.app,JustPlay - Earn or Donate,JustPlay GmbH,4.3091536
com.google.android.apps.youtube.unplugged,YouTube TV: Live TV & more,Google LLC,4.117157
com.lie.detector.test.pank.truthtest.liedetector.scan,Lie Detector Test: Prank App,DkTech inc.,4.631783
com.plexapp.android,Plex: Stream Movies & TV,"Plex, Inc.",4.3989553
ai.character.app,Character AI - Chat Ask Create,Character.AI,4.661602
com.skibidi.skibidi.toilet.prankcall,Skibydi Toilet Video Call,DINO Global LTD,4.625
com.crunchyroll.crunchyroid,Crunchyroll,"Crunchyroll, LLC",4.5844345
top.athenaa.athena,Athena,Rocket Propellant,3.5496182
com.zpp.music.equalizer,Equalizer Pro,Maude Green,4.617647
mobi.ifunny,iFunny - cool memes & videos,iFunny Inc.,4.0343637
com.univision.prendetv,"ViX: TV, Deportes y Noticias","TelevisaUnivision Interactive, Inc.",4.0229263
me.zepeto.main,"ZEPETO: Avatar, Connect & Play",Naver Z Corporation,4.4259257
com.microsoft.xboxone.smartglass,Xbox,Microsoft Corporation,4.5068417
com.pranksounds.appglobaltd,"Haircut prank, air horn & fart",DINO Global LTD,3.3430657
com.newleaf.app.android.victor,ReelShort,NewLeaf Publishing,3.424
com.amazon.imdb.tv.mobile.app,Amazon Freevee,Amazon Mobile LLC,4.0323577
com.bydeluxe.d3.android.program.starz,STARZ,"Starz Entertainment, LLC",4.5521064
com.habit.step.money.water.sweat.now.tracker,Habit Gift - Reward for Habit,dehua.liu,4.403377
com.fungamesforfree.colorfy,Colorfy: Coloring Book Games,Fun Games For Free,4.0490503
com.codewaystudios.facedance,Face Dance: AI Photo Animator,Codeway Dijital,3.9991174
com.blizzard.messenger,Battle.net,"Blizzard Entertainment, Inc.",4.2182484
com.scee.psxandroid,PlayStation App,PlayStation Mobile Inc.,3.9299483
com.valvesoftware.android.steam.community,Steam,Valve Corporation,3.0232382
com.chat.master.prank.master.game,Chat Master: Prank Story,DINO Global LTD,4.86774
com.tapchamps.tap,TC: Play Games & Earn Rewards,TAPCHAMP,4.0513496
com.mwm.procolor,Color Pop - Fun Coloring Games,MWM - Music and creative apps for Android,4.289659
com.airhorn.funny.prank.sounds,Air Horn: Funny Prank Sounds,Braly JSC,4.04
com.hottrend.skibiditoilet.series,Skibydi Series,DINO Global LTD,4.686347
com.bgnb.pockettoon,Pockettoon,KELING  TECHNOLOGY  LIMITED,3.971698
com.vizio.vue.launcher,VIZIO Mobile,VIZIO,3.6353002
com.broken.screen.funny.pranks,Broken Screen 4K Funny Pranks,Braly JSC,4.3069305
com.gunsimulator.shotgun.prank.sounds,Gun Simulator: Real Gun Sounds,Braly JSC,4.271845
com.sling,Sling TV: Live TV + Freestream,"Sling TV, L.L.C.",3.5304544
