APP_ID,TITLE,DEVELOPER,SCORE
com.pazugames.avatarworld,Avatar World: City Life,Pazu Games,4.6930695
com.tocaboca.tocalifeworld,Toca Life World: Build a Story,Toca Boca,4.291416
com.google.android.apps.youtube.kids,YouTube Kids,Google LLC,4.325855
com.tocaboca.tocakitchen2,Toca Kitchen 2,Toca Boca,4.0619135
com.tutotoons.app.princesses,Princesses - Enchanted Castle,TutoTOONS,4.2475247
com.facebook.talk,Messenger Kids – The Messaging,"Meta Platforms, Inc.",3.7998476
org.pbskids.gamesapp,PBS KIDS Games,PBS KIDS,4.297581
com.budgestudios.googleplay.PawPatrolRescueWorld,PAW Patrol Rescue World,Budge Studios,3.8247128
com.rvappstudios.kids.coloring.book.color.painting,Coloring Games: Color & Paint,RV AppStudios,4.2900763
com.tocaboca.tocahairsalon4,Toca Hair Salon 4,Toca Boca,3.8095238
org.videolan.vlc,VLC for Android,Videolabs,4.0967503
com.synthesia.synthesia,Synthesia,Synthesia LLC,3.9320388
com.zigazoo.zigazoo,Zigazoo Kids,Zigazoo,3.7846153
com.kgs.housedesigner,House Designer : Fix & Flip,Karate Goose Studio,4.6937137
com.tutotoons.app.fluvsies.free,Fluvsies - A Fluff to Luv,TutoTOONS,4.169379
com.budgestudios.HelloKittyNailSalon,Hello Kitty Nail Salon,Budge Studios,3.7806392
org.pbskids.video,PBS KIDS Video,PBS KIDS,4.2901554
com.lego.legobuildinginstructions,LEGO® Builder,LEGO System A/S,4.6330185
com.WildWorks.RyansTag,Tag with Ryan,WildWorks,3.9027557
com.orange.coloring.learn.kids,Coloring & Learn,Orange Studios Games,4.1848016
com.sinyee.babybus.world,Baby Panda World,BabyBus,4.338558
air.com.hypah.io.slither,slither.io,Lowtech Studios,3.9510372
com.mojang.minecraftedu,Minecraft Education,Mojang,4.1123066
com.orange.kidspiano.music.songs,Piano Kids - Music & Songs,Orange Studios Games,4.379518
com.tutotoons.app.lolsurprisediscohouse,L.O.L. Surprise! Disco House,TutoTOONS,4.0615835
com.rvappstudios.baby.toddler.kids.games.learning.activity,Kids Games: For Toddlers 3-5,RV AppStudios,4.61
com.gamesforgirlsfree.highschoolbffs,High School BFFs: Girls Team,Teenage Fashion Dress Up,4.5125
com.libii.paperdollcastle,Paper Princess's Dream Castle,Libii HK Limited,4.1096773
com.iz.tizi.royal.princess.dollhouse.life.games.home.design.world.my.wonder.town,Tizi Town: My Princess Games,IDZ Digital Private Limited,4.2376237
com.yasapets.hospital,Yasa Pets Hospital,Yasa Ltd,3.9827917
com.YovoGames.dentist,Children's doctor : dentist,YovoGames,3.8798628
com.psv.lol.surprise.beauty_salon,L.O.L. Surprise! Beauty Salon,Hippo Kids Games,4.6887755
com.libii.frozenworld,Paper Princess's Fantasy Life,Libii HK Limited,4.19
com.sinyee.babybus.taxi,Baby Panda's School Bus,BabyBus,3.9405098
com.sinyee.babybus.icecream,Little Panda's Ice Cream Game,BabyBus,4.173554
com.budgestudios.googleplay.MiraculousMIR,Miraculous Life,Budge Studios,4.3230767
com.tutotoons.app.floofmypethouse,Floof - My Pet House,TutoTOONS,4.181818
com.sinyee.babybus.marketIII,Panda Games: Town Home,BabyBus,3.91
com.ahaworld.ahaworld,Aha World: Create Stories,Aha World Ltd.,3.4356437
wolfoo.spa.beautysalon.hairsalon.hairstyle.fashion,Lucy: Makeup and Dress up,Wolfoo LLC,3.8765433
com.mamara.bakery,Little Panda: Sweet Bakery,BabyBus,4.12
com.tutotoons.app.kikififipetbeautysalon.free,Kiki & Fifi Pet Beauty Salon,TutoTOONS,3.8863637
com.PepiPlay.PepiHospital,Pepi Hospital: Learn & Care,Pepi Play,3.8272982
mobi.abcmouse.academy_goo,ABCmouse.com,"Age of Learning, Inc.",3.9312139
com.tutotoons.app.animalhairsalonaustralia.free,Animal Hair Salon Australia,TutoTOONS,3.9173553
com.tutotoons.app.bunnsies,Bunnsies - Happy Pet World,TutoTOONS,4.33
com.budgestudios.googleplay.HotWheelsUnlimited,Hot Wheels Unlimited,Budge Studios,4.0457697
com.duolingo.literacy,Learn to Read - Duolingo ABC,Duolingo,4.38
com.tutotoons.app.smolsies2,Smolsies 2 - Cute Pet Stories,TutoTOONS,4.168317
com.peppapig.worldofpeppapig_g,World of Peppa Pig: Kids Games,Entertainment One,3.4786208
