APP_ID,TITLE,DEVELOPER,SCORE
com.squareup.cash,Cash App,"Square, Inc.",4.5931487
com.paypal.android.p2pmobile,"PayPal - Send, Shop, Manage",PayPal Mobile,4.22932
com.venmo,Venmo,"PayPal, Inc.",4.178503
com.onedebit.chime,Chime – Mobile Banking,Chime,4.54149
com.zellepay.zelle,Zelle,"Early Warning Services, LLC",3.8223333
com.google.android.apps.walletnfcrel,Google Wallet,Google LLC,4.241567
com.konylabs.capitalone,Capital One Mobile,"Capital One Services, LLC",4.61958
com.google.android.apps.nbu.paisa.user,Google Pay: Save and Pay,Google LLC,4.035277
com.creditkarma.mobile,Intuit Credit Karma,"Credit Karma, LLC",4.721816
com.chase.sig.android,Chase Mobile,JPMorgan Chase,4.361614
com.dave,Dave - Banking & Cash Advance,"Dave, Inc",4.292737
com.hellobrigit.Brigit,Brigit: Borrow & Build Credit,Brigit,4.634039
com.infonow.bofa,Bank of America Mobile Banking,Bank of America,4.6341033
com.truebill,Rocket Money - Bills & Budgets,Rocket Money - Bills & Budgets,4.37592
com.phonevalley.progressive,Progressive,Progressive Insurance,4.6600413
finance.empower,Empower: Instant Cash Advance.,Empower Finance,4.730169
com.experian.android,Experian,Experian,4.7421665
com.wf.wellsfargomobile,Wells Fargo Mobile,Wells Fargo Mobile,4.789985
com.propel.ebenefits,"Providers: EBT, Mobile Banking",Propel Inc,4.7639313
com.meetalbert,Albert: Banking on you,Albert Corp.,4.2995615
com.remitly.androidapp,Remitly: Send Money & Transfer,Remitly,4.81704
com.statefarm.pocketagent,State Farm®,State Farm Insurance,4.7129226
com.activehours,EarnIn: Your Money in Advance,Activehours Inc.,4.5890965
com.citi.citimobile,Citi Mobile®,Citibank N.A.,4.7494035
com.creditonebank.mobile,Credit One Bank Mobile,"Credit One Bank, N.A.",4.5574446
gpdw.olliv.monarch.ga,Olliv – Crypto you can trust,"GPD Holdings, LLC",4.09901
com.discoverfinancial.mobile,Discover Mobile,Discover Financial Services,4.657218
com.westernunion.android.mtapp,Western Union Send Money Now,Western Union Android Apps,4.599873
com.moneylion,MoneyLion: Go-to Money App,MoneyLion Inc.,4.4872675
com.greendotcorp.go2bank,GO2bank: Mobile banking,Green Dot,4.5315356
com.statefarm.dssm,Drive Safe & Save™,State Farm Insurance,4.1140037
com.geico.mobile,GEICO Mobile - Car Insurance,GEICO Insurance,4.5939636
com.usbank.mobilebanking,U.S. Bank Mobile Banking,U.S. Bank Mobile,4.6523237
com.klovercredit.android_app,Klover - Instant Cash Advance,Klover Holdings,4.0890574
com.brightcapital.app,Bright - Crush Your Card Debt,Bright Money,4.6336775
com.onefinance.one,ONE - Mobile Banking,"ONE Finance, Inc.",4.7322984
de.empfohlen,testerup - earn money,aestimium GmbH,3.2911074
com.americanexpress.android.acctsvcs.us,Amex,American Express,4.1131644
com.varomoney.bank,Varo Bank: Mobile Banking,"Varo Bank, N.A.",4.733351
com.sofi.mobile,SoFi: Mobile Banking App,"Social Finance, Inc.",4.0839114
com.DailyPay.DailyPay,DailyPay On-Demand Pay,DailyPay Inc,4.658561
com.robinhood.android,Robinhood: Stocks & Crypto,Robinhood,4.0446835
com.kikoff,Kikoff - Build Credit Quickly,"Kikoff, Inc.",4.5180373
com.meetcleo.cleo,Cleo: Budget & Cash Advance,Cleo AI,4.0333333
com.adp.wiselymobile,myWisely: Mobile Banking,"ADP, INC.",4.1304812
com.schwab.mobile,Schwab Mobile,The Charles Schwab Corporation,3.314565
com.wallet.crypto.trustapp,Trust: Crypto & Bitcoin Wallet,"DApps Platform, Inc.",4.547193
co.mona.android,"Crypto.com Buy BTC, ETH, Shib",Crypto Technology Holdings Limited,4.534861
com.coinbase.android,Coinbase: Buy Bitcoin & Ether,Coinbase Android,4.0901213
com.syf.mysynchrony,MySynchrony,Synchrony,3.7497873
