APP_ID,TITLE,DEVELOPER,SCORE
com.tocaboca.tocalifeworld,Toca Life World: Build a Story,Toca Boca,4.291416
com.tocaboca.tocakitchen2,Toca Kitchen 2,Toca Boca,4.0619135
com.tutotoons.app.princesses,Princesses - Enchanted Castle,TutoTOONS,4.2475247
org.pbskids.gamesapp,PBS KIDS Games,PBS KIDS,4.297581
com.rvappstudios.kids.coloring.book.color.painting,Coloring Games: Color & Paint,RV AppStudios,4.2900763
com.tutotoons.app.fluvsies.free,Fluvsies - A Fluff to Luv,TutoTOONS,4.169379
com.orange.coloring.learn.kids,Coloring & Learn,Orange Studios Games,4.1848016
com.sinyee.babybus.world,Baby Panda World,BabyBus,4.3422294
com.tutotoons.app.lolsurprisediscohouse,L.O.L. Surprise! Disco House,TutoTOONS,4.0615835
com.rvappstudios.baby.toddler.kids.games.learning.activity,Kids Games: For Toddlers 3-5,RV AppStudios,4.61
com.libii.paperdollcastle,Paper Princess's Dream Castle,Libii HK Limited,4.1096773
com.iz.tizi.royal.princess.dollhouse.life.games.home.design.world.my.wonder.town,Tizi Town: My Princess Games,IDZ Digital Private Limited,4.2376237
com.yasapets.hospital,Yasa Pets Hospital,Yasa Ltd,3.9827917
com.PulsSoftware.WS,Word Search - Word Search Game,AAA Fun,4.287037
com.psv.lol.surprise.beauty_salon,L.O.L. Surprise! Beauty Salon,Hippo Kids Games,4.6887755
com.libii.frozenworld,Paper Princess's Fantasy Life,Libii HK Limited,4.19
com.sinyee.babybus.taxi,Baby Panda's School Bus,BabyBus,3.9405098
com.sinyee.babybus.icecream,Little Panda's Ice Cream Game,BabyBus,4.173554
com.tutotoons.app.floofmypethouse,Floof - My Pet House,TutoTOONS,4.181818
com.sinyee.babybus.marketIII,Panda Games: Town Home,BabyBus,3.91
com.ahaworld.ahaworld,Aha World: Create Stories,Aha World Ltd.,3.4356437
wolfoo.spa.beautysalon.hairsalon.hairstyle.fashion,Lucy: Makeup and Dress up,Wolfoo LLC,3.8765433
com.mamara.bakery,Little Panda: Sweet Bakery,BabyBus,4.12
com.PepiPlay.PepiHospital,Pepi Hospital: Learn & Care,Pepi Play,3.8272982
com.tutotoons.app.animalhairsalonaustralia.free,Animal Hair Salon Australia,TutoTOONS,3.9173553
com.tutotoons.app.bunnsies,Bunnsies - Happy Pet World,TutoTOONS,4.33
com.tutotoons.app.smolsies2,Smolsies 2 - Cute Pet Stories,TutoTOONS,4.168317
com.bt42.dianacleanup,Diana Cleanup Game,DT2021,3.68
com.peppapig.worldofpeppapig_g,World of Peppa Pig: Kids Games,Entertainment One,3.4786208
com.sinyee.babybus.marketII,Little Panda's Town: Mall,BabyBus,4.14
com.tutotoons.app.sweetbabygirlcleanup5.free,Sweet Baby Girl Cleanup 5,TutoTOONS,3.8455393
com.psv.vlad_and_nikita.supermarket,Vlad & Niki Supermarket game,Hippo Kids Games,4.728782
mycity.friendshouse,My City : My Friend's House,My Town Games Ltd,4.1128206
com.playtoddlers.urbancitystories.free,Stories World™ Urban City,SUBARA,4.1003346
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,"Spin Master, Ltd.",3.8146214
com.tutotoons.app.fluvsiespocketworld,Fluvsies Pocket World,TutoTOONS,4.03681
com.tutotoons.app.smolsiesmycutepethouse.free,Smolsies - My Cute Pet House,TutoTOONS,4.141815
com.PepiPlay.PepiShopping,Pepi Super Stores: Fun & Games,Pepi Play,3.7604938
com.rvappstudios.abc_kids_toddler_tracing_phonics,ABC Kids - Tracing & Phonics,RV AppStudios,4.1743894
com.tutotoons.app.kikififipetfriends.free,Kiki & Fifi Pet Friends,TutoTOONS,4.0824175
com.rvappstudios.baby.games.piano.phone.kids,Baby Games: Piano & Baby Phone,RV AppStudios,4.3440366
mytown.home,My Town Home: Family Playhouse,My Town Games Ltd,4.183876
com.sinyee.babybus.care,Baby Panda Care,BabyBus,3.868709
com.sinyee.babybus.princessII,Little Panda: Princess Makeup,BabyBus,3.860606
com.pepiplay.pepihospital2,Pepi Hospital 2: Flu Clinic,Pepi Play,3.8
com.sesameworkshop.alphabetkitchen.play,Sesame Street Alphabet Kitchen,Sesame Workshop,3.8271186
com.sinyee.babybus.recommendapp.global,Baby Panda's Kids Play,BabyBus,4.392157
com.tutotoons.app.junglefloof,Jungle Floof - Island Pet Care,TutoTOONS,4.04
com.YovoGames.babycare,Baby Care : Toddler games,YovoGames,3.632967
com.tutotoons.app.kpopsiescuteunicornpets,Kpopsies - Hatch Baby Unicorns,TutoTOONS,4.0814195
