APP_ID,TITLE,DEVELOPER,SCORE
com.dragonplus.happyhospital,Happy Hospital: Doctor ASMR,DragonPlus Game Limited,4.304805
io.supercent.burgeridle,Burger Please!,Supercent,4.5326214
com.crazy.block.robo.monster.cliffs.craft,Block Crazy Robo World,Craft Trending Studio,3.4848485
com.dynlwpp.atur129,Drawing Carnival,CrazyLabs LTD,4.446281
com.cdtg.ragdoll.playground,Ragdoll Playground,Reggae True Love,3.808642
com.markergame.swordmelter,Sword Melter,Rollic Games,4.135514
com.gameloft.android.ANMP.GloftDYHM,Disney Magic Kingdoms,Gameloft SE,4.4682727
com.cdgames.fidget3d,Fidget Toys 3D - Antistress,Fidget Dev,4.092014
com.cclaw.diypaperdoll,DIY Paper Doll,CrazyLabs LTD,4.568027
com.tree.idle.catsnackbar,Cat Snack Bar : Cat Food Games,TREEPLLA,4.7395864
com.newnormalgames.phonecasediy,Phone Case DIY,CrazyLabs LTD,4.355707
tr.com.apps.drill.and.collect,Drill and Collect - Idle Mine,Apps Mobile Games,4.4344263
es.socialpoint.DragonCity,Dragon City Mobile,Social Point,4.7126184
com.apetrus.makeup,Makeup Kit - Color Mixing,CrazyLabs LTD,4.5431943
com.lumber.inc,Idle Lumber Empire,Game Veterans,4.1518683
com.paradyme.solarsmash,Solar Smash,Paradyme Games,4.5599375
com.fty.pwasher,PowerWasherMan - toilet clean,FTY LLC.,4.355932
com.fennik.facemask.diy.makeover,DIY Makeover: ASMR Mask 3D,DINO Global LTD,4.2727275
com.paurau.MakeHer,Move People,Supersonic Studios LTD,4.032135
com.creepy.johnpork.fakecall,John Pork In Video Call,DINO Global LTD,4.25
com.fc.p.F4.Skibidi.toilet.road.fight,Skiibydi Toilet Merge Fight,MAGIC GAME STUDIO,3.5714285
com.TrofyGames.DroneAttackSRP,Drone Strike Military War 3D,VOODOO,4.5954022
com.luckyskeletonstudios.idlebanktycoon,Idle Bank Tycoon: Money Empire,Kolibri Games,4.5290422
com.cdglobal.human.workshop,Ragdoll Human Workshop,Alphabets Games,3.1588786
com.candywriter.bitlife,BitLife - Life Simulator,"Candywriter, LLC",4.4007263
com.pd.vehiclemasters,Vehicle Masters,SayGames Ltd,4.2814236
com.gun.lightsaber.scifigunsounds,Gun Simulator & Lightsaber,DINO Global LTD,4.7377777
com.build.vip.realm.city,Craft World - Master Block 3D,Master Craft Game 3D,3.407923
com.udonistemple.magicalmixing,Mystical Mixing,CrazyLabs LTD,4.579519
com.xoyuizk.glsh122,DIY Locker 3D,CrazyLabs LTD,4.4339623
com.gk.hoarding,Hoarding and Cleaning,FTY LLC.,3.9359267
com.weloadin.dessertdiy,Dessert DIY,CrazyLabs LTD,4.415775
com.grit.fftc,Rich Inc. Business & Idle Life,IDSIGames,4.478324
com.studio27.MelonPlayground,Melon Sandbox,playducky.com,3.3930042
com.hwqgrhhjfd.idlefastfood,Eatventure,Lessmore UG,4.5196676
com.idle.egg.factory.inc.tycoon,Idle Egg Factory,Solid Games,4.540284
com.SnackPlay.LunchBoxReady,Lunch Box Ready,CrazyLabs LTD,4.4977226
com.crazylabs.acrylic.nails,Acrylic Nails!,CrazyLabs LTD,4.3227887
com.sdpgames.sculptpeople,Sculpt people,CrazyLabs LTD,4.233658
com.tiltingpoint.oregon.trail.settlers,The Oregon Trail: Boom Town,Tilting Point,4.0358667
com.wixot.pressurewashing,Pressure Washing Run,Rollic Games,3.8336222
com.decor.life,Decor Life - Home Design Game,SayGames Ltd,4.393229
com.cdtg.gunsound,Gun Sound Simulator,CDT Basic Games,3.9306931
com.matchingham.judgementday,Judgment Day: Angel of God,Matchingham Games,4.216964
com.game.minicraft.village,MiniCraft Village,RabbitStudio,3.99
cat.game.liftapp,My Cat - Virtual pet simulator,Etalon Ltd,4.4164968
com.playstrom.color.pages,Color Page ASMR,SayGames Ltd,4.562852
com.episodeinteractive.android.catalog,Episode - Choose Your Story,Episode Interactive,4.287153
com.freak.stan,Freaky Stan: The Life Story,Hypercell Games,4.189485
farm.parking.game,Farm Jam: Animal Parking Game,Appsyoulove,4.500926
