APP_ID,TITLE,DEVELOPER,SCORE
com.bloodsugar.healthly.lifestyle,Blood Sugar,P & L Studio,4.495082
com.dreams.sweetdream,Sweet Dream - Sleep Sounds,Glennie M Wood,4.3333335
com.planetfitness,Planet Fitness Workouts,Planet Fitness,3.887953
com.appsinnova.android.bloodpressure,Health Tracker,APPS INNOVA,4.357143
app.feelsy,Feelsy: Stress Anxiety Relief,Gototop LTD,4.0729213
menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,Leap Fitness Group,4.9177313
bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure App,QR Code Scanner.,4.263343
com.alltrails.alltrails,"AllTrails: Hike, Bike & Run","AllTrails, LLC",4.7802644
fitness.home.workout.weight.loss,JustFit - Lazy Workout,Enerjoy,4.5773196
com.fitbit.FitbitMobile,Fitbit,Fitbit LLC,4.0722284
com.gen.workoutme,BetterMe: Health Coaching,BetterMe Limited,4.241994
splits.splitstraining.dothesplits.splitsin30days,Splits Training in 30 Days,Leap Fitness Group,4.8001647
loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,Leap Fitness Group,4.855478
io.yuka.android,Yuka - Food & cosmetic scan,Yuka App,4.7869635
loseweight.weightloss.workout.fitness,Lose Weight at Home in 30 Days,Simple Design Ltd.,4.896726
com.calm.android,"Calm - Sleep, Meditate, Relax","Calm.com, Inc.",4.4680414
com.google.android.apps.fitness,Google Fit: Activity Tracking,Google LLC,3.995444
ipnossoft.rma.free,BetterSleep: Sleep tracker,Ipnos Software,4.4789443
com.myfitnesspal.android,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.",4.0687304
com.water.reminder.tracker,My Water Reminder: Tracker App,Water Tracker Reminder,4.7070765
com.ecw.healow,healow,eClinicalWorks LLC,4.5573087
org.iggymedia.periodtracker,Flo Ovulation & Period Tracker,Flo Health Inc.,4.606527
running.tracker.gps.map,Running App - GPS Run Tracker,Leap Fitness Group,4.862609
com.health.blood.pressure.heart.android,Blood Pressure - Take Pill,XuDongTeam,4
heartratemonitor.heartrate.pulse.pulseapp,Heart Rate Monitor - Pulse App,QR Code Scanner.,4.8582644
stepcounter.pedometer.stepstracker,Step Counter - Pedometer,Hitchhike Tech,4.8756347
com.withfeelingai.test,Paradot: Virtual Being to Chat,WITHFEELING.AI,3.8761063
bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,QR Code Scanner.,4.3490567
net.beginners.weight.loss.workout.women.yoga.go,Yoga-Go: Yoga For Weight Loss,WELLTECH APPS LIMITED,4.67853
homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,Leap Fitness Group,4.926192
com.finch.finch,Finch: Self Care Pet,Finch Care Public Benefit Corporation,4.893586
bloodpressure.bloodpressureapppro.bloodpressureapp,Blood Pressure App Pro,Hitchhike Tech,4.210756
com.basenjiapps.breeze,Breeze: mental health,Basenji Apps,3.8574562
com.jolly.android.steps,Jolly Steps,StepstoHealth,4.446429
fitnesscoach.workoutplanner.weightloss,Fitness Coach: Weight Loss,Leap Fitness Group,4.9241877
com.garmin.android.apps.connectmobile,Garmin Connect™,Garmin,4.625989
com.onepeloton.callisto,Peloton - Fitness & Workouts,"Peloton Interactive, Inc",4.2701325
com.strava,"Strava: Run, Bike, Hike",Strava Inc.,4.4574122
com.fun.android.steps,Fun Steps,StepstoHealth,4.5405407
com.getpaired.app,Paired: Couples & Relationship,Paired - Relationship Advice & Quiz for Couples,4.4071856
in.sweatco.app,Sweatcoin,Sweatco Ltd,4.3561625
com.heartrate.bloodpressuretracker,Blood Pressure Tracker,Super Effect Studio,4.0857143
com.getsomeheadspace.android,Headspace: Mindful Meditation,"Headspace for Meditation, Mindfulness and Sleep",4.48605
sixpack.sixpackabs.absworkout,Six Pack in 30 Days,Leap Fitness Group,4.9177628
com.bloodpressureapp.bloodpressureapppro.healthmonitor,Blood Pressure: Health App,Lisak Studio,4.3240743
co.thefabulous.app,Fabulous Daily Routine Planner,TheFabulous,4.3413415
com.fitnow.loseit,Calorie Counter by Lose It!,"FitNow, Inc.",4.4446244
musclebooster.workout.home.gym.abs.loseweight,Muscle Booster Workout Planner,WELLTECH APPS LIMITED,4.7608266
com.fourtechnologies.mynetdiary.ad,Calorie Counter - MyNetDiary,MyNetDiary.com,4.7128534
ai.replika.app,Replika: My AI Friend,"Luka, Inc",3.103199
