APP_ID,TITLE,DEVELOPER,SCORE
com.ubercab,Uber - Request a ride,"Uber Technologies, Inc.",4.658865
me.lyft.android,Lyft,"Lyft, Inc.",3.983134
com.waze,Waze Navigation & Live Traffic,Waze,4.3603387
net.sharewire.parkmobilev2,ParkMobile - Find Parking,"Parkmobile, LLC",4.7224855
com.maps.voice.navigation.traffic.gps.location.route.driving.directions,"GPS, Maps, Voice Navigation & ",AppStar Studios,3.967111
phonetracker.locationtracker.gpstracker.familylocator,Phone Tracker: Phone Locator,QR Code Scanner.,4.568
com.jvstudios.gpstracker,"GPS Maps, Navigation & Traffic",JVSTUDIOS,4.1764917
com.thetransitapp.droid,Transit: Bus & Subway Times,"Transit, Inc.",4.5423865
com.tranzmate,Moovit: Bus & Train Schedules,Moovit,4.4089303
com.appscourt.livestreetview.gps.maps.travelnavigation.apps,Live Satellite View GPS Map,Appscourt,3.359375
com.goxradar.hudnavigationapp21,"Radar GO-X: HUD, GPS, Maps",duff hl studio,4.5795918
com.lutech.phonetracker,Phone Tracker - Phone Locator,Lutech Ltd,4.2727275
com.passportparking.mobile,Passport Parking,"Passport Labs, Inc.",3.633259
gps.speedometer.digihud.odometer,GPS Speedometer - Odometer App,Trusted Android Apps- PDF Reader & Documents Tools,4.4884615
onxmaps.offroad,onX Offroad: Trail Maps & GPS,onXmaps,3.7546012
gps.speedometer.gpsspeedometer.odometer,Speedometer: GPS Speedometer,Simple Design Ltd.,4.909091
sinet.startup.inDriver,inDrive. Rides with fair fares,® SUOL INNOVATIONS LTD,4.622966
com.voice.gps.driving.directions.gps.navigation.maps.location,Voice GPS & Driving Directions,Delta Raza Studio,4.4848485
com.miczon.android.webcamapplication,Earth Camera Online,Easy Language Translator,3.9142857
com.maps.android.trafficradarapp,"Map Drive - Radar, Speedometer",TikiP Studio,4.340909
ee.mtakso.client,Bolt: Request a Ride,Bolt Technology,4.7466664
com.gpsnavigation.maps.gpsroutefinder.routemap,GPS Navigation: Road Map Route,Multi Tech Apps,4.5334687
com.radarsontheroad.map.kozalakug,Location Tracker - GPS Locator,Kozalak UG,4.263158
com.parkwhiz.driverApp,ParkWhiz -- Parking App,ParkWhiz Inc,4.2993693
com.spothero.spothero,SpotHero - Find Parking,SpotHero,4.392901
com.negroni.android.radar.maps.app,"Radar Map, Radar Detector, HUD",Negroni,4.54
org.rajman.neshan.traffic.tehran.navigator,نشان نقشه ومسیریاب فارسیNeshan,نقشه و مسیریاب نشان,4.3488774
com.navigationstreet.areafinder.livemaps.earthview.free,GPS Satellite Maps: Live Earth,Digital App Valley,4.1576357
com.mta.mobileapp,MTA TrainTime,MTA (Metropolitan Transportation Authority),4.7336283
com.live.streetview.map,Street View Live Map Satellite,Priceless Apps Dev,4.08
com.live.voice.navigation.driving.directions.gps.maps,"GPS, Maps Driving Directions",Voice Navigation Apps,4.336364
com.liveearthmap.streetviewmap.webcams.earthcam.liveweathermap.onlinecams,Street View - Live Camera,Satellite World Maps,
com.roadie.drive.android.app,Roadie Driver,"Roadie, Inc.",3.9284627
com.njtransit.njtapp,NJ TRANSIT Mobile App,NJ TRANSIT,4.1540985
com.coulombtech,ChargePoint,"ChargePoint, Inc.",4.421475
com_3d.earth.map.live.earth.satellite.world.map.navigator,Earth Map Satellite Live View,Synlox Studio,3.61
com.didiglobal.passenger,DiDi Rider: Affordable rides,DiDi Global,4.18401
com.webcam.streaming.live,Live Street Camera View,Quality App Zone,3.3465347
shandy.radar.map.hud.navigation,"Radar, HUD, Map, Speed Camera",Shandy Applications,4.76
com.sixdays.truckerpath,Trucker Path: Truck GPS & Fuel,Trucker Path,4.130596
com.mudflap.mudflap,Mudflap,Mudflap,4.6702127
com.waymo.carapp,Waymo One,Waymo LLC,3.49
com.webmarketing.exxonmpl,Exxon Mobil Rewards+,ExxonMobil,4.5619307
com.locator.gpstracker.phone,GPS Tracker: GPS Phone Locator,Mizonoguchi Store,4.3366337
com.nyctrans.it,MyTransit NYC Subway & MTA Bus,MyTransit™,4.7267895
com.digitalspeedometer.odometer.speedometer.speed,Speedometer: GPS Speed Tracker,ZipoApps,4.252427
taxi.android.client,FREENOW,Intelligent Apps GmbH,3.973301
com.Avenza,Avenza Maps: Offline Mapping,Avenza Systems Inc.,4.6494393
com.live.earth.map.satellite.earth.landmarks.live.earth.cam,Earth Map: Live Satellite View,Glitz Studio,3.37
com.live.earthmap.streetview.livecam,Live Earth Map - World Map 3D,"Pixamattic Inc -Live Earth Cameras, GPS Navigation",4.019802
