APP_ID,TITLE,DEVELOPER,SCORE
com.spotify.music,Spotify: Music and Podcasts,Spotify AB,4.3784533
com.pandora.android,Pandora - Music & Podcasts,Pandora,4.1197824
com.audiomack,Audiomack: Music Downloader,Audiomack Music Apps,4.751677
com.soundcloud.android,SoundCloud: Play Music & Songs,SoundCloud,4.6873684
com.sirius,"SiriusXM: Music, Sports & News",Sirius XM Radio Inc,4.7536654
com.jksol.voicerecodeing,Voice Recorder,Calendar Date,4.3853045
com.radio.pocketfm,Pocket FM: Audio Series,Pocket FM Corp.,4.502371
com.mwm.sampler,Beat Maker Pro - DJ Drum Pad,MWM - Music and creative apps for Android,4.6738286
tunein.player,"TuneIn Radio: News, Music & FM",TuneIn Inc,4.6872544
com.clearchannel.iheartradio.controller,"iHeart: Music, Radio, Podcasts","iHeartMedia, Inc.",4.591721
com.apple.android.music,Apple Music,Apple,3.8920047
com.mmm.trebelmusic,"TREBEL: Music, MP3 & Podcasts","M&M Media, Inc.",4.767372
com.shazam.android,Shazam: Music Discovery,Apple Inc.,4.8189325
com.bandlab.bandlab,BandLab – Music Making Studio,BandLab Technologies,4.603493
com.amazon.mp3,Amazon Music: Songs & Podcasts,Amazon Mobile LLC,3.2357526
volumebooster.soundspeaker.louder,Volume Booster - Sound Booster,360 Tool,4.812689
com.google.android.apps.youtube.music,YouTube Music,Google LLC,4.487069
ringtonesforandroidphonefree.ringtones.ringtonessongs.ringtonesapp,Ringtones for Android Phone,QR Code Scanner.,4.716418
com.starmakerinteractive.starmaker,StarMaker: Sing Karaoke Songs,STAR SHINE ENTERTAINMENT PTE. LTD.,4.5549564
com.easybrain.make.music,Groovepad - music & beat maker,Easybrain,4.676077
musicplayer.playmusic.audioplayer,"Music player, MP3 Player",Hitchhike Tech,4.7617135
com.scannerradio,Scanner Radio - Police Scanner,GordonEdwards.net LLC,4.5242424
com.synthesia.synthesia,Synthesia,Synthesia LLC,3.9320388
voicerecorder.audiorecorder.voice,Voice Recorder & Voice Memos,Simple Design Ltd.,4.9199257
com.agminstruments.drumpadmachine,Drum Pad Machine - beat maker,Easybrain,4.4481616
jbl.stc.com,JBL Headphones,"Harman Consumer, Inc.",4.3517323
com.touchtunes.android,TouchTunes: Live Bar JukeBox,Touchtunes Interactive Networks,3.4046006
com.toto.jcyj.mvmix,Offline Music Player - Mixtube,Mixtube Music player,4.5987053
com.mwm.piano,Piano - music & songs games,MWM - Music and creative apps for Android,4.5241117
com.volumebooster.bassboster.sound.eq.equalizer.virtualizer.speaker,Volume Booster - Sound Booster,iKame Applications - Begamob Apps,4.3211007
net.melodify.android,ملودیفای | مرجع تخصصی آهنگ,Melodify,3.7525253
com.wing.audio,Audio Master - Ringtone Maker,April Hughes,4.264151
musicplayer.musicapps.music.mp3player,Music Player & MP3 Player,InShot Inc.,4.8141026
com.dywx.larkplayer,Music Player & MP3:Lark Player,"Lark Player Studio - Music, MP3 & Video Player",4.543817
com.mwm.stems,Stemz: AI Tool for Musicians,MWM - Music and creative apps for Android,4.3490567
com.bose.bosemusic,Bose Music,Bose Corporation,4.1834006
com.radio.fmradio,Radio FM,RadioFM,4.5966835
com.edjing.edjingdjturntable,edjing Mix - Music DJ app,MWM - Music and creative apps for Android,4.563956
com.superbtools.free.online.offline.music.player,MP3 Music Downloader,Superb Tools For Android,4.709832
com.streema.simpleradio,Simple Radio: Live AM FM Radio,"Streema, Inc.",4.639255
com.bose.monet,Bose Connect,Bose Corporation,4.2695565
voicechanger.voiceeffects.soundeffects.voiceavatar,Voice Changer - Voice Effects,Dairy App & Notes & Audio Editor & Voice Recorder,4.415445
com.happymusic.free.mp3.song.downloader,Music Downloader- MP3 Download,Song HAPPY,4.849711
com.spotify.tv.android,Spotify - Music and Podcasts,Spotify AB,3.39
com.drum.muse.pad.bit,Beat Maker Beat Music Maker,RThronstudio,4.622951
com.tianxingjian.supersound,"Music Audio Editor, MP3 Cutter","Video Screen Recorder, Voice Audio Editor, Cut MP3",4.796529
com.media.bestrecorder.audiorecorder,Voice Recorder,"quality apps (recorder, weather, music)",4.837337
com.shaiban.audioplayer.mplayer,Music Player - MP3 Player,Apps10X,4.6845326
com.google.android.apps.podcasts,Google Podcasts,Google LLC,4.615757
com.musicplayer.music,Default Music Player,JAYAVELU V,4.423944
