APP_ID,TITLE,DEVELOPER,SCORE
com.novanews.android.localnews.en,Local News: Breaking & Latest,NEWSDELIVER LIMITED,4.183865
com.particlenews.newsbreak,NewsBreak: Local News & Alerts,Particle Media Inc.,4.6910686
police.scanner.radio.broadcastify.citizen,Police Scanner - Scanner Radio,"Police Scanner, Scanner Radio App",4.801618
com.opera.app.news.local,Local News: 24/7 Coverage,Opera,4.769231
com.novanews.android.globalnews,Global News - Breaking & Local,NEWSDELIVER LIMITED,4.4653463
com.opera.app.news,Opera News: breaking & local,Opera,4.532409
com.microsoft.amp.apps.bingnews,Microsoft Start: News & more,Microsoft Corporation,4.1676836
com.local.news.plus,Local News - Latest & Smart,EASE Group,4.282845
ma.safe.bnus,Breaking News US - Local News,Safe Apps Inc,4.4996214
ma.safe.bn,Breaking News: Local & Alerts,SAFE APPS,4.500223
com.weather.forecast.news,Local Weather & News - Radar,EASE Group,4.51
com.quora.android,Quora: the knowledge platform,"Quora, Inc.",4.620375
sp0n.citizen,Citizen: Local Safety Alerts,Sp0n Inc.,3.881539
com.podcast.podcasts,Podcast Player,Castbox.FM - Radio & Podcast & AudioBooks,4.644192
com.opera.app.news.us,Apex News: Breaking & Local,Opera,4.56314
com.homepage.news.android,Breaking News & Latest Stories,HomePage News,3.6507936
com.google.android.apps.magazines,Google News - Daily Headlines,Google LLC,4.1309886
com.fng.foxnation,FOX Nation: Celebrate America,"FOX News Network, LLC",4.0743055
com.beloud,Beloud: Local News & Opinions,Beloud.com,4.481132
jp.gocro.smartnews.android,SmartNews: Local Breaking News,"SmartNews, Inc.",3.9793835
com.cnn.mobile.android.phone,CNN Breaking US & World News,CNN,4.622849
com.fli.android.newsmaxapp,Newsmax,Newsmax Media,4.7041936
com.nytimes.android,The New York Times,The New York Times Company,4.3351684
com.yahoo.apps.yahooapp,"Yahoo - News, Mail, Sports",Yahoo,4.5285144
com.breakingnewsbrief.app,US News - Breaking News Brief,My Apply Apps,4.1164837
com.haystack.android,Haystack News: Local TV News,Haystack News,4.3561077
com.zumobi.msnbc,NBC News: Breaking News & Live,NBC News Digital LLC,4.12177
com.dailywire.thedailywire,DailyWire+,The Daily Wire,3.4111283
com.twcable.twcnews,Spectrum News: Local Stories,Charter/Spectrum,4.0815973
live.free.tv_us,"FREECABLE© TV App: Shows, News","TV App: News, TV Shows, TV Series & Moviesテレビ",4.691223
com.theepochtimes.news,The Epoch Times: Breaking News,Epoch Times Association Inc,4.7162704
com.ring.neighborhoods,Neighbors by Ring,Ring.com,4.6385007
com.news.local.best.us,LocalNews- Breaking and Latest,SmartHakuna,4.090909
com.abc.abcnews,ABC News: Stream Breaking News,Disney,3.6797175
io.sixminutes.breakingnews,6 Minutes Local Breaking News,6minutes Apps,4.37
com.medium.reader,Medium,A Medium Corporation,4.7029004
com.checkitt,Ground News,Snapwise Inc.,4.5380116
com.economist.lamarr,Economist,The Economist Newspaper,4.7177377
com.cellit.cellitnews.katv,KATV News,Sinclair Digital Interactive Solutions,4.02
com.newssynergy.komo,KOMO News Mobile,Sinclair Digital Interactive Solutions,3.31
com.cellit.cellitnews.ktul,Tulsa’s Channel 8 KTUL,Sinclair Digital Interactive Solutions,4.07
local.news.reader,Local News,Nostalgia Mobile Application Develop Team,4.714286
com.yahoo.mobile.client.android.yahoo,Yahoo News: Breaking & Local,Yahoo,3.722732
com.weathergroup.localnow,"Local Now: News, Movies & TV","Weather Group, LLC",3.6879432
com.washingtonpost.android,Washington Post,The Washington Post,4.3963404
sun.way2sms.hyd.com,"Way2News: News app, Short News",Way2News ( Formerly Way2SMS ),4.0925
com.cellit.cellitnews.wjar,WJAR NBC 10,Sinclair Digital Interactive Solutions,4.12
bbc.mobile.news.ww,BBC News,BBC Studios Limited,4.3476734
com.allbritton.wjla.abc7news,ABC7/WJLA,Sinclair Digital Interactive Solutions,3.92
com.imib.cctv,CGTN – China Global TV Network,CGTN,4.482993
