APP_ID,TITLE,DEVELOPER,SCORE
com.gear.android.proxy,Gear Proxy,hellodevservice,4.029412
com.icecream.android.grassproxy,Grass Proxy - Secure& Fast,YaNi Dev,4.0784316
com.codeway.chatapp,Ask AI - Chat with Chatbot,Codeway Dijital,4.5781894
com.xfinity.digitalhome,Xfinity,Comcast,3.6045048
com.logan.marsproxy,Mars Proxy-Fast and secure VPN,WATER LIVE NETWORK,4.3786407
com.ezt.pdfreader.pdfviewer,PDF Reader – PDF Viewer,EZTech Apps,4.4424777
qrcodereader.barcodescanner.scan.qrscanner,QR Scanner: Barcode Scanner,Simple Design Ltd.,4.7523894
com.adobe.reader,Adobe Acrobat Reader: Edit PDF,Adobe,4.5709743
com.intsig.camscanner,CamScanner - PDF Scanner App,CamSoft Information,4.8553977
com.microsoft.office.outlook,Microsoft Outlook,Microsoft Corporation,4.502258
com.hp.printercontrol,HP Smart,HP Inc.,4.1136994
com.microsoft.office.officehubrow,Microsoft 365 (Office),Microsoft Corporation,4.698606
com.appswing.qr.barcodescanner.barcodereader,QR Scanner - Barcode Scanner,Apps Wing,4.1476192
com.qrcodescanner.barcodereader.qrcode,QR Code Scanner & Barcode Read,QR & Barcode Scanner,4.3977695
com.smartwidgetlabs.chatgpt,AI Chat Open Assistant Chatbot,Smart Widget Labs Co Ltd,4.448424
com.teacapps.barcodescanner,QR & Barcode Reader,TeaCapps,4.613512
com.google.android.apps.docs.editors.docs,Google Docs,Google LLC,4.138337
com.maila.navin.vectors,Purify Cleaner,BOTHAN MOBILE US LIMITED,4.5940595
com.google.android.apps.subscriptions.red,Google One,Google LLC,4.2915745
ai.chat.gpt.bot,ChatOn - AI Chat Bot Assistant,AIBY Inc.,4.097561
com.dropbox.android,Dropbox: Secure Cloud Storage,"Dropbox, Inc.",4.4312277
com.google.android.apps.docs.editors.sheets,Google Sheets,Google LLC,4.07484
droom.sleepIfUCan,Alarmy - Alarm Clock Solution,Alarm Clock Alarmy,4.63104
com.grammarly.android.keyboard,Grammarly - Grammar Keyboard,"Grammarly, Inc.",4.3933134
com.google.android.calendar,Google Calendar,Google LLC,4.2024403
com.scaleup.chatai,AI Chatbot - Nova,ScaleUp,4.5301743
com.recoverall.filedata.device,All Recovery,Safie Lab,4.152381
com.google.android.apps.tasks,Google Tasks,Google LLC,4.4826574
com.dufftranslate.cameratranslatorapp21,"Duff Translate, Cam Translator",duff hl studio,3.9672132
com.att.shm,Smart Home Manager,"AT&T Services, Inc.",4.5540166
com.officedocument.word.docx.document.viewer,"Word Office - PDF, Docx, XLSX",iKame Applications - Begamob Global,4.039506
com.microsoft.office.word,Microsoft Word: Edit Documents,Microsoft Corporation,4.765621
alldocumentreader.office.viewer.filereader,All Document Reader - One Read,Simple Design Ltd.,4.8031745
com.file.miner.recovery.maall,File Miner & Recovery,Tiktok Downloader,4.0495048
com.hp.android.printservice,HP Print Service Plugin,HP Inc.,4.194427
com.atomczak.notepat,Notepad - simple notes,atomczak,4.5657687
com.apalon.myclockfree,Alarm Clock for Me,Apalon Apps,4.4536514
com.google.android.apps.googleassistant,Google Assistant,Google LLC,4.0199485
pdf.pdfreader.viewer.editor.free,PDF Reader - PDF Viewer,QR Code Scanner.,4.6346154
com.ai.chat.bot.aichat,Chat AI - AI Chatbot Assistant,SEA MOBILE LTD,4.4874716
com.unrollme,Unroll.Me - Email Cleanup,Unroll.Me,4.577106
com.docusign.ink,DocuSign - Upload & Sign Docs,DocuSign,4.649255
com.manager.vivacious.filicudi,Storm Cleaner Pro,Storm File Manager,4.285714
com.aol.mobile.aolapp,AOL: Email News Weather Video,AOL Inc.,4.289673
mega.privacy.android.app,MEGA,Mega Ltd,4.5289855
com.kitkats.qrscanner,QR & Barcode Scanner Generator,1MB,4.4162436
com.avg.cleaner,AVG Cleaner – Storage Cleaner,AVG Mobile,4.635218
com.okta.android.auth,Okta Verify,Okta Inc.,4.4572015
com.vcast.mediamanager,Verizon Cloud,Verizon Consumer Group,4.3150163
com.microsoft.appmanager,Link to Windows,Microsoft Corporation,3.7026668
