APP_ID,TITLE,DEVELOPER,SCORE
com.booking,Booking.com: Hotels and more,Booking.com Hotels & Vacation Rentals,4.5689287
com.hopper.mountainview.play,"Hopper: Hotels, Flights & Cars",Hopper Inc.,3.6840355
com.expedia.bookings,"Expedia: Hotels, Flights & Car",Expedia,4.461683
com.airbnb.android,Airbnb,Airbnb,4.468224
com.vrbo.android,Vrbo Vacation Rentals,Vrbo,4.7845993
com.google.earth,Google Earth,Google LLC,4.255412
com.upside.consumer.android,Upside: Cash Back - Gas & Food,Upside Services Inc.,4.5880017
com.aa.android,American Airlines,"American Airlines, Inc.",4.6234345
com.united.mobile.android,United Airlines,United Airlines,4.6871896
com.southwestairlines.mobile,Southwest Airlines,Southwest Airlines,4.647059
com.priceline.android.negotiator,"Priceline: Hotel, Flight & Car",priceline.com,4.7042413
com.relayrides.android.relayrides,Turo - Find your drive,Turo Inc.,4.907646
com.spirit.customerapp,Spirit Airlines,Spirit Airlines Inc.,4.707063
com.hilton.android.hhonors,Hilton Honors: Book Hotels,Hilton,4.55418
com.hcom.android,Hotels.com: Travel Booking,Hotels.com LP,4.061318
gov.dhs.cbp.pspd.mpc,Mobile Passport Control,U.S. Customs and Border Protection,4.6829104
com.marriott.mrt,Marriott Bonvoy™,Marriott International,4.787715
com.limebike,Lime - #RideGreen,"Neutron Holdings, Inc.",4.82613
com.disney.wdw.android,My Disney Experience,Disney,4.216483
com.flyfrontier.android,Frontier Airlines,Frontier Airlines,4.1939445
com.carnival.android,Carnival HUB,Carnival Corporation,4.579707
com.thedyrt.wayfinder,The Dyrt: Tent & RV Camping,The Dyrt,4.5132337
com.flightradar24free,Flightradar24 Flight Tracker,Flightradar24 AB,4.670144
com.alaskaairlines.android,Alaska Airlines - Travel,Alaska Airlines,4.710092
com.trivago,trivago: Compare hotel prices,trivago,4.456543
com.rccl.royalcaribbean,Royal Caribbean International,Royal Caribbean Cruises Ltd.,3.8107584
com.sygic.familywhere.android,Find my Phone - Family Locator,FAMILY LOCATOR LLC,4.1015935
com.disney.wdpro.dlr,Disneyland®,Disney,4.4500866
co.bird.android,Bird — Ride Electric,"Bird Rides, Inc.",4.745182
com.bah.r1smobile,Recreation.gov,"Booz Allen Hamilton, Inc.",4.789054
com.seaworld.mobile,SeaWorld,SeaWorld Parks & Entertainment Inc.,4.665535
com.jetblue.JetBlueAndroid,JetBlue - Book & manage trips,JetBlue Airways Corporation,4.6352763
com.gps.maps.me.city.navigation.metro.transit.navigation.live.traffic.weather,GPS Offline Maps & Navigation,RCSTUDIOAPPS,3.9940476
com.amtrak.rider,Amtrak,Amtrak,4.211927
com.valero.wholesale.valeropay,ValeroPay+,Valero Marketing and Supply Company,4.155738
com.sixflags.android,Six Flags,Six Flags Entertainment Corp.,4.06095
gov.nps.mobileapp,National Park Service,National Park Service,3.95
com.greyhound.mobile.consumer,Greyhound: Buy Bus Tickets,Greyhound Lines Inc,4.595209
com.google.android.apps.mapslite,Google Maps Go,Google LLC,4.348398
com.universalstudios.hollywoodresort,Universal Hollywood™ App,"NBCUniversal Media, LLC",3.7102804
com.rover.android,Rover - Dog Boarding & Walking,Rover.com,4.7492094
gbis.gbandroid,GasBuddy: Find & Pay for Gas,GasBuddy,4.082049
ctrip.english,"Trip.com: Book Flights, Hotels",Trip.com,4.551381
com.driving.guide.earth.navigationmap.trackingfree,Live Earth Maps GPS Navigation,Cloud Park,4.33
com.getyourguide.android,GetYourGuide: Tickets & Tours,GetYourGuide,4.8404994
com.hertz.android.digital,Hertz Car Rental,The Hertz Corporation,4.327392
com.speedway.mobile,Speedway Fuel & Speedy Rewards,Speedway LLC,4.532344
com.wyndhamhotelgroup.wyndhamrewards,Wyndham Hotels & Resorts,Wyndham Hotel Group,4.708416
com.google.android.apps.maps,Google Maps,Google LLC,4.053976
com.ehi.enterprise.android,Enterprise Car Rental,Enterprise Rent-A-Car,4.6615295
