APP_ID,TITLE,DEVELOPER,SCORE
com.cars.android,Cars.com – New & Used Vehicles,Cars.com,4.6795487
com.stuzo.chevron,Chevron,Chevron Mobility,4.7630095
com.carfax.consumer,CARFAX Find Used Cars for Sale,"CARFAX, Inc",4.2501493
com.autozone.mobile,AutoZone - Auto Parts & Repair,"AutoZone, Inc.",4.6573844
com.paybyphone,PayByPhone,PayByPhone Technologies Inc .,4.150262
com.shell.sitibv.motorist.america,Shell US & Canada,Shell Information Technology International B.V.,4.390021
com.autolist.autolist,Autolist: Used Car Marketplace,"Autolist, Inc.",4.4583335
com.advanceauto.mobile.commerce.dist,Advance Auto Parts,"Advance Auto Parts, Inc.",4.6954484
com.carvana.carvana,Carvana: Buy/Sell Used Cars,Carvana,4.1429453
com.google.android.projection.gearhead,Android Auto,Google LLC,4.0954866
com.peace.Speedometer,Speedometer,Peace,4.3960395
com.innova.rs2,RepairSolutions2,Innova Electronics Corporation,4.6013002
com.usaa.mobile.android.safedriving,USAA SafePilot,USAA,4.1714535
com.keyconnect.android,KeyConnect Digital Car Key,Apponfire,4.3193035
com.nissan.mynissan,MyNISSAN®,"Nissan North America, Inc.",3.898223
com.driivz.mobile.android.evgo.driver,EVgo,EVgo,4.4723926
com.carmax.carmax,CarMax: Used Cars for Sale,"CarMax Enterprise Services, LLC",3.7362463
com.ebay.motorsapp,"eBay Motors: Parts, Cars, more",eBay Mobile,4.111111
com.dmvpracticetest.android,DMV Practice Test,Avance Digital,3.9929907
group.flowbird.mpp,Flowbird Parking,Flowbird,3.638009
com.bsro.fcac,My Firestone,Firestone Complete Auto Care (FCAC),3.4120371
com.ovz.carscanner,Car Scanner ELM OBD2,0vZ,4.683254
com.dmv.app,DMV Practice Test Pro 2023,PPXTech,4.8333335
com.driversnote.driversnote,Mileage Tracker by Driversnote,Driversnote Mileage Tracker,4.5975103
com.garmin.android.apps.gecko,Garmin Drive™,Garmin,3.5635839
com.carfax.mycarfax,CARFAX Car Care App,"CARFAX, Inc",4.718372
com.drivingapp.licencetest,DMV Permit Test - Driving Test,Funzilla Studio,4.8060346
com.arity.routereport,Routely V1,"ARITY, LLC",3.3560605
com.fixdapp.two,FIXD - Vehicle Health Monitor,FIXD,4.711434
com.driveus.dmvapp,DMV Permit Practice test - car,Drive Buzz,4.7789493
dto.ee.dmv.genius,DMV Practice Test Genie 2023,Elegant E-Learning,4.6596828
com.DMV.DMV,CA DMV Official Mobile App,California Department of Motor Vehicles,3.910891
com.taxsee.taxsee,"maxim — order taxi, food",Taxi booking service and delivery,4.65
com.drivetime.MobileOnline,DriveTime Used Cars for Sale,"DriveTime Automotive Group, Inc.",4.393822
com.lemurmonitors.bluedriver,BlueDriver OBD2 Scan Tool,Lemur Vehicle Monitors,4.578771
com.keyconnect.carremote,CarKey: Car Play & Digital Key,Phuket INC,3.7821782
com.hyundaiusa.hyundai.digitalcarkey,Hyundai Digital Key,Hyundai Motor America,4.5072465
com.gpshopper.discounttire,Discount Tire,Reinalt-Thomas Corporation,3.88
com.boatsgroup.boattrader,Boat Trader,Boats Group LLC,4.468461
ai.metaverselabs.smartcar,Smart Car Key Connected,Metaverse Labs,0
