APP_ID,TITLE,DEVELOPER,SCORE
net.booksy.customer,Booksy for Customers,Booksy International sp. z o.o.,4.898615
com.sephora,Sephora: Buy Makeup & Skincare,"Sephora USA, Inc.",4.601666
com.ulta,Ulta Beauty: Makeup & Skincare,ULTA,4.4310966
com.ipsy.mobile.production,IPSY: Personalized Beauty,ipsy,4.692836
mirrorapp.lightmirror.beautymirror.makeupmirror,"Beauty Mirror, The Mirror App",Dairy App & Notes & Audio Editor & Voice Recorder,4.6407766
com.scentbird,Scentbird: Beauty Subscription,"Scentbird, Inc.",4.827006
com.sallybeauty.shop,SALLY BEAUTY,Sally Beauty Supply LLC.,4.5668736
com.arcsoft.perfect365,Perfect365 Makeup Photo Editor,"Perfect365, Inc.",4.282685
com.lajeuneandassociatesllc.barberchopdev,Barber Chop,"Lajeune & Associates, LLC",4.0051546
com.styleseat.promobile,StyleSeat: Book Hair & Beauty,Styleseat,4.7456417
com.hair_flutter,Hairstyle Try On: Bangs & Wigs,JYCoder,4.3486238
net.booksy.business,Booksy Biz: For Businesses,Booksy International sp. z o.o.,4.6644735
kynguyen.app.mirror,Mirror - Makeup and Shaving,simple_app,4.566116
com.netigen.bestmirror,Perfect Mirror,Netigen Tools,4.5328083
com.lyrebirdstudio.beauty,Beauty Makeup Editor & Camera,Lyrebird Studio,4.332215
haircolour.hairstyle.photoeditor.haircolorchanger,Hair Color Changer: Change you,Face & Body Tune Photo Editor SRL,3.7114427
beautyrooom.filtersforselfie.sweet.face.camera.selfies,Filters for Selfies,Beautyroom,3.18
com.marykay.skinsight.android.flavorProd,Mary Kay® Skin Analyzer,"Mary Kay, Inc.",4.24
com.studio360apps.mirror,Mirror,Studio 360 Apps,4.6242037
cam.sweet.selfie.effect.camera,"Beauty Camera - Selfie, Filter",Litter Penguin,4.44
com.standysoftware.colorstyle,Seasonal color analysis,Standy Soft,3.83
mmapps.mirror.free,Mirror Plus: Mirror with Light,"Digitalchemy, LLC",4.3726845
hairstyle.colorChanger.haircut_salon,Hair Makeover - modiface,JYCoder,4.5597014
com.selfiecamera.photolabeffect,Selfie Camera Photo Effect,Muhammad Sarfraz Apps,4.814815
photo.hd.video.beauty.camera,HD Camera for Android: 4K Cam,Easyelife,4.625
com.mirror.lightmirror.mirrorapp,Mirror App: Mirror Reflector,Tresor Tech,3.5384614
photoeditor.haircolorideas.haircolorchanger.hairstyles,Photo editor: Hair Color Ideas,LocG3,3.764706
app.foryou,"Face Massage, Skincare: forYou",forYou Development,4.617647
com.stylekorean.www,StyleKorean,stylekorean.com,3.590909
com.Fashion.Nail.Salon.Game.Manicure.And.Pedicure.App.Vex,Fashion Nail Salon Game,Beauty Mania Apps and Games,4.257426
com.glossgenius.GlossGeniusSaaS,GlossGenius,GlossGenius,4.48
com.colorwise.me.allseasons,My Best Colors,colorwise.me,4.36
maa.greenscreen_effect.background_changer,Video Background Changer,MAA FOR APPS,3.5913043
com.perfectcorp.amb,Artistry Virtual Beauty,Perfect Corp.,4.18
com.shortcutssoftware.mysalon.cookiecutters,Cookie Cutters,Shortcuts Software Pty Ltd,3.8295455
com.nerovero.beautycalculator,Beauty Calculator Pretty Scale,Firehawk,3.65
com.lomographic.vintage.camera.filters,Camera Filters and Effects,CA Publishing,3.939655
com.apstech.howolddoyoulooklike.app,How Old Do I Look - Guess Age,GlintTec Apps,3.9304347
com.photo.beauty.plus.filters.pictures,Filters for Pictures - Camera ,PHOTO BEAUTY PLUS,3.8474576
com.luckystars.hairstyles.offline,Girls Hairstyles Step by Step,Luckystars Studio,3.6666667
