APP_ID,TITLE,DEVELOPER,SCORE
bible.kjvbible.audio.plan.verse,Holy Bible - KJV+Verse,BeWithGod,4.829559
kjv.bible.kingjamesbible,King James Bible - Verse+Audio,Ozion Tech,4.8416996
com.kjv.bible.now,KJV Bible Now: Verse+Audio,Bible Now Group,4.8691945
com.audible.application,Audible: Audio Entertainment,"Audible, Inc.",4.571983
com.bible.hhb,Daily Bible - Verse+Audio,BeWithGod,4.8636365
com.labs.merlinbirdid.app,Merlin Bird ID by Cornell Lab,Cornell Lab of Ornithology,4.9321027
com.overdrive.mobile.android.libby,"Libby, by OverDrive","OverDrive, Inc.",4.7688
com.bible.holybible.nkjv.dailyverse,Bible-Daily Bible Verse,Bíblia Offline,4.837596
com.sirma.mobile.bible.android,YouVersion Bible App + Audio,Life.Church,4.9003215
com.fortnitebattleroyale.season8wallpaper,BATTLE ROYALE CHAPTER4 SEASON3,BR WALLPAPERS,3.6699028
com.amazon.kindle,Amazon Kindle,Amazon Mobile LLC,4.698299
wp.wattpad,Wattpad - Read & Write Stories,Wattpad.com,4.1140513
com.offline.bible,Bible Offline-KJV Holy Bible,Bíblia Offline,4.792686
com.ancestry.android.apps.ancestry,Ancestry: Family History & DNA,Ancestry.com,4.304128
com.read.goodnovel,"GoodNovel - Web Novel, Fiction",GoodNovel,4.0968127
com.google.android.apps.books,Google Play Books & Audiobooks,Google LLC,4.700709
com.whaledream.novel,Joyread,Joyread,4.419082
com.hoopladigital.android,hoopla Digital,Midwest Tape LLC,4.7084374
com.mkt18ert.master,NoteMaster,冉静,3.7413793
bible.offline.kingjames.holy.kjv.bible.daily.verse,"Bible Daily, KJV Bible + Audio",WOOMBIT,4.878261
uk.co.highapp.audiobook.ebooks,Languager; Learn Language Fast,Highapp Limited,4.61
com.solodevs.fortnitewallpapers,Battle Royale Wallpapers,Solo Devs .inc,4.43
com.goodreads,Goodreads,Goodreads,3.529219
com.changdu.ereader,MoboReader,MoboReader,3.980198
com.bibliavalera.bibliavalera,La Santa Biblia,Clean Mobile Applications,4.69
com.colt,GALATEA: Novels & Audiobooks,Inkitt GmbH,4.288711
com.mobisystems.msdict.embedded.wireless.collins.ee,Talk & Translate - Translator,MobiSystems,3.9306931
com.novel.fiction.read.story.book,Readict -One Click Away Novels,"VitalTek, Inc.",4.6280456
org.jw.jwlibrary.mobile,JW Library,Jehovah's Witnesses,4.8450913
io.mapgenie.diablo4map,MapGenie: Diablo 4 Map,Map Genie,4.837607
app.hallow.android,Hallow: Prayer & Meditation,"Hallow, Inc.",4.7866945
com.ebooksstudio.free.books,Unlimited Books & Audiobooks,Books & Audiobooks Studio,4.5375896
com.deepl.mobiletranslator,DeepL Translate,DeepL SE,4.7295084
com.sxxlib.mooreader,MooReader,Brandi Burnett,4.5346537
com.barnesandnoble.app,Barnes & Noble,Barnes & Noble,3.5
com.app.android.qw.readink,Readink-King of the Underworld,Readink,4.5533595
com.cliffweitzman.speechify2,Speechify Text to Speech Voice,Speechify - Text To Speech | Dyslexia Reading,4.4121737
com.vitotechnology.sky.tonight.map.star.walk,Sky Tonight - Star Gazer Guide,Vito Technology,4.532925
com.daily.holybiblelite,Daily Bible - KJV Holy Bible,LINKAMEN PTE. LTD.,4.9305935
net.bitbible.es,BitBiblia (pantalla bloqueada),BitBible,4.435484
