APP_ID,TITLE,DEVELOPER,SCORE
us.zoom.videomeetings,Zoom - One Platform to Connect,zoom.us,4.1842093
com.microsoft.teams,Microsoft Teams,Microsoft Corporation,4.6718802
com.azure.authenticator,Microsoft Authenticator,Microsoft Corporation,4.657689
com.indeed.android.jobsearch,Indeed Job Search,Indeed Jobs,4.6879888
com.google.android.apps.dynamite,Google Chat,Google LLC,4.109343
com.ubercab.driver,Uber - Driver: Drive & Deliver,"Uber Technologies, Inc.",4.543068
com.linkedin.android,LinkedIn: Jobs & Business News,LinkedIn,4.2592583
com.adpmobile.android,ADP Mobile Solutions,"ADP, INC.",4.4314256
com.doordash.driverapp,DoorDash - Dasher,DoorDash,4.283169
com.duosecurity.duomobile,Duo Mobile,Duo Security LLC,3.071372
com.workday.workdroidapp,Workday,"Workday, Inc.",4.153309
com.adobe.scan.android,"Adobe Scan: PDF Scanner, OCR",Adobe,4.764399
com.ziprecruiter.android.release,Job Search by ZipRecruiter,"ZipRecruiter, Inc.",4.8249617
com.squareup,Square Point of Sale: Payment,"Square, Inc.",4.7542515
com.cisco.webex.meetings,Webex Meetings,"Cisco Systems, Inc.",4.482846
com.paylocity.paylocitymobile,Paylocity Mobile,Paylocity,3.851074
com.Slack,Slack,Slack Technologies Inc.,3.6214876
com.bpmobile.iscanner.free,iScanner - PDF Scanner App,BP Mobile LLC,4.47787
com.shopify.mobile,Shopify - Your Ecommerce Store,Shopify Inc.,3.898892
com.grubhub.driver,Grubhub for Drivers,Grubhub,4.4321876
com.lyft.android.driver,Lyft Driver,"Lyft, Inc.",3.634716
com.fiverr.fiverr,Fiverr - Freelance Service,Fiverr,4.652354
com.walmart.sparkdriver,Spark Driver,Walmart,4.1261683
com.ups.mobile.android,UPS Mobile,UPS,3.8551369
com.fedex.ida.android,FedEx Mobile,FedEx,4.6172566
com.shiftsmart.workerapp,Shiftsmart Partner,Shiftsmart,3.9943342
com.dayforce.mobile,Dayforce,Dayforce,4.1994085
com.dotloop.mobile,dotloop,Zillow,4.708
com.paypal.merchant.client,PayPal Business,PayPal Mobile,4.260675
com.google.android.apps.meetings,Google Meet (original),Google LLC,4.056806
com.kronos.dimensions.enterprise,UKG Dimensions,Kronos Incorporated,4.1695094
net.itx.paychex,Paychex Flex,"Paychex, Inc",3.81373
com.instaworkmobile,Instawork: Be your own boss,Instawork,4.382822
com.walmart.squiggly,Me@Walmart,Walmart,4.719996
com.joinhomebase.homebase.homebase,Employee Schedule & Time Clock,Homebase Team Management,4.3603334
com.recovermessages.restoredeletedtext.recoverdata,Recover WA Deleted Messages,Vidow™,4.0495048
com.reportallusa.landglide,LandGlide,Real Estate Portal USA,4.2291994
com.intuit.qbmoney,QuickBooks Money,Intuit Inc,4.617816
com.language.translator.golingo.memriselingo.translation.translateall,Translate: Language Translator,iGlobe Code Store,4.245098
com.facebook.pages.app,Meta Business Suite,"Meta Platforms, Inc.",4.345652
