APP_ID,TITLE,DEVELOPER,SCORE
com.naver.linewebtoon,WEBTOON,WEBTOON ENTERTAINMENT,4.7486353
com.epicgame.battleroyaleseason6,Battle Royale Chapter4 Season3,EPiᴄ Games,3.863354
com.kodansha.kmanga,K MANGA,Kodansha Ltd.,3.3636363
com.marvel.unlimited,Marvel Unlimited,Marvel Comics,4.624144
com.vizmanga.android,VIZ Manga,Viz Media,4.4072165
com.tapastic,Tapas – Comics and Novels,Tapas Entertainment Inc.,4.3055353
jp.co.shueisha.mangaplus,MANGA Plus by SHUEISHA,株式会社 集英社,3.8691275
com.viz.wsj.android,Shonen Jump Manga & Comics,Viz Media,4.8131037
net.manta.comic,Manta: Unlimited Comics,RIDI Corporation,4.5980277
anime.sala2.com,Anime TV,di3UQxPQxC,4.6707315
com.EpicGaming.Centrale.Inc.BattleRoyale.AllSeasons.Game,BATTLE ROYALE CHAPTER 4,Epic Gaming Central Inc.,4.590476
mobi.mangatoon.comics.aphone,MangaToon - Manga Reader,MangaToon,4.1798563
jp.co.amutus.comicle.mangaapp,Comicle Manga: Manhua & Manga,AMUTUS CORP,3.7368422
com.zalivka.animation2,Draw Cartoons 2,Zaliv Armenia,4.4493184
com.wb.goog.dcuniverse,DC UNIVERSE INFINITE,Warner Bros. International Enterprises,3.6295671
com.bilibili.comic.intl,BILIBILI COMICS - Manga Reader,Bilibili Comics,4.5240965
com.contentsfirst.tappytoon,Tappytoon Comics & Novels,Contents First,4.3561583
com.garrygamemod.advicetools,garry's mod apk 2023,HILL LEE,4.5555553
com.lezhin.comics,Lezhin Comics - Daily Releases,LEZHIN ENTERTAINMENT,3.767742
com.toomics.global.google,Toomics - Read Premium Comics,Toomics Global,4.107383
com.square_enix.android_googleplay.mangaup_global,Manga UP!,"SQUARE ENIX Co.,Ltd.",4.1042943
com.wednesday.prankcall,Wednesday Addams Call Prank,Prankster Pro,4.117647
com.webcomics.manga,WebComics - Webtoon & Manga,WEBCOMICS HOLDINGS HK LIMITED,4.1784153
com.hipcomic,My Collection: Comic Scanner,HipComic,3.8823528
om.skibidi.toiletgame2,skibidi toilet 2,DE LA CRUZ DOMINIC,1.4
com.comikey.banagher,Comikey - Manga & Webcomics,Comikey Media,3.6595745
manga.sadora.com,Manga Rock,cmoawizkioaowlc,4.6153846
com.keycollectorcomics.keycollector,Key Collector Comics Database,Key Collector Comics,4.5531335
com.viewer.comicscreen,"ComicScreen - PDF, ComicReader",InstSoft,4.5466666
com.nhn.android.webtoon,네이버 웹툰 - Naver Webtoon,NAVER WEBTOON,4.72549
io.comico,POCKET COMICS: Premium Webtoon,NHN comico Corporation,4.4433856
com.ebookrenta.en_app,Manga Renta,"PAPYLESS GLOBAL, INC.",3.28
com.mangamo.app,Mangamo Manga Reader & Comics,Mangamo,3.37
com.kevin.girlvideochat.vidchat.pinkyliscall,G Talk – Girls Live Video Call,Kevin Infosoft,0
com.jegulabs.mango,Mango Manga: Mangas Español,JeguLabs,4.51
com.LeagueofComicGeeks.app2,League of Comic Geeks,League of Comic Geeks,4.65
com.progdigy.cdisplay.free,CDisplayEx Comic Reader Lite,Progdigy Software,4.3
com.collectorz.javamobile.android.comics,CLZ Comics - comic database,Collectorz.com,4.7296295
eu.bandainamcoent.LNDC,Little Nightmares Comics,BANDAI NAMCO Entertainment Europe,4.8349514
com.initialcoms.ridi,"리디 - 웹툰, 웹소설, 전자책 모두 여기에!",RIDI Corporation,4.2970295
