APP_ID,TITLE,DEVELOPER,SCORE
com.whatsapp,WhatsApp Messenger,WhatsApp LLC,4.294534
com.snapchat.android,Snapchat,Snap Inc,4.1144934
com.facebook.orca,Messenger,"Meta Platforms, Inc.",4.0545454
org.telegram.messenger,Telegram,Telegram FZ-LLC,4.299442
com.enflick.android.TextNow,TextNow: Call + Text Unlimited,"TextNow, Inc.",4.4952755
com.discord,"Discord: Talk, Chat & Hang Out",Discord Inc.,4.28568
com.microsoft.emmx,Microsoft Edge: Web Browser,Microsoft Corporation,4.689048
com.whatsapp.w4b,WhatsApp Business,WhatsApp LLC,4.2278123
org.thoughtcrime.securesms,Signal Private Messenger,Signal Foundation,4.346871
com.callapp.contacts,CallApp: Caller ID & Block,"CallApp Caller ID, Call Recorder & Spam Blocker",4.4062366
com.google.android.apps.googlevoice,Google Voice,Google LLC,4.4100947
com.yahoo.mobile.client.android.mail,Yahoo Mail – Organized Email,Yahoo,4.5573306
com.truecaller,Truecaller: Caller ID & Block,Truecaller,4.47414
com.dish.wireless.boostone,BoostOne,DISH Wireless L.L.C.,4.2018647
org.mozilla.firefox,Firefox Fast & Private Browser,Mozilla,4.567172
com.groupme.android,GroupMe,GroupMe,4.5331826
com.opera.browser,Opera browser with AI,Opera,4.3063927
com.brave.browser,Brave Private Web Browser,Brave Software,4.758216
com.facebook.talk,Messenger Kids – The Messaging,"Meta Platforms, Inc.",3.7965457
com.google.android.contacts,Contacts,Google LLC,4.3105474
com.imo.android.imous,imo video calls and chat HD,Baby Penguin,3.8418972
com.mail.inbox.allemailaccess,All Email Connect,AI Email & Access,4.212963
messages.chat.free.text.messaging.sms,"Messenger: Text Messages, SMS",aMessage studio,4.44046
com.google.android.apps.messaging,Messages by Google,Google LLC,4.254749
messenger.sms,Messenger - Texting App,Emoji SMS Messenger,4.425895
com.skype.raider,Skype,Skype,4.1095243
com.psiphon3.subscription,Psiphon Pro,Psiphon Inc.,4.3474984
global.duovoice.android,Duo Voice - Duo Mobile Calls,JUSI PTE.LTD.,4.540323
com.viber.voip,Viber - Safe Chats And Calls,Viber Media S.à r.l.,4.4417443
org.torproject.torbrowser,Tor Browser,The Tor Project,4.448926
com.talkatone.android,Talkatone: Texting & Calling,"Talkatone, Llc",4.0296736
com.adhoclabs.burner,Burner: Second Phone Number,"Ad Hoc Labs, Inc",4.070337
com.v2ray.ang,v2rayNG,CaptainIron,4.367036
info.myapp.allemailaccess,All Email Access: Mail Inbox,Appsbuyout Dev,4.389108
walkie.talkie.among.us.friends,"AmongChat, Match & Voice Chat","Find Friends, Team Up, Play Games, Live Voice Chat",3.8562186
net.idt.um.android.bossrevapp,BOSS Revolution: Calling App,Boss Revolution,4.489376
com.opera.mini.native,Opera Mini: Fast Web Browser,Opera,4.3262453
com.tracfone.tracfone.myaccount,TracFone My Account,"TracFone Wireless, Inc.",3.639478
com.securus.videoclient,Securus Mobile,"Securus Technologies, LLC",3.376391
jp.naver.line.android,LINE: Calls & Messages,LINE Corporation,4.144739
