APP_ID,TITLE,DEVELOPER,SCORE
com.bumble.app,Bumble: Dating & Friends app,Bumble Holding Limited,3.9798818
com.tinder,Tinder Dating app. Meet People,Tinder,3.7080464
com.badoo.mobile,Badoo: Dating. Chat. Meet.,Badoo,4.0064063
com.maybeyou,Dating and chat - Maybe You,Evermatch,4.0083103
co.hinge.app,Hinge Dating App: Meet People,"Hinge, Inc.",3.5408735
com.hily.app,Hily: Dating app. Meet People.,Hily Corp.,4.3721647
ru.fotostrana.sweetmeet,Dating and Chat - SweetMeet,SweetMeet,3.9976976
com.evermatch,Dating and Chat - Evermatch,Evermatch,4.050676
com.match.android.matchmobile,"Match Dating: Chat, Date, Meet","Match Group, LLC",3.271837
com.free.hookup.dating.apps.wild,"Wild: Hook up, Meet, Dating Me",Wild Limited,4.5737796
com.ihappydate,Dating with singles - iHappy,ihappydate,4.0019417
enterprises.dating.boo,Boo: Dating & Friends App,"Boo Enterprises, Inc.",4.1283007
co.feeld,Feeld: Meet Couples & Singles,Feeld Ltd.,3.8689275
com.udates,Once: Perfect Match Dating App,Xeanco Ltd,3.7610984
com.okcupid.okcupid,"OkCupid: Dating, Love & Fun",okcupid.com,3.5083747
com.match.android.stir,Stir - Single Parent Dating,"Match Group, LLC",3.9555326
com.affinityapps.chispa,Chispa: Dating App for Latinos,Chispa Dating,4.2546988
com.dating.android,"Dating.com™: Chat, Meet People",DMM SOLUTIONS INC.,2.9876957
com.mason.wooplus,WooPlus - Dating App for Curvy,Dating Apps by Oasis,4.4640613
com.affinityapps.twozerofour,Upward: Christian Dating App,"Affinity Apps, LLC",3.5896597
com.affinityapps.blk,BLK Dating: Meet Black Singles,BLK Dating,4.245817
com.zoosk.zoosk,Zoosk - Social Dating App,Zoosk Inc.,3.347265
com.onlyspark,Dating and Chat - Only Spark,Red Panda App,4.3069305
com.hookupapps.benaughty,Naughty Hookup & Dating App,Naughty Dating App,4.4242425
com.eharmony,eharmony dating & real love,eHarmony.com,3.1654854
com.appspartner.flirtme,FlirtMe – Flirt & Chat App,Appspartner B.V.,4.5454545
com.fwbhookup.xpal,FWB Hookup & NSA Dating: XFun,XFun LTD,4.464634
com.panda.likerro,Dating and chat - Likerro,STONECAST VENTURES LLC,4.522388
com.coffeemeetsbagel,Coffee Meets Bagel Dating App,Coffee Meets Bagel,3.6715739
com.crush.magicmatch,Crush,MAGICMATCH PTE. LTD.,2.2873564
com.twosteps.twosteps,2Steps: Dating App & Chat,PSP PROSOCIALPLATFORM LTD,4.359375
com.flirtini,"Flirtini - Chat, Flirt, Date",Xymara LTD,3.9164422
com.flirty.momms.casual.locals,MommsPlay Casual Locals 30+,MommsPlay App,3.903226
com.infostream.seekingarrangement,Seeking,W8 Tech Limited,3.7996752
com.threesome.swingers.threefun,3Fun: Threesome Couples Dating,3Fun Limited,4.1874127
com.mate1se.edate,eDate: Spin A Date,Mate1 Social Enterprises,3.66
com.cupidmedia.wrapper.bbwcupid,BBWCupid: BBW Dating Plus Chat,Cupid Media,4.1904764
com.hitperformance.whatsflirt,Whatsflirt – Chat and Flirt,Hit Performance B.V.,4.6108375
kr.jungrammer.randomchat,Random Chat (Stranger Chat),gaga.chat,3.2843137
com.dating.curvyvibes,Dating and Chat - Curvy Vibes,Red Panda App,4.26
