APP_ID,TITLE,DEVELOPER,SCORE
cn.danatech.xingseus,PictureThis - Plant Identifier,Glority Global Group Ltd.,4.6506557
com.duolingo,Duolingo: language lessons,Duolingo,4.48229
plant.identification.flower.tree.leaf.identifier.identify.cat.dog.breed.nature,NatureID - Plant Identifier,AIBY Inc.,4.2638164
com.joytunes.simplypiano,Simply Piano: Learn Piano Fast,Simply (formerly JoyTunes),4.548297
com.myplantin.app,PlantIn: Plant Identification,PlantIn,4.3223658
com.babbel.mobile.android.en,Babbel - Learn Languages,Babbel,4.6540704
com.headway.books,Headway: 15-Min Book Summaries,Books Made Easy Corp,4.313369
com.tocaboca.tocahairsalon4,Toca Hair Salon 4,Toca Boca,3.8031497
com.scaleup.plantid,Plant App - Plant Identifier,ScaleUp,4.627843
org.pbskids.video,PBS KIDS Video,PBS KIDS,4.2847824
com.learnlanguage.languagelearning.app2022,Lingutown - Learn Languages,Ocean Float Mobile,4.145161
com.mojang.minecraftedu,Minecraft Education,Mojang,4.1076508
com.PYOPYO.StarTracker,Star Tracker - Mobile Sky Map ,PYOPYO Studio,4.593786
com.zigazoo.zigazoo,Zigazoo Kids,Zigazoo,3.788406
org.plantnet,PlantNet Plant Identification,PlantNet,4.3969417
com.noctuasoftware.stellarium_free,Stellarium Mobile - Star Map,Stellarium Labs,4.7208366
com.glority.pictureinsect,Picture Insect: Bug Identifier,Next Vision Limited,4.40309
com.wonder,Elevate - Brain Training Games,Elevate  Labs,4.5964985
no.mobitroll.kahoot.android,Kahoot! Play & Create Quizzes,Kahoot!,4.6732025
com.remind101,Remind: School Communication,Remind101,4.3847966
com.dmvwrittentest.android,DMV Written Test: DMV PERMIT,DMV Written Test,4.7400393
com.fasttanslator.appm,Translate now Photo translator,Morgan Likue,4.586459
mobi.abcmouse.academy_goo,ABCmouse.com,"Age of Learning, Inc.",3.9293325
com.conceptivapps.blossom,Blossom - Plant Identifier,Conceptiv Apps,4.623371
com.getepic.Epic,Epic: Kids' Books & Reading,Epic! Creations Inc,4.308799
com.miga.world,Miga Town: My World,"XiHe Digital (GuangZhou) Technology Co., Ltd.",4.3990955
kr.co.smartstudy.babyshark_android_googlemarket,Pinkfong Baby Shark: Kid Games,The Pinkfong Company,3.6220472
net.wordbit.enes,WordBit Inglés,WordBit,4.605364
com.duolingo.literacy,Learn to Read - Duolingo ABC,Duolingo,4.37
com.instructure.candroid,Canvas Student,Instructure,4.6357713
com.tocaboca.tocakitchen,Toca Kitchen,Toca Boca,3.6417284
com.translate.language.voice.translator.learn.languages,All Language Voice Translate,UM Apps Studio,0
com.beanstack,Beanstack Tracker,"Zoobean, Inc.",4.644231
com.novakids.busylifeworld,YoYa: Busy Life World,YoYa World,3.8777292
com.sagosago.World.googleplay,Sago Mini World: Kids Games,Sago Mini,4.038585
org.inaturalist.seek,Seek by iNaturalist,iNaturalist,3.6577382
com.quizlet.quizletandroid,Quizlet: Languages & Vocab,Quizlet Inc.,4.466812
com.moymer.falou,Falou - Fast language learning,Moymer,4.7465587
com.t11.skyviewfree,SkyView® Lite,Terminal Eleven,4.3267407
co.brainly,Brainly – Homework Math Solver,Brainly,4.316555
