APP_ID,TITLE,DEVELOPER,SCORE
com.wbd.stream,"Max: Stream HBO, TV, & Movies","WarnerMedia Global Digital Services, LLC",4.6343894
com.tubitv,Tubi - Movies & TV Shows,Tubi TV,4.773862
com.netflix.mediaclient,Netflix,"Netflix, Inc.",4.3207264
com.disney.disneyplus,Disney+,Disney,4.474932
tv.pluto.android,Pluto TV - Live TV and Movies,"Pluto, Inc.",3.9239385
com.wallpaper4khd.lite,Wallpaper 4K HD,SuperSwold,4.257627
com.roku.remote,The Roku App (Official),Roku Inc.,4.6702805
com.mistplay.mistplay,MISTPLAY: Play to Earn Rewards,MISTPLAY,4.111655
com.amazon.avod.thirdpartyclient,Amazon Prime Video,Amazon Mobile LLC,4.2245054
com.hulu.plus,Hulu: Stream TV shows & movies,Disney,4.5417013
com.cbs.app,Paramount+ | Peak Streaming,"CBS Interactive, Inc.",4.1907034
com.kick.mobile,Kick: Live Streaming,Kick: Live Streaming,4.5055823
com.peacocktv.peacockandroid,Peacock TV: Stream TV & Movies,Peacock TV LLC,4.5418935
com.affinity.rewarded_play,Rewarded Play: Earn Gift Cards,"Influence Mobile, Inc.",4.298625
com.justplay.app,JustPlay - Earn or Donate,JustPlay GmbH,4.3077173
com.google.android.apps.youtube.kids,YouTube Kids,Google LLC,4.3260465
tv.twitch.android.app,Twitch: Live Game Streaming,"Twitch Interactive, Inc.",4.395759
com.amazon.imdb.tv.mobile.app,Amazon Freevee,Amazon Mobile LLC,4.0600924
com.pranksounds.appglobaltd,"Haircut prank, air horn & fart",DINO Global LTD,3.2765958
mobi.ifunny,iFunny - cool memes & videos,iFunny Inc.,4.0364585
com.plexapp.android,Plex: Stream Movies & TV,"Plex, Inc.",4.396461
com.google.android.apps.youtube.unplugged,YouTube TV: Live TV & more,Google LLC,4.1237683
com.lie.detector.test.pank.truthtest.liedetector.scan,Lie Detector Test: Prank App,DkTech inc.,4.564
com.lie.detector.test.prank.scan.truthtest,Lie Detector Test Prank - Scan,SOKAR,4.4820514
ai.character.app,Character AI - Chat Ask Create,Character.AI,4.5851474
top.athenaa.athena,Athena,Rocket Propellant,3.4511278
com.tapchamps.tap,TC: Play Games & Earn Rewards,TAPCHAMP,4.007011
com.univision.prendetv,"ViX: TV, Deportes y Noticias","TelevisaUnivision Interactive, Inc.",4.027122
com.chat.master.prank.master.game,Chat Master: Prank Story,DINO Global LTD,4.8735085
com.crunchyroll.crunchyroid,Crunchyroll,"Crunchyroll, LLC",4.585308
com.newleaf.app.android.victor,ReelShort,NewLeaf Publishing,3.7559056
com.microsoft.xboxone.smartglass,Xbox,Microsoft Corporation,4.5067897
com.zpp.music.equalizer,Equalizer Pro,Maude Green,4.64
com.codewaystudios.facedance,Face Dance: AI Photo Animator,Codeway Dijital,3.995964
com.bgnb.pockettoon,Pockettoon,KELING  TECHNOLOGY  LIMITED,4.009009
me.zepeto.main,"ZEPETO: Avatar, Connect & Play",Naver Z Corporation,4.427251
com.skibidi.skibidi.toilet.prankcall,Skibydi Toilet Video Call,DINO Global LTD,4.8235292
com.scee.psxandroid,PlayStation App,PlayStation Mobile Inc.,3.928097
com.habit.step.money.water.sweat.now.tracker,Habit Gift - Reward for Habit,dehua.liu,4.4255524
com.fungamesforfree.colorfy,Colorfy: Coloring Book Games,Fun Games For Free,4.047665
