APP_ID,TITLE,DEVELOPER,SCORE
com.ticketmaster.mobile.android.na,"Ticketmaster－Buy, Sell Tickets",Ticketmaster L.L.C.,3.5037267
com.gametime.gametime,Gametime - Last Minute Tickets,Gametime,4.7037573
com.seatgeek.android,SeatGeek – Tickets to Events,SeatGeek,4.233077
com.tickpickllc.ceobrien.tickpick,TickPick - Live Event Tickets,TickPick LLC,4.0849314
com.vividseats.android,Vivid Seats | Event Tickets,Vivid Seats LLC,4.0314527
com.stubhub,StubHub - Live Event Tickets,stubhubmobile,3.5614471
com.feverup.fever,Fever: Local Events & Tickets,Fever Labs,4.807611
com.greetingsisland.sam,Invitation Maker Card Design,Greetings Island,4.744436
com.bingocash.appsd,Bingo-Cash Win Real Cash tips,Battle Gaming,4.1545453
com.wizards.winter_orb,Magic: The Gathering Companion,Wizards of the Coast LLC,4.1258993
com.todaytix.TodayTix,TodayTix – Theatre Tickets,TodayTix,4.814462
com.arioch.efgr,Epic Freebie Games Radar,Arioch Pds - Apps & Games,4.43
com.ticketnetwork.TicketNetwork,TicketNetwork,TicketNetwork Inc,3.8730159
com.fakecall.prankcall.prankdial,Fake Call - Fake Phone Call,All Recover Deleted Messages,3.6666667
com.sched,Sched,Sched LLC,4.544554
com.gta_V_mpce_theft_craft.GTA_five_VI_mincraft,GTA Craft Theft Mod for MPCE,Damoh,4.56
com.skibiditoiletmod.minec,Skibidi Toilet mod for Melon,Jamin Johnson,0
com.utaharts.festival,Utah Arts Festival,Utah Arts Festival,0
com.events.invitation.stylishcardmaker.free,Stylish Invitation Card Maker,Game Axe,4.0666666
com.yowinglobal.play,Yowin Play:Justplay money tree,Yowin Play,4.25
com.andiqwer.skyblock_maps,Maps for Minecraft PE skyblock,AndiQwer,4.03
com.invitation.invitationcardmaker.card.wedding.birthday,"Invite Card, Birthday Card",TVApp,4.7916665
io.aida.plato.orgc9881d1e9c3f4f3498a88512cc4d8607,SBE Events,The Show Producers,4.133333
com.greencopper.countryjam,Country Jam Colorado 2023,"C3 Presents, LLC",0
com.edmtrain.edmtracks,Edmtrain Concerts & Raves,EDM Train LLC,4.877551
a2z.Mobile.Event6325,SkillsUSA NLSC,"Personify Corp., A2Z Events",0
com.blue.mozahemyab,مزاحم یاب و شماره یاب حرفه ای,Blue Ideas,4.45
com.skibiditoilet.addon,Mod Skibidi Toilet for MCPE,James Leckie,0
com.modrainbowfriendsch2.app,Rainbow Friends 2 mod for MCPE,Sam Elsaghir,4.5555553
com.muslimappassistant.Islampro.qiblafinder.quranprayerdua,Easy Quran Mp3 Audio Offline,Muslim Worldapp,4.5588236
com.wizmenkati.modrtxmelonplay,RTX Mod for Melon Playground,Wizmen Kati,4.37931
splendid.invitation.maker,"Invitation card Maker, Design",Splendid App Maker,4.65
com.amitech.allevents,All Events in City - Discover ,Amitech Business Solutions,4.22
com.peerspace.app,Peerspace - Book Unique Venues,Peerspace,4.22
com.eyetem,Eyetem - Community Safety,Squint Systems Inc,4.185185
com.happybirthdaysongswithname.happybirthdaywishes,Happy Birthday songs & wishes,RK apps world,0
com.improveverywhere.mp3exp,Improv Everywhere - The Mp3 Ex,Improv Everywhere,3.1111112
io.kodular.dhaneswarojha434.TwentyTwentycalnder,2023 Calendar,Communication Support,4.4533334
com.rainbowfriendsch2melon.minec,Rainbow Friends Ch 2 for Melon,Jamin Johnson,0
me.discotech,"Discotech: VIP Bottle Service,","Discotech, Inc.",4.9714284
