APP_ID,TITLE,DEVELOPER,SCORE
com.squareup.cash,Cash App,"Square, Inc.",4.592902
com.paypal.android.p2pmobile,"PayPal - Send, Shop, Manage",PayPal Mobile,4.2282495
com.venmo,Venmo,"PayPal, Inc.",4.1782074
com.onedebit.chime,Chime – Mobile Banking,Chime,4.53756
com.zellepay.zelle,Zelle,"Early Warning Services, LLC",3.8228042
com.google.android.apps.walletnfcrel,Google Wallet,Google LLC,4.248621
com.konylabs.capitalone,Capital One Mobile,"Capital One Services, LLC",4.619852
com.google.android.apps.nbu.paisa.user,Google Pay: Save and Pay,Google LLC,4.023537
com.chase.sig.android,Chase Mobile,JPMorgan Chase,4.362032
com.infonow.bofa,Bank of America Mobile Banking,Bank of America,4.6334248
com.creditkarma.mobile,Intuit Credit Karma,"Credit Karma, LLC",4.721323
com.wf.wellsfargomobile,Wells Fargo Mobile,Wells Fargo Mobile,4.7902875
com.phonevalley.progressive,Progressive,Progressive Insurance,4.6564565
com.dave,Dave - Banking & Cash Advance,"Dave, Inc",4.2898674
com.hellobrigit.Brigit,Brigit: Borrow & Build Credit,Brigit,4.632764
com.truebill,Rocket Money - Bills & Budgets,Rocket Money - Bills & Budgets,4.378282
com.experian.android,Experian,Experian,4.7438025
com.propel.ebenefits,"Providers: EBT, Mobile Banking",Propel Inc,4.76417
finance.empower,Empower: Instant Cash Advance.,Empower Finance,4.7254114
com.statefarm.pocketagent,State Farm®,State Farm Insurance,4.710348
com.remitly.androidapp,Remitly: Send Money & Transfer,Remitly,4.816477
com.meetalbert,Albert: Banking on you,Albert Corp.,4.2812953
com.citi.citimobile,Citi Mobile®,Citibank N.A.,4.7484565
com.creditonebank.mobile,Credit One Bank Mobile,"Credit One Bank, N.A.",4.5582066
com.discoverfinancial.mobile,Discover Mobile,Discover Financial Services,4.6560597
com.westernunion.android.mtapp,Western Union Send Money Now,Western Union Android Apps,4.599517
com.activehours,EarnIn: Your Money in Advance,Activehours Inc.,4.5872355
com.greendotcorp.go2bank,GO2bank: Mobile banking,Green Dot,4.53821
com.geico.mobile,GEICO Mobile - Car Insurance,GEICO Insurance,4.5939846
com.moneylion,MoneyLion: Go-to Money App,MoneyLion Inc.,4.4858828
gpdw.olliv.monarch.ga,Olliv – Crypto you can trust,"GPD Holdings, LLC",4.168317
com.usbank.mobilebanking,U.S. Bank Mobile Banking,U.S. Bank Mobile,4.65217
com.statefarm.dssm,Drive Safe & Save™,State Farm Insurance,4.112148
com.onefinance.one,ONE - Mobile Banking,"ONE Finance, Inc.",4.707421
com.ally.MobileBanking,Ally: Banking & Investing,Ally Financial,3.6865063
com.adp.wiselymobile,myWisely: Mobile Banking,"ADP, INC.",4.111232
com.americanexpress.android.acctsvcs.us,Amex,American Express,4.1181483
com.schwab.mobile,Schwab Mobile,The Charles Schwab Corporation,3.2954018
com.sofi.mobile,SoFi: Mobile Banking App,"Social Finance, Inc.",4.0822105
com.kikoff,Kikoff - Build Credit Quickly,"Kikoff, Inc.",4.5211897
