APP_ID,TITLE,DEVELOPER,SCORE
com.mcdonalds.app,McDonald's,"McDonalds USA, LLC",4.53739
com.dd.doordash,DoorDash - Food Delivery,DoorDash,4.616419
com.ubercab.eats,Uber Eats: Food Delivery,"Uber Technologies, Inc.",4.3683815
com.starbucks.mobilecard,Starbucks,Starbucks Coffee Company,4.8787084
com.instacart.client,Instacart: Food delivery today,Instacart,4.3005595
com.dunkinbrands.otgo,Dunkin’,"Dunkin' Brands, Inc.",4.780678
com.factor75.factor75,Factor_ Prepared Meal Delivery,Factor_,4.6742244
com.chickfila.cfaflagship,Chick-fil-A®,"Chick-fil-A, Inc.",4.504723
com.subway.mobile.subwayapp03,Subway®,SUBWAY Restaurants,4.521515
com.dominospizza,Domino's Pizza USA,Domino's Pizza LLC,4.6513567
com.grubhub.android,Grubhub: Food Delivery,Grubhub,4.542084
com.yelp.android,"Yelp: Food, Delivery & Reviews","Yelp, Inc",4.5360303
com.emn8.mobilem8.nativeapp.bk,BURGER KING® App,"Burger King, Inc.",3.707554
com.yum.pizzahut,Pizza Hut - Food Delivery & Ta,Pizza Hut Inc.,4.2677555
com.littlecaesars,Little Caesars,"Little Caesar Enterprises, Inc.",4.6159425
com.sonic.sonicdrivein,SONIC Drive-In - Order Online ,"Sonic Industries Services, Inc.",4.6479797
com.wendys.nutritiontool,Wendy’s,"Wendy's Int'l., LLC",4.524707
com.pandaexpress.app,Panda Express,"Panda Restaurant Group, Inc.",4.4870186
com.olo.dairyqueen.production,Dairy Queen® Food & Treats,International Dairy Queen®️,4.5059237
crumbl.cookies,Crumbl Cookies,"Crumbl, LLC",4.811695
com.sei.android,7-Eleven: Rewards & Shopping,"7-Eleven, Inc.",4.2931533
com.kfc.us.mobile,KFC US - Ordering App,KFC US,3.2297072
com.papajohns.android,Papa Johns Pizza & Delivery,Papa John's Pizza,4.46768
com.seattleapplab.jerseymikes,Jersey Mike's,Jersey Mike's Subs,4.8543034
com.emn8.mobilem8.nativeapp.popeyes,Popeyes® App,"Popeyes Louisiana Kitchen, Inc.",4.3274584
com.app.tgtg,Too Good To Go: End Food Waste,Too Good To Go Aps,4.7835
com.olo.ihop,IHOP®,"Dine Brands Global, Inc.",4.143898
com.slicelife.storefront,Slice: Pizza Delivery/Pick Up,"Slice Solutions, Inc.",4.4899893
com.panera.bread,Panera Bread,Panera Bread,4.3487988
wb.mobile.cx.client.droid,Whataburger,Whataburger,3.9457364
com.chipotle.ordering,Chipotle - Fresh Food Fast,Chipotle Mexican Grill,4.67026
com.arbys.android.arbysapp,Arby's Fast Food Sandwiches,"Arby's Restaurant Group, Inc.",4.6191626
com.dutchbros.loyalty,Dutch Bros,Dutch Bros Coffee,4.8610296
com.Caseys.finder,Casey's,Casey's General Store,3.8323755
com.buffalowildwings.blazinrewards,Buffalo Wild Wings Ordering,"Buffalo Wild Wings, Inc.",4.4682713
com.hellofresh.androidapp,HelloFresh: Meal Kit Delivery,HelloFresh SE,4.6616297
com.tropicalsmoothie.tropicalsmoothiecafe.android.app,Tropical Smoothie Cafe,Tropical Smoothie Cafe,4.798899
com.opentable,OpenTable,OpenTable,4.6743884
com.main.gopuff,Gopuff—Alcohol & Food Delivery,Gopuff,4.6735067
com.jimmyjohns,Jimmy John's Sandwiches,Jimmy John's Sandwiches,4.859031
