APP_ID,TITLE,DEVELOPER,SCORE
com.mondayoff.reloadrush,Reload Rush,MondayOFF,4.2785387
com.tencent.cosna,Undawn,Level Infinite,4.231738
com.playgendary.tom,Tomb of the Mask,Playgendary Limited,4.5312157
com.htt.baby.hunt.hn,Where is He: Hide and Seek,Storm God,4.572727
com.StudioGamebit.WildWestCowboy,Wild West Cowboy Redemption,Homa,4.4496646
com.ione.robot.car.transformation,Robot War: Robot Transform,Zego Studio,4.1320753
com.fungames.sniper3d,Sniper 3D：Gun Shooting Games,Fun Games For Free,4.4475985
com.skibiditoilet.survival.master,Skibydy Toilet Survival Master,MyGames Publishing,4.566372
com.roblock.rainbow.find.daddy2023,Rainbow Survivor: Find Daddy,T.Game Studio,3.468085
com.cassette.aquapark,aquapark.io,VOODOO,4.0831213
com.playgendary.kickthebuddy,Kick the Buddy,Playgendary Limited,4.28141
com.innersloth.spacemafia,Among Us,Innersloth LLC,3.7659414
com.gangster.real.crimecity.vegas.simulator3d,Gangster City: Mafia Crime,3D Sim Games,3.24
com.amelosinteractive.snake,Snake.io - Fun Snake .io Games,Kooapps Games | Fun Arcade and Casual Action Games,4.38588
com.brotato.shooting.survivors.action.roguelike,Brotato,Erabit Studios,4.65283
com.wolf.objecthunt,Hide and Go Seek: Monster Hunt,Jungle nerd,4
com.activision.callofduty.shooter,Call of Duty Mobile Season 5,"Activision Publishing, Inc.",4.332648
com.miniclip.realsniper,Pure Sniper: Gun Shooter Games,Miniclip.com,4.549218
com.egaming.skibydy.toilet.monster.hunting,Craft Room: Skibydy Hunting,DINO Global LTD,0
com.htt.alpha.shooter.fps,Alphabet Shooter: Survival FPS,Jungle nerd,4.5370846
com.ta.online.strike.fps,FPS Online Strike:PVP Shooter,FPS Shooter & Action Game,4.5541563
com.creativestarsgames.bombevolution,Bomb Evolution,Creative Stars,3.8412697
com.nintendo.zara,Super Mario Run,"Nintendo Co., Ltd.",3.960868
com.Hitica.FightForAmerica,Fight For America: Country War,Homa,3.7997289
com.tencent.ig,PUBG MOBILE,Level Infinite,4.108321
com.CharityRun.game,Destiny Run,VOODOO,4.257485
com.nintendo.zaka,Mario Kart Tour,"Nintendo Co., Ltd.",4.30341
com.ezt.stickman.playground,Stickman Playground,Alphabets Games,3.3465347
com.dts.freefireth,Free Fire: 6th Anniversary,Garena International I,4.073366
com.xd.craft.skibydy.survivor,Skibydy Craftsman Survivor,MyGames Publishing,4.3163266
com.kitkagames.fallbuddies,Stumble Guys,Scopely,4.183035
com.TrofyGames.UboatAttack,Uboat Attack,VOODOO,4.4604187
com.yodo1.crossyroad,Crossy Road,HIPSTER WHALE,4.5505977
com.playgendary.bowmasters,Bowmasters,Playgendary Limited,4.576573
com.EvoGames.AirRifle3DRatShooting,Air Rifle 3D: Rat Sniper,TapNation,4.210135
com.seenax.HideAndSeek,Hide 'N Seek!,Supersonic Studios LTD,3.6607807
com.starplay.spider.fighter.openworld,Spider Fighter 3,Starplay DMCC,4.609756
com.imangi.templerun2,Temple Run 2,Imangi Studios,4.4567213
com.outfit7.herodash,Talking Tom Hero Dash,Outfit7 Limited,4.197828
com.cdtg.ragdoll.battle,Battle Playground,Great Sport Games,3.8235295
