APP_ID,TITLE,DEVELOPER,SCORE
com.roblox.client,Roblox,Roblox Corporation,4.4325356
com.nianticlabs.pokemongo,Pokémon GO,"Niantic, Inc.",4.130548
com.dxx.firenow,Survivor.io,Habby,4.629856
free.os.jump.superbros.adventure.world,Bob's World - Super Run Game,FALCON GAME STUDIO,4.5357366
com.miHoYo.GenshinImpact,Genshin Impact,COGNOSPHERE PTE. LTD.,4.2058835
com.HoYoverse.hkrpgoversea,Honkai: Star Rail,COGNOSPHERE PTE. LTD.,4.291579
com.eers.kraft.eerskraft,Eerskraft - Explorations,Gooogame,4.0878377
com.miniit.save.the.guy.game,Save the Guy: Funny Choice,"Brightika, Inc.",4.05467
com.candyroom.clubcraft,School Party Craft,Candy Room Games & RabbitCo,4.524343
com.movile.playkids.pkxd,"PK XD: Fun, friends & games",Afterverse Games,4.603553
com.loadcomplete.slimeidle,Legend of Slime: Idle RPG War,LoadComplete,4.243618
com.one.m1.world,Pop's World - Running game,PlayOn Global LTD,4.4229827
com.superbinogo.jungleboyadventure,Super Bino Go:Adventure Jungle,ONESOFT GLOBAL PTE LTD,4.2791348
net.wooga.junes_journey_hidden_object_mystery_game,June's Journey: Hidden Objects,Wooga,4.521389
com.kgs.housedesigner,House Designer : Fix & Flip,Karate Goose Studio,4.6915593
com.sega.sprint,Sonic Forces - Running Battle,SEGA,4.4364147
com.red.blue.stickman.v2,Red and Blue Stickman 2,Great Arcade Games,4.0687833
com.bitgamesoft.TommyRun,Super Mano Bros - Jungle World,BIT GAME,4.6722894
com.tinybuildgames.helloneighbor,Hello Neighbor,tinyBuild,3.9436905
com.loltap.farmland,Farm Land - Farming life game,Homa,4.572532
com.AgainstGravity.RecRoom,Rec Room - Play with friends!,Rec Room,4.548976
com.Earthkwak.Platformer,Super Bear Adventure,Earthkwak Games,4.3494096
com.craftgames.plntcrft,Mini Block Craft: Planet Craft,"Playlabs, LLC",4.245694
com.ludia.jw2,Jurassic World Alive,"Jam City, Inc.",4.226885
com.samfinaco.paradise,Bermuda Adventures Farm Island,BELKA GAMES,4.5094237
com.zatg.teacherrunner,Nick's Sprint - Escape Miss T,Z & K Games,3.960396
com.playrix.mysterymatters,Mystery Matters,Playrix,4.612732
com.mmircil.cnb2,Crafting and Building,GeneRe,4.045554
org.nanobit.hollywood,Hollywood Story®: Fashion Star,NANOBIT,4.507391
com.topgamesoft.SuperJumpBros,Super Jump Bros 1985 : Classic,TG-Studios,4.7181816
com.euphoricbrothersgames.gartenofbanban,Garten of Banban,Euphoric Brothers Games,3.9245284
com.naturalmotion.clumsyninja,Clumsy Ninja,NaturalMotionGames Ltd,4.221921
com.MegaJoy.PrisonBreak68,Prison Break: Stickman Story,FARM STUDIO,4.6656218
com.oneway.Deathcoming,Death Incoming!,Lion Studios,4.3265834
com.arzukilic.terradome3d,Terradome 3D,Udo Games Oyun Yazılım Anonim Şirketi,4.284483
com.tinyco.potter,Harry Potter: Hogwarts Mystery,"Jam City, Inc.",4.4659133
com.ddup.zombiewaves.zw,Zombie Waves,Fun Formula,4.248718
com.playrix.manormatters,Manor Matters,Playrix,4.6648903
com.artifexmundi.mopa1.gp,Unsolved: Hidden Mystery Games,Artifex Mundi,4.598607
com.mytona.seekersnotes.android,Seekers Notes: Hidden Objects,Mytona,4.2814136
