APP_ID,TITLE,DEVELOPER,SCORE
com.redlinegames.attackhole,Attack Hole - Black Hole Games,Homa,4.3204494
com.kiloo.subwaysurf,Subway Surfers,SYBO Games,4.5765443
com.vincentb.MobControl,Mob Control,VOODOO,4.2616
io.voodoo.paper2,Paper.io 2,VOODOO,3.2464566
com.robtopx.geometryjumplite,Geometry Dash Lite,RobTop Games,4.3755574
com.freeplay.twerk,Twerk Race 3D — Running Game,Freeplay Inc,4.4281406
com.game.space.shooter2,Space shooter - Galaxy attack,ONESOFT GLOBAL PTE LTD,4.8343554
io.voodoo.holeio,Hole.io,VOODOO,3.6891322
com.os.space.force.galaxy.alien,Galaxiga Arcade Shooting Game,ONESOFT GLOBAL PTE LTD,4.629536
com.snakeattack.game,Snake Run Race・3D Running Game,Freeplay Inc,4.416067
com.robtopx.geometrydashsubzero,Geometry Dash SubZero,RobTop Games,4.500872
com.JindoBlu.TwoPlayerGamesChallenge,2 Player games : the Challenge,JindoBlu,4.5761423
play.roshka.holefill,Hole and Fill: Collect Master!,Homa,3.625926
com.fungames.blockcraft,Block Craft 3D：Building Game,Fun Games For Free,4.269209
com.os.airforce,1945 Air Force: Airplane games,ONESOFT GLOBAL PTE LTD,4.7621965
com.sega.sonicdash,Sonic Dash - Endless Running,SEGA,4.6890397
com.longhorn.countmasterevo,Crowd Evolution!,Rollic Games,3.7595239
com.happykamp.aquariumland,Aquarium Land - Fishbowl World,Homa,4.537056
com.pocketchamps.game,Pocket Champs: 3D Racing Games,Madbox,4.5334888
com.halfbrick.fruitninjafree,Fruit Ninja®,Halfbrick Studios,4.5063148
com.robtopx.geometrydashworld,Geometry Dash World,RobTop Games,4.436428
com.dvloper.granny,Granny,DVloper,4.2599163
bike.hop.fall,Bike Hop: Crazy BMX Bike Jump,CASUAL AZUR GAMES,4.565097
com.fusee.MergeMaster,Merge Master: Dinosaur Monster,Homa,4.3048863
com.multicastgames.venomSurvive,Alien Invasion: RPG Idle Space,MULTICAST GAMES,4.4080715
com.orbitalknight.ridiculousfreekick,Crazy Kick! Fun Football game,VOODOO,4.5595093
com.elemental.gloves,Elemental Gloves - Magic Power,MOONEE PUBLISHING LTD,4.654321
com.games.webmaster,Web Master: Stickman Superhero,KobGames,4.7238097
com.alien.shooter.galaxy.attack,Galaxy Attack: Shooting Game,ONESOFT GLOBAL PTE LTD,4.693979
com.PlayMax.playergames,Stickman Party 2 3 4 MiniGames,PlayMax Game Studio,4.3956523
merge.archers,Merge Archers: Bow and Arrow,CASUAL AZUR GAMES,4.6191645
com.bermudagames.buttonpush,Button Push!,Bermuda Games,4.345794
com.stoneaxe.slapandrun,Slap and Run,VOODOO,4.5174823
com.kwalee.wantedgp,Police Pursuit,Kwalee,4.4856277
com.shaverma.lazyjump,Lazy Jump,SayGames Ltd,4.5416665
com.namcobandaigames.pacmantournaments,PAC-MAN,BANDAI NAMCO Entertainment America Inc.,4.340471
com.acidcousins.fdunk,Flappy Dunk,VOODOO,4.3348727
com.zyb.galaxy.attack,Galaxy Shooter - Space Attack,Words Mobile,4.5499835
com.EternalStudio.DozerDemolish,Dozer Demolish: City Tear Down,Homa,3.5352113
com.mindy.grap1,Stickman Hook,Madbox,4.0932417
