APP_ID,TITLE,DEVELOPER,SCORE
com.scopely.monopolygo,MONOPOLY GO!,Scopely,4.749357
com.pixel.art.coloring.color.number,Happy Color®: Coloring Book,X-FLOW,4.620321
com.painting.book.colorme,ColorMe - Painting Book,Georgia Aly,4.282927
com.gamovation.mahjongclub,Mahjong Club - Solitaire Game,GamoVation,4.915316
com.playvalve.yatzy,Yatzy - Fun Classic Dice Game,Playvalve,4.774496
air.com.buffalo_studios.newflashbingo,Bingo Blitz™️ - Bingo Games,Playtika Santa Monica,4.5923667
coloring.color.number.happy.paint.art.drawing.puzzle,Tap Color Pro: Color By Number,Tap Color Studio,4.756397
happy.paint.coloring.color.number,Zen Color - Color By Number,Kidult Lovin,4.857711
com.tfgco.apps.coloring.free.color.by.number,Color by Number: Coloring Game,Fun Games For Free,4.51315
spider.classic.solitaire.card.pgmaker,Spider Solitaire,Classic Puzzle Games Maker,4.7809525
com.chess,Chess - Play and Learn,Chess.com,4.7550974
com.scopely.yux,YAHTZEE With Buddies Dice Game,Scopely,4.155875
and.lihuhu.tiletriple3d,Tile Triple 3D - Match Master,LIHUHU PTE. LTD.,4.412387
com.iceors.colorbook.release,Coloring Book: Color by Number,Candy Mobile,4.565033
com.gamovation.chessclubpilot,Chess - Offline Board Game,GamoVation,4.891515
com.artlife.color.number.coloring.book,Color by Number - Colorswipes,Playflux,4.82244
and.lihuhu.findmatch,Triple Find 3D - Triple Match,LIHUHU PTE. LTD.,4.418511
com.joycity.god,Game of Dice: Board&Card&Anime,JOYCITY Corp.,4.2408547
com.ludo.king,Ludo King™,Gametion Global,4.079837
com.coloring.book.paint.by.number,Black Color : Color By Number,Fun Coloring World,4.8593273
com.tilemaster.puzzle.block.match,Tile Master® - Classic Match,Higgs Studio,4.0547767
com.LoopGames.Domino,Dominoes,Loop Games,4.76477
com.mintgames.fancycolorpro,Fancy Color - Paint By Number,Mint Games,4.8249593
com.paint.by.number.pixel.art.coloring.pages,"Dark, Horror Color by Number",Fancy Games Studio,4.7788696
loppipoppi.dominoes,Dominoes: Classic Dominos Game,NewPubCo,4.770091
com.jetstartgames.chess,Chess,Chess Prince,4.4643674
com.paint.by.numbers.coloring.pages.blend.coloring,Adult Sexy Coloring Games,Excellent Coloring Pages,4.6985393
live.fun.bingo.online.story.casino.free.game.android,Bravo Bingo: Lucky Story Games,TRIWIN,4.9078016
com.boardworld,Board World - All in one game,GAME OFFLINE HAY,3.8019803
and.lihuhu.mahjongtriple3d,Mahjong Triple 3D -Tile Match,LIHUHU PTE. LTD.,4.668347
color.by.number.coloring.paint.puzzle.pixel.art.drawing.painting.games.kids.adults.fun.pictures,Color Master Pro:Coloring Book,Coloring Game Studio@RabiGame,4.7066813
live.party.bingo.free.vegas.online.jackpot.casino.game,Live Party™ Bingo - Bingo Wave,TRIWIN,4.726582
classic.card.solitaire.pgmaker,Solitaire Classic Card,Classic Puzzle Games Maker,4.725989
paint.by.number.pixel.art.coloring.drawing.puzzle,Paint by Number: Coloring Game,Kidult Lovin,4.7097287
com.fiogonia.dominoes,Dominos Game Classic Dominoes,FIOGONIA LIMITED,4.713723
solitaire.arcadegames.freecard.solitaireplus.epic.klodike,Solitaire - Classic Card Game,Arcade Game Maker,4.329317
com.jellybtn.boardkings,Board Kings: Board Dice Games,Playtika,4.659302
com.artlife.coloringbook,Colorscapes® - Color by Number,Playflux,4.764323
com.moonfrog.ludo.club,Ludo Club - Dice & Board Game,Moonfrog,4.241485
com.Bingo.MatchGame,Match Triple Master 3D,Words Mobile,4.6719813
