APP_ID,TITLE,DEVELOPER,SCORE
com.matteljv.uno,UNO!™,Mattel163 Limited,4.5150642
com.vitastudio.solitaire,Vita Solitaire - Big Card Game,Vita Studio.,4.6562257
com.game.whatdoyoumeme,Meme Challenge: Dank Memes,MagicLab,4.3083453
solitaire.patience.card.games.klondike.free,Solitaire - Classic Card Games,Guru Puzzle Game,4.883806
com.tripledot.solitaire,Solitaire: Classic Card Games,Tripledot Studios Limited,4.775324
com.mintgames.solitaire.classic.card.game.free,Solitaire Classic,Mint X Games,4.8202395
com.evergreen.games.card.solitaire.free,Solitaire - 2023,Evergreen MLJ,4.877698
com.smilerlee.klondike,Solitaire,Mouse Games,4.681818
com.blackout.spades,Spades - Card Game,Blackout Lab,4.7266536
com.gimica.solitaireverse,Solitaire Verse,Gimica GmbH,4.538167
com.mattel163.phase10,Phase 10: World Tour,Mattel163 Limited,4.7442594
com.mobilityware.solitaire,Solitaire - Classic Card Games,MobilityWare,4.563382
net.supertreat.solitaire,Solitaire Grand Harvest,Supertreat - A Playtika Studio,4.681618
com.newpubco.spades,Spades: Classic Card Game,NewPubCo,4.5162992
com.mintgames.king.solitaire,Solitaire Card Game,Mint X Games,4.898986
com.mobilityware.Spades,Spades: Classic Card Games,MobilityWare,4.6213017
beetles.puzzle.solitaire,Solitaire - Classic Card Games,Kidult Lovin,4.692897
spider.solitaire.card.games,Spider Solitaire,Flyfox,4.667257
com.mobilityware.MonopolySolitaire,MONOPOLY Solitaire: Card Games,MobilityWare,4.596475
com.agedstudio.card.solitaire.klondike,Solitaire,Aged Studio Limited,4.559296
com.gsn.android.tripeaks,Tiki Solitaire TriPeaks,Scopely,4.532575
com.mobilityware.CastleSolitaire,Castle Solitaire: Card Game,MobilityWare,4.676198
com.solitaire.klondike.patience.ocean.aquarium,Solitaire,Solitaire Aquarium,4.6564484
com.mattel163.skipbo,Skip-Bo,Mattel163 Limited,4.813167
solitaire.klondike.classic.patience.card.games,Solitaire,Flyfox,4.725064
com.playtika.wsop.gp,WSOP Poker: Texas Holdem Game,Playtika,4.2593493
solitaire.mahjongmaker.collection.card.solitaire.klondike,Solitaire,Casual Mud Game,4.323583
com.mobilityware.MahjongSolitaire,Mahjong Solitaire,MobilityWare,4.6281967
com.gosub60.sol5,Solitaire Deluxe® 2,Murka Games Limited,4.4391785
com.mobilityware.GinRummySolitaire,Gin Rummy Classic,MobilityWare,4.5847273
com.mobilityware.spider,Spider Solitaire: Card Games,MobilityWare,4.6365304
com.solitaire.fish.klondike.card.aquarium,Solitaire 3D Fish,Polar Bear Studio,4.587476
net.peakgames.mobile.spades.android,Spades Plus - Card Game,Zynga,4.2625484
com.mobilityware.freecell,FreeCell Solitaire: Card Games,MobilityWare,4.620956
com.solitaire.fun.free.klondike.cardgames.farm.friends,Solitaire - My Farm Friends,Solitaire Aquarium,4.5721207
com.playvalve.solitaire,Solitaire - Classic Card Game,Playvalve,4.7355304
com.dna.solitaireapp,Solitaire – Classic Card Game,DNA Mobile Group,4.8209906
com.solitaire.solitairefree,Classic Solitaire,GAFV GAMES,4.5359225
games.conifer.card.solitaire.klondike.free,Solitaire,Conifer limited,4.6684074
com.wizards.mtga,Magic: The Gathering Arena,Wizards of the Coast LLC,4.207776
