APP_ID,TITLE,DEVELOPER,SCORE
air.com.playtika.slotomania,Slotomania™ Slots Casino Games,Playtika,4.4251857
com.cash.slot.spin.android,Cash Slots,slotshca,4.584
com.cashwinner.slots,Cash Winner Casino Slots,Triple Sevens: Casino Games,4.657126
com.diamondlife.slots.vegas.free,Lotsa Slots - Casino Games,SpinX Games Limited,4.6091523
slots.pcg.casino.games.free.android,Cash Frenzy™ - Casino Slots,SpinX Games Limited,4.3916326
com.bagelcode.slots1,Club Vegas Slots: Casino Games,Bagelcode: Social Casino & Slot Machine Games,4.8066707
com.playtika.caesarscasino,Caesars Slots: Casino Games,Playtika,4.4954996
com.productmadness.cashmancasino,Cashman Casino Las Vegas Slots,Product Madness,4.471254
com.ballytechnologies.quickhitslots,Quick Hit Casino Slot Games,SciPlay,4.672764
com.williamsinteractive.jackpotparty,Jackpot Party Casino Slots,SciPlay,4.5580444
free.cash.dozer.master.pusher.reward.real.money,Cash Master : Coin Pusher Game,Coin Pusher,4.4834604
free.cash.royal.coin.pusher.carnival.dozer,Royal Coin Carnival Pusher,cashprizes666,4.7105265
com.funtriolimited.slots.casino.free,Jackpot Wins - Slots Casino,SpinX Games Limited,4.620171
com.grandcashslots.free.gp,Grand Cash Casino Slots Games,Gamehaus Network,4.7816796
com.userjoy.yaas,YAAS Vegas - Casino Slots,USERJOY,4.537815
com.leftover.CoinDozer,Coin Dozer: Sweepstakes,Game Circus LLC,4.370476
net.playtowingames.casino,Play To Win: Win Real Money,Play To Win Games,4.2858534
com.murka.scatterslots,Scatter Slots - Slot Machines,Murka Games Limited,4.6006136
com.trpz.travel,Match To Win: Real Money Games,Rewardify,4.327491
com.grandegames.slots.dafu.casino,Jackpot World™ - Slots Casino,SpinX Games Limited,4.5770793
free.cash.dozer.pusher.reward.real.money,Cash Carnival Coin Pusher Game,"Chivalry Technology Co., Limited",4.4921427
com.ddi,DoubleDown Casino Vegas Slots,DoubleDown Interactive LLC,4.135546
com.playstudios.popslots,POP! Slots™ Vegas Casino Games,PLAYSTUDIOS INC,4.7610083
com.triwin.lucky.dozer,Lucky Cash Pusher Coin Games,TRIWIN,4.6545086
com.productmadness.hovmobile,Slots: Heart of Vegas Casino,Product Madness,4.359457
com.unicornstudio.cashparty.slots.casino.vegas.free,Cash Club Casino - Vegas Slots,SpinX Games Limited,4.7268643
com.productmadness.lightninglink,Lightning Link Casino Slots,Product Madness,4.3902354
com.pulsz,Pulsz: Fun Slots & Casino,Yellow Social Interactive Limited,4.34958
com.luckyday.app,Lucky Day,"Lucky Day Entertainment, Inc.",4.0380397
com.jmsgame.jackpotmastercasino,Jackpot Master™ Slots - Casino,Zeroo Gravity Games,4.605922
com.bagelcode.slots3,Cash Billionaire - VIP Slots,Bagelcode: Social Casino & Slot Machine Games,4.841203
com.aaagame.aaacasino,Classic Slots™ - Casino Games,Slots Limited,4.748885
com.bingo.games.android.win,Lucky Bingo - Win Cash,BingoPixel,4.6666665
com.calendar.live.smoking,Scratch Frenzy Slot,DigitalDream Tech,4.6216216
com.topultragame.slotlasvega,Cash Tornado™ Slots - Casino,Zeroo Gravity Games,4.62628
com.ifun.android.epichit,Epic Hit - Casino Slots Games,TOFUN.COM,4.75
free.prizes.cash.carnival.coin.dozer.pusher,Cash Master - Carnival Prizes,"Chivalry Technology Co., Limited",4.4589043
com.jackpotfriends.slots,Jackpot Friends™ Slots Casino,Zeroo Gravity Games,4.7711444
lottery.scratch.win,Lottery Scratch Win,PonyjoyTeam,4.2708893
com.higgs.slotsmash,Slotsmash™ - Casino Slots Game,Higgs Gaming,4.434295
