APP_ID,TITLE,DEVELOPER,SCORE
com.skibiditoilet.playtime.makeover,Mix Toilet Monster Makeover,DINO Global LTD,4.801587
com.king.candycrushsaga,Candy Crush Saga,King,4.6042385
com.my.lifting,Lifting Hero,Rollic Games,4.6289854
com.superplaystudios.dicedreams,Dice Dreams™️,SuperPlay.,4.7230964
com.playrix.gardenscapes,Gardenscapes,Playrix,4.561111
com.moonactive.coinmaster,Coin Master,Moon Active,4.6308975
com.pronetis.ironball2,Going Balls,Supersonic Studios LTD,4.160132
com.Garawell.BridgeRace,Bridge Race,Supersonic Studios LTD,4.3108993
com.ht2.stick.hero,Stick Hero: Tower Defense,ROCKET SUCCEED TOGETHER,4.7269106
com.bravestars.princess.dress.up.magic.doll,Princess Dress Up - Sweet Doll,Bravestars Casual,4.57
com.outfit7.mytalkingtom2,My Talking Tom 2,Outfit7 Limited,4.174657
com.outfit7.mytalkingangela2,My Talking Angela 2,Outfit7 Limited,4.264437
com.outfit7.mytalkingtomfriends,My Talking Tom Friends,Outfit7 Limited,4.2358527
com.tripledot.triple.tile.match.pair.game.three.master.object,Triple Tile: Match Puzzle Game,Tripledot Studios Limited,4.8016753
com.foursgames.camouflagesniper,Camo Sniper,Supersonic Studios LTD,3.0582523
closet.match.pair.matching.games,Goods Sort - Sorting Games,Mind Crush,4.652311
com.paurau.SlowMoRun,Slow Mo Run,Supersonic Studios LTD,4.3530574
com.funtomic.matchmasters,Match Masters ‎- PvP Match 3,Candivore,4.4878316
com.nxksass.GirlParkour,Make Girlfriend,ygnn,4.25679
com.VectorUpGames.TallManRun,Tall Man Run,Supersonic Studios LTD,4.2410526
com.tarboosh.collectemall,Collect Em All! Clear the Dots,VOODOO,4.6498327
com.playrix.township,Township,Playrix,4.651713
com.king.candycrushsodasaga,Candy Crush Soda Saga,King,4.617594
com.higame.par.bubble.tea,Boba DIY: Tasty Bubble Tea,HIGAME Global,4.6177883
com.yogaworkout.flexrun3d,Yoga Workout,PlayOn Global LTD,4.4774475
com.sunsetgames.bordersecurity,Airport Security,Kwalee,4.4696283
com.bingo.cash.island.game,Bingo Cash Island,PerryLeeGame3,4.3976035
gg.sunday.catescape,Cat Escape,Sunday.gg,4.3643837
com.rovio.baba,Angry Birds 2,Rovio Entertainment Corporation,4.2589507
com.MelsoftGames.FamilyIslandFarm,Family Island™ — Farming game,Melsoft Games Ltd,4.6200438
com.color.page.paint.pixel.number.happy,Color Fan - Color By Number,Casual World Studio,4.775862
com.goods.master3d.triple.puzzle,Goods Master 3D,Cobby Labs,3.9906542
com.gimica.treasuremaster,Treasure Master,Gimica GmbH,4.350619
com.aa.puffup,Puff Up - Balloon puzzle game,VOODOO,4.2010584
com.bravestars.hair.salon.beauty,Hair Salon: Beauty Salon Game,Bravestars Casual,3.5882354
com.higame.par.mix.emoji,Emoji Mix: DIY Mixing,HIGAME Global,3.142857
me.pou.app,Pou,Zakeh,4.3813267
net.wyvernware.findthealien2,Find the Alien 2,MOONEE PUBLISHING LTD,4.5841584
com.zzoo.aos.zzoo002,Monster Playtime : Makeover,Zzoo,4.159375
com.Nokobot.FrozenHoneyASMR,Frozen Honey ASMR,CrazyLabs LTD,4.1655874
