APP_ID,TITLE,DEVELOPER,SCORE
com.tocaboca.tocalifeworld,Toca Life World: Build a Story,Toca Boca,4.2902446
com.tocaboca.tocakitchen2,Toca Kitchen 2,Toca Boca,4.0630193
com.tutotoons.app.princesses,Princesses - Enchanted Castle,TutoTOONS,4.22
org.pbskids.gamesapp,PBS KIDS Games,PBS KIDS,4.293585
com.sinyee.babybus.tailor,Baby Panda's Fashion Dress Up,BabyBus,3.9824562
com.rvappstudios.kids.coloring.book.color.painting,Coloring Games: Color & Paint,RV AppStudios,4.303371
com.sinyee.babybus.world,Baby Panda World,BabyBus,4.355799
com.tutotoons.app.fluvsies.free,Fluvsies - A Fluff to Luv,TutoTOONS,4.1673665
com.orange.coloring.learn.kids,Coloring & Learn,Orange Studios Games,4.1925044
com.yasapets.hospital,Yasa Pets Hospital,Yasa Ltd,3.9847329
com.rvappstudios.baby.toddler.kids.games.learning.activity,Kids Games: For Toddlers 3-5,RV AppStudios,4.5643563
com.tutotoons.app.lolsurprisediscohouse,L.O.L. Surprise! Disco House,TutoTOONS,4.0600295
com.sinyee.babybus.icecream,Little Panda's Ice Cream Game,BabyBus,4.139344
com.libii.paperdollcastle,Paper Princess's Dream Castle,Libii HK Limited,4.2064514
com.iz.tizi.royal.princess.dollhouse.life.games.home.design.world.my.wonder.town,Tizi Town: My Princess Games,IDZ Digital Private Limited,4.230769
com.sinyee.babybus.taxi,Baby Panda's School Bus,BabyBus,3.9093485
com.libii.frozenworld,Paper Princess's Fantasy Life,Libii HK Limited,4.207921
com.psv.lol.surprise.beauty_salon,L.O.L. Surprise! Beauty Salon,Hippo Kids Games,4.690909
com.sinyee.babybus.marketIII,Panda Games: Town Home,BabyBus,3.8415842
com.tutotoons.app.floofmypethouse,Floof - My Pet House,TutoTOONS,4.202198
com.PulsSoftware.WS,Word Search - Word Search Game,AAA Fun,4.1682243
com.mamara.bakery,Little Panda: Sweet Bakery,BabyBus,4.12
com.bt42.dianacleanup,Diana Cleanup Game,DT2021,3.71
com.peppapig.worldofpeppapig_g,World of Peppa Pig: Kids Games,Entertainment One,3.4862258
com.tutotoons.app.bunnsies,Bunnsies - Happy Pet World,TutoTOONS,4.3495145
com.psv.vlad_and_nikita.supermarket,Vlad & Niki Supermarket game,Hippo Kids Games,4.7380075
com.PepiPlay.PepiHospital,Pepi Hospital: Learn & Care,Pepi Play,3.8276181
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,"Spin Master, Ltd.",3.8186529
mycity.friendshouse,My City : My Friend's House,My Town Games Ltd,4.113402
com.tutotoons.app.smolsies2,Smolsies 2 - Cute Pet Stories,TutoTOONS,4.1764708
com.tutotoons.app.sweetbabygirlcleanup5.free,Sweet Baby Girl Cleanup 5,TutoTOONS,3.848
com.tutotoons.app.mybabyunicorn.free,My Baby Unicorn - Pony Care,TutoTOONS,3.9341917
com.playtoddlers.urbancitystories.free,Stories World™ Urban City,SUBARA,4.1393037
com.sinyee.babybus.marketII,Little Panda's Town: Mall,BabyBus,4.13
com.tutotoons.app.animalhairsalonaustralia.free,Animal Hair Salon Australia,TutoTOONS,3.925865
com.rvappstudios.abc_kids_toddler_tracing_phonics,ABC Kids - Tracing & Phonics,RV AppStudios,4.170588
com.tutotoons.app.fluvsiespocketworld,Fluvsies Pocket World,TutoTOONS,4.030675
com.sinyee.babybus.care,Baby Panda Care,BabyBus,3.8730853
com.rvappstudios.baby.games.piano.phone.kids,Baby Games: Piano & Baby Phone,RV AppStudios,4.342466
com.YovoGames.babycare,Baby Care : Toddler games,YovoGames,3.6310043
