APP_ID,TITLE,DEVELOPER,SCORE
com.amanotes.gs.g06,Duet Cats: Cute Popcat Music,AMANOTES PTE LTD,4.337992
com.youmusic.magictiles,Magic Tiles 3,AMANOTES PTE LTD,3.9371371
com.rhythmdance.taptile.dancingcats,Dancing Cats - Music Tiles,Cobby Labs,4.556886
com.Zeeppo.GuitarBand,Guitar Band: Rock Battle,Supercharge Mobile,4.0953417
com.amanotes.beathopper,Tiles Hop: EDM Rush Music Ball,AMANOTES PTE LTD,4.196839
com.candle.magic_piano,Magic Piano Tiles:music game,XGAME STUDIO,4.0833335
com.dancing.smash.hop.game.tiles.beat.piano.surfer,Cyber Surfer: Beat&Skateboard,Badsnowball Limited,4.4368453
com.piano.tiles.music.game.circles.dancing.beat.magictiles,Piano Star: Tap Music Tiles,Potato Games Studio,4.4551725
game.piano.music.tiles.challenge,Piano Game: Classic Music Song,Dream Tiles Piano Game Studio,4.25
com.music.game.dancing.hair.beat.race,Dancing Hair - Music Race 3D,Potato Games Studio,4.273148
com.happy.game.beat.music.fight.android,Beat Battle Full Mod Fight,Jingmao Tec,4.089158
com.amanotes.taptap.sontung,FNF Music Night Battle,AMANOTES PTE LTD,4.381074
com.amanotes.pamadancingroad,Dancing Road: Color Ball Run!,AMANOTES PTE LTD,4.0429897
fnf.mod.fridaynightfunkin,Rap Carnival - Beat Battle,Joy Journey Girls,4.5789475
beatmaker.edm.musicgames.PianoGames,Piano Fire: Edm Music & Piano,Adaric Music,4.4054284
com.bigbluebubble.singingmonsters.full,My Singing Monsters,Big Blue Bubble Inc,4.780732
beatmaker.edm.musicgames.beathop,Piano Music Hop: EDM Rush！,Joy Journey Girls,4.158416
com.orange.kidspiano.music.songs,Piano Kids - Music & Songs,Orange Studios Games,4.3822565
com.fnfstudio.ff,FNF Funkin Music: Rap Battle,Jungle nerd,4.5233645
com.hypercat.fnf,FNF Music Battle Beat Shooter,Nooblord,4.1697054
com.fyy.musictile,Dancing Tiles,CanaryDroid,4.471191
com.music.pisox,Jukebox,Musical Jukebox,3.8342857
com.Remaster.LeapHero,Universe Hero 3D - Music&Swing,Remaster Games,3.87
com.ubisoft.dance.JustDance,Just Dance Now,Ubisoft Entertainment,3.8638072
com.wingsmob.bluepiano,Catch Tiles Magic Piano Game,WingsMob,4.311741
com.dash.dancing.smash.game.tiles.circles.beat.piano.rhythm.hop,Magic Hop: EDM & Dancing,Badsnowball Limited,4.3125
com.musicgame.musicfrenzy,Beat Racing:music & beat game,XGAME STUDIO,3.85
com.bilkon.easypiano,Real Piano,Bilkon,3.7468944
com.dancing.smash.hop.game.tiles.circles.beat.piano.beatracing,Beat Racing: Car & Racer,Badsnowball Limited,4.102459
com.bigbluebubble.msm2,Singing Monsters: Dawn of Fire,Big Blue Bubble Inc,4.6772346
com.dancing.smash.hop.game.tiles.circles.beat.paino,Smash Colors 3D: Swing & Dash,Badsnowball Limited,4.3098097
com.htt.fnf2,Friday Funkin: FNF Music Night,Great Hyper Games,4.6330276
com.dress.skirt.run.dancing.hop.game.beat.piano.hair,Dancing Dress - Fashion Girl,Potato Games Studio,4.4
com.amanotes.duetfriends,Duet Friends: Kawaii Music,AMANOTES PTE LTD,4.35
com.pianonbeat.rhythm,Magic Piano:EDM Piano Game,SYNTHJOY GAMES,4.7623763
com.joyjourney.PianoWhiteGo,Piano Music Go-EDM Piano Games,Joy Journey Music Games,4.2983804
com.hypercat.fnf2,FNF Beat Shoot: Gun Music Game,Nooblord,4.5755396
hopmusic.pianotiles.freegames,Magic Piano:EDM Music Tiles,Musicool Games,4.542857
com.spaceapegames.beatstar,Beatstar - Touch Your Music,Space Ape,4.5284696
com.dropthebeat.beatblade,Beat Blade: Dash Dance,BattleCry HQ Studio,4.2723
