APP_ID,TITLE,DEVELOPER,SCORE
com.crescivegames.twistedtangle,Twisted Tangle,Rollic Games,4.212093
com.dreamgames.royalmatch,Royal Match,"Dream Games, Ltd.",4.575725
com.block.juggle,Block Blast Adventure Master,Hungry  Studio,4.7525773
com.miracle.savethedoge.an,Save the Doge,WONDER GROUP,4.0729485
com.draw.to.pee.bo,Toilet Rush Race: Draw Puzzle,ROCKET SUCCEED TOGETHER,4.28629
com.artlife.jigsaw.puzzle,Jigsaw Puzzles: HD Puzzle Game,Playflux,4.775589
com.playrix.fishdomdd.gplay,Fishdom,Playrix,4.575768
com.nt.games.tangledsnakes,Tangled Snakes,Popcore Games,4.4052
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,Inspired Square FZE,4.8308163
com.MachinaGames.CardQuest,Card Shuffle Sort,Lion Studios Plus,4.3713694
com.maroieqrwlk.unpin,Pull the Pin,Popcore Games,3.6617634
com.jctswbglsm.SwipeAway,Tap Away,Popcore Games,3.9691012
sonic.bubbleshoot.classic,Bubble Pop Dream: Bubble Shoot,Kidult Lovin,4.838191
com.weegoon.thiefpuzzle,Thief Puzzle: to pass a level,TapNation,4.2620687
com.no1ornothing.color.water.sort.woody.puzzle,Color Water Sort Woody Puzzle,FALCON GAME STUDIO,4.63789
com.n3twork.tetris,Tetris®,PLAYSTUDIOS INC,4.2436175
com.htt.naughty.puzzle.hm,Naughty Puzzle: Brain Test,ROCKET SUCCEED TOGETHER,4.6751413
com.easybrain.art.puzzle,Art Puzzle - jigsaw art games,Easybrain,4.540451
com.tripledot.woodoku,Woodoku - Wood Block Puzzles,Tripledot Studios Limited,4.4429445
com.lszenlamzr.parkingjam,Parking Jam 3D,Popcore Games,4.198399
com.spot.find.differences.brain.puzzle,Find Difference: Spot Fun,Joymaster Studio,4.856811
com.tile.match.blockpuzzle,Tile Match - Match Puzzle Game,Playflux,4.8761373
com.playstrom.dop2,DOP 2: Delete One Part,SayGames Ltd,4.4636297
com.ezt.monster.playground,Monster Playground,Alphabets Games,3.597015
jigsaw.puzzle.game.banana,Jigsawscapes - Jigsaw Puzzles,Kidult Lovin,4.727304
com.falcon.p.gp.draw.police.tricky.puzzle,Draw Police - Tricky Puzzles,FALCON GAME STUDIO,4.264151
com.europosit.pixelcoloring,Pixel Art - color by number,Easybrain,4.4921517
com.JindoBlu.Antistress,Antistress - relaxation toys,JindoBlu,4.6635714
com.pbgames.parkingorder,Parking Order!,Rollic Games,4.3750863
ball.sort.puzzle.color.sorting.bubble.games,Ball Sort Puzzle - Color Game,Guru Puzzle Game,4.662935
com.greyfun.block.puzzle.sudoku,Block Puzzle Sudoku,Greyfun Games,4.808696
com.cdg.tictactoe,Tic Tac Toe - 2 Player XO,CDT Puzzle Studio,4.357143
com.dxm.nopuzzle,Block Puzzle,Candy Mobile,4.585562
com.game.foldpuzzle,Paper Fold,Good Job Games,4.5849314
com.matchingham.impossible.date.tricky.riddles,Impossible Date: Tricky Riddle,Matchingham Games,4.1526318
com.demin.emojipuzzle,Emoji Puzzle!,Supersonic Studios LTD,4.337069
io.randomco.travel,Travel Town - Merge Adventure,Magmatic Games LTD,4.612245
com.easybrain.cross.logic.puzzle,Logic Puzzles - brain riddles,Easybrain,4.1090693
com.onebutton.mrsuper,The Superhero League,Lion Studios,4.437195
com.easybrain.block.puzzle.games,Blockudoku®: block puzzle game,Easybrain,4.4121094
