APP_ID,TITLE,DEVELOPER,SCORE
com.easygames.race,Race Master 3D - Car Racing,SayGames Ltd,4.3967905
com.adengames.weaponcraftrun,Weapon Craft Run,Rollic Games,3.6846542
markergame.coffeestack,Coffee Stack,Rollic Games,4.5672817
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,Gameloft SE,4.4819527
com.skgames.trafficrider,Traffic Rider,skgames,4.285663
com.monster.demolition,Monster Demolition - Giants 3D,SayGames Ltd,4.4082885
com.hypermonkgames.Dyno2RaceCarTuning,Dyno 2 Race - Car Tuning,HyperMonk Games,4.3707094
com.bc23.traffic.car.driving.city.game3D,Traffic Driving Car Simulator,Botanica Global,4.6573033
com.gym.racegame,Epic Race 3D,Good Job Games,4.3078065
com.dino.moto.race.master,Bike Game 3D: Racing Game,Zego Studio,4.4455447
com.ea.game.nfs14_row,Need for Speed™ No Limits,ELECTRONIC ARTS,4.398549
com.codemasters.F1Mobile,F1 Mobile Racing,ELECTRONIC ARTS,4.431649
com.dino.race.master,Car Games 3D: Car Racing,Zego Studio,4.5251255
com.fingersoft.hcr2,Hill Climb Racing 2,Fingersoft,4.5065084
jp.co.goodroid.hyper.plugheadrace,Plug Head Race,"GOODROID,Inc.",3.918033
com.fingersoft.hillclimb,Hill Climb Racing,Fingersoft,4.570466
com.jura.monster.truck.stunt,Monster Truck Stunt - Car Game,Zego Studio,4.0576925
com.turborilla.bike.racing.madskillsmotocross3,Mad Skills Motocross 3,Turborilla,4.3283334
com.aim.racing,Extreme Car Driving Simulator,AxesInMotion Racing,4.2926903
com.hypermonkgames.Drift2Drag,Drift 2 Drag,HyperMonk Games,4.3950176
com.jura.car.crashes,Mega Car Crash Simulator,Zego Studio,3.7181818
racearena.io,Cars Arena: Fast Race 3D,Jerboa Games,4.625
air.com.aceviral.motox3m,Moto X3M Bike Race Game,Ace Viral,4.5838885
com.jura.car.crash,Car Crash Compilation Game,Zego Studio,3.548387
com.jura.formula.race.master,Formula Racing: Car Games,Zego Studio,4.0983605
com.madfatcat.rockcrawler,Rock Crawler,VOODOO,4.3869047
com.ducky.bikehill3d,Riding Extreme 3D,playducky.com,4.1203933
com.nitro.racing.speed.nfs.car.underground,NS2: Underground - car racing,Shooting games for everyone,4.571429
com.vectorunit.purple.googleplay,Beach Buggy Racing,Vector Unit,4.476145
com.budgestudios.googleplay.HotWheelsUnlimited,Hot Wheels Unlimited,Budge Studios,4.0414367
com.blackdrive.drivedodge,Driving Dodge Charger Race Car,Black Drive Studio,3.1875
com.hyperkani.stuntcarextreme,Stunt Car Extreme,Hyperkani,4.563452
com.jura.car.stunt.master,GT Car Stunts 3D: Car Games,Zego Studio,4.1023254
com.naturalmotion.customstreetracer2,CSR 2 Realistic Drag Racing,NaturalMotionGames Ltd,4.592269
com.azurgames.taxi,Taxi Run: Traffic Driver,CASUAL AZUR GAMES,4.348921
com.kayac.mannequinDownhill,Mannequin Downhill,KAYAC Inc.,4.587629
com.tiramisu.driftmax2,Drift Max Pro Car Racing Game,Tiramisu,4.697173
com.cerebelliumapps.motoextremeracing,Motorcycle Real Simulator,Cerebellium Apps,4.5044055
com.GoofyGamerGames.Pizza,Deliver It 3D,VOODOO,4.59901
com.gameloft.android.ANMP.GloftA9HM,Asphalt 9: Legends,Gameloft SE,4.4513655
