APP_ID,TITLE,DEVELOPER,SCORE
com.pazugames.avatarworld,Avatar World: City Life,Pazu Games,4.710157
tr.com.apps.fashion.battle,Fashion Battle - Dress up game,Apps Mobile Games,4.452404
com.famous.fashion.stylist,Famous Fashion - Dress Up Game,PlayOn Global LTD,4.7125
com.pz.life.android,Highrise: Virtual Metaverse,Pocket Worlds,4.3009334
com.funcell.hyperpa,Hyper PA,Funcell Games Pvt Ltd,4.5019684
com.netmarble.mherosgb,MARVEL Future Fight,Netmarble,3.9171216
com.neowizgames.game.browndust2,BrownDust2 - Adventure RPG,NEOWIZ,4.2916665
com.zloong.eu.dr.gp,Dragon Raja,Archosaur Games,3.923702
com.fundrivegames.mega.ramp.ultimate.cars.stunts.impossibletracks,Ramp Car Games: GT Car Stunts,Fun Drive Games,4.3513513
com.crazylabs.hair.dye.challenge,Hair Dye,CrazyLabs LTD,4.31734
com.blizzard.diablo.immortal,Diablo Immortal,"Blizzard Entertainment, Inc.",4.6109
com.nexters.herowars,Hero Wars – Fantasy Battles,NEXTERS GLOBAL LTD,4.2185817
com.plarium.raidlegends,RAID: Shadow Legends,Plarium Global Ltd,4.550522
com.fivebits.emeregencydispatch,911 Emergency Dispatcher,Supersonic Studios LTD,4.475342
com.YovoGames.dentist,Children's doctor : dentist,YovoGames,3.8831615
com.cww.cubecraft,CubeCraft,SayGames Ltd,4.3800507
com.ifriend.app,EVA AI (ex Journey) Chat Bot,Novi Limited,4.1011305
com.pabloleban.IdleSlayer,Idle Slayer,Pablo Leban,4.5942736
com.games2win.weddingdressup,Super Wedding Dress Up Stylist,Games2win.com,4.284706
com.colossi.survival.samurai,Daisho: Survival of a Samurai,Colossi Games,4.52
com.tutotoons.app.kikififipetbeautysalon.free,Kiki & Fifi Pet Beauty Salon,TutoTOONS,3.8745248
com.arkgames.ggplay.tlonglobal,The Legend of Neverland,Ark Games Global,4.358757
com.pazugames.princesspetpalace,Princess Palace Pets World,Pazu Games,3.4257426
com.everskies.app,Everskies: Virtual Dress up,Pocket Worlds,4.59434
com.crazylabs.monster.high,Monster High™ Beauty Salon,CrazyLabs LTD,4.293676
com.FoxieGames.WildWolfAnimalSim,Wolf Tales - Wild Animal Sim,Foxie Ventures,4.252533
com.nekki.shadowfightarena,Shadow Fight 4: Arena,NEKKI,4.6571364
com.foxnextgames.m3,MARVEL Strike Force: Squad RPG,Scopely,3.9915087
com.and.earth.en,Idle Survivors: Last Stand,MAX GAME PTE.LTD.,4.514563
com.grand.gangster.theft.crime.simulator.games,Gangster Theft Crime Simulator,Gaming Engine,3.69
com.arcade.mine,Craft Valley - Building Game,SayGames Ltd,4.1589403
com.zjcgame.icingonthedress,Icing On The Dress,Lion Studios,4.15832
com.megames.fire.craft,Fire craft,Creatonix,3.4782608
jp.pokemon.pokemonquest,Pokémon Quest,The Pokémon Company,4.2788143
com.solou.catendless.run,Cat Runner: Decorate Home,Ivy,4.0704226
com.dream.dale,Dreamdale - Fairy Adventure,SayGames Ltd,4.2247257
com.cookapps.newdemonslayer,Tailed Demon Slayer : RISE,CookApps,4.352941
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,NEKKI,4.54704
com.smilegate.outerplane.stove.google,OUTERPLANE - Strategy Anime,"Smilegate Holdings, Inc",4.3309093
com.tgc.sky.android,Sky: Children of the Light,thatgamecompany inc,4.668815
