APP_ID,TITLE,DEVELOPER,SCORE
com.crazy.block.robo.monster.cliffs.craft,Block Crazy Robo World,Craft Trending Studio,3.4442477
io.supercent.burgeridle,Burger Please!,Supercent,4.5340376
com.dragonplus.happyhospital,Happy Hospital: Doctor ASMR,DragonPlus Game Limited,4.274964
com.cdtg.ragdoll.playground,Ragdoll Playground,Reggae True Love,3.765244
com.cclaw.diypaperdoll,DIY Paper Doll,CrazyLabs LTD,4.5316315
com.lumber.inc,Idle Lumber Empire,Game Veterans,4.1603875
com.gameloft.android.ANMP.GloftDYHM,Disney Magic Kingdoms,Gameloft SE,4.4701986
com.dynlwpp.atur129,Drawing Carnival,CrazyLabs LTD,4.4790077
com.fty.pwasher,PowerWasherMan - toilet clean,FTY LLC.,4.4905663
com.cdgames.fidget3d,Fidget Toys 3D - Antistress,Fidget Dev,4.0962706
com.markergame.swordmelter,Sword Melter,Rollic Games,4.1397057
com.fc.p.F4.Skibidi.toilet.road.fight,Skiibydi Toilet Merge Fight,MAGIC GAME STUDIO,3.8235295
com.newnormalgames.phonecasediy,Phone Case DIY,CrazyLabs LTD,4.3532667
tr.com.apps.drill.and.collect,Drill and Collect - Idle Mine,Apps Mobile Games,4.4367347
com.gk.hoarding,Hoarding and Cleaning,FTY LLC.,3.9267735
com.hwqgrhhjfd.idlefastfood,Eatventure,Lessmore UG,4.525938
com.apetrus.makeup,Makeup Kit - Color Mixing,CrazyLabs LTD,4.5517564
com.paradyme.solarsmash,Solar Smash,Paradyme Games,4.5576925
com.cdglobal.human.workshop,Ragdoll Human Workshop,Alphabets Games,3.1834862
com.gun.lightsaber.scifigunsounds,Gun Simulator & Lightsaber,DINO Global LTD,4.7267876
es.socialpoint.DragonCity,Dragon City Mobile,Social Point,4.712175
com.paurau.MakeHer,Move People,Supersonic Studios LTD,4.0275826
com.pd.vehiclemasters,Vehicle Masters,SayGames Ltd,4.2820783
com.mytona.cookingdiary.android,Cooking Diary® Restaurant Game,Mytona,4.5320334
com.candywriter.bitlife,BitLife - Life Simulator,"Candywriter, LLC",4.401257
farm.parking.game,Farm Jam: Animal Parking Game,Appsyoulove,4.510412
com.build.vip.realm.city,Craft World - Master Block 3D,Master Craft Game 3D,3.3679144
com.luckyskeletonstudios.idlebanktycoon,Idle Bank Tycoon: Money Empire,Kolibri Games,4.557025
com.tree.idle.catsnackbar,Cat Snack Bar : Cat Food Games,TREEPLLA,4.7364197
com.dramaton.slimepet,Bruno - My Super Slime Pet,Dramaton,4.5384617
com.TrofyGames.DroneAttackSRP,Drone Strike Military War 3D,VOODOO,4.628959
com.weloadin.dessertdiy,Dessert DIY,CrazyLabs LTD,4.4257207
com.crazylabs.acrylic.nails,Acrylic Nails!,CrazyLabs LTD,4.3227983
com.dragon.game.earth.house.craft,Craft Earth Boy,Crafting Adventure Games,3.539604
com.game.minicraft.village,MiniCraft Village,RabbitStudio,4
com.crazylabs.tie.dye.art,Tie Dye,CrazyLabs LTD,4.5144076
com.fennik.facemask.diy.makeover,DIY Makeover: ASMR Mask 3D,DINO Global LTD,4.1463413
com.SnackPlay.LunchBoxReady,Lunch Box Ready,CrazyLabs LTD,4.5
com.crazylabs.diy.make.up,DIY Makeup,CrazyLabs LTD,4.17577
com.sdpgames.sculptpeople,Sculpt people,CrazyLabs LTD,4.2371063
