APP_ID,TITLE,DEVELOPER,SCORE
com.miniclip.eightballpool,8 Ball Pool,Miniclip.com,4.531958
com.ea.gp.fifamobile,FIFA Soccer,ELECTRONIC ARTS,4.332669
com.mythical.superteam,NFL Rivals - Football Game,Mythical Games,4.442935
com.soccer.score.star,Soccer Super Star,Real Freestyle Soccer,4.526519
us.kr.baseballnine,BASEBALL 9,playus soft,4.5342712
com.sports.real.golf.rival.online,Golf Rival,Zynga,4.310575
com.tetrox.bowl,Bowling Crew — 3D bowling game,Wargaming Group,4.5785627
com.miniclip.basketballstars,Basketball Stars: Multiplayer,Miniclip.com,4.6355596
com.ea.gp.nbamobile,NBA LIVE Mobile Basketball,ELECTRONIC ARTS,4.3264637
com.sports.eightball.pool.rival,Infinity 8 Ball™ Pool King,Playorcas,4.5241766
com.billiards.shooting.ball.pool,Shooting Ball,7788`s,4.5245423
com.ea.gp.maddennfl21mobile,Madden NFL 23 Mobile Football,ELECTRONIC ARTS,4.3321247
com.football.soccer.league,Football League 2023,MOBILE SOCCER,4.335165
com.masomo.headball2,Head Ball 2 - Online Soccer,Masomo Gaming,4.26102
com.hypgames.ultimategolf,Ultimate Golf!,Miniclip.com,4.3262143
com.qs.pool,Pool Tour - Pocket Billiards,Candy Mobile,4.6235065
com.tapped.dunkworld,Hoop World,Quiet Inc,4.5795364
com.billiards.city.pool.nation.club,Pooking - Billiards City,MOUNTAIN GAME,4.5185637
com.sport.cornhole,Cornhole League,TapNation,4.5100403
com.motionvolt.flipbounce,Flip Master,MotionVolt Games Ltd,4.4027233
com.motionvolt.flipdiving,Flip Diving,MotionVolt Games Ltd,4.36738
com.firsttouchgames.dls7,Dream League Soccer 2023,First Touch Games Ltd.,4.34395
com.com2us.ninepb3d.normal.freefull.google.global.android.common,MLB 9 Innings 23,Com2uS,4.4069343
com.cg.archery,Archery Battle 3D,Doodle Mobile Ltd.,4.683957
com.SPSoftwareProductions.TheRealJuggle,The Real Juggle,Lion Studios,3.6432748
com.catdaddy.mynba2k23,MyNBA2K23,"2K, Inc.",2.9078948
com.parkourrace.game,Parkour Race - FreeRun Game,Madbox,4.254358
com.firsttouchgames.story,Score! Hero,First Touch Games Ltd.,4.170285
com.playdemic.golf.android,Golf Clash,ELECTRONIC ARTS,4.2223706
com.mgc.runnergame,Run Race 3D,Good Job Games,4.4229593
com.Psyonix.RL2D,Rocket League Sideswipe,Psyonix Studios,3.988283
com.catdaddy.nba2km,NBA 2K Mobile Basketball Game,"2K, Inc.",4.464495
games.onebutton.golfbattle,Golf Battle,Miniclip.com,4.49161
com.doubletapsoftware.basketballbattle,Basketball Battle,DoubleTap Software,4.54547
com.newstargames.retrobowl,Retro Bowl,New Star Games Ltd,4.6565957
com.tfgco.games.sports.free.tennis.clash,Tennis Clash: Multiplayer Game,Wildlife Studios,4.4122467
com.miniclip.footballstrike,Football Strike: Online Soccer,Miniclip.com,4.5381646
com.Partyup.GolfRoyale,Golf Guys,VOODOO,4.5
com.ea.tsb,EA SPORTS MLB TAP BASEBALL 23,ELECTRONIC ARTS,4.485133
com.boombitgames.Dartsy,Darts Club: PvP Multiplayer,BoomBit Games,4.4779296
