APP_ID,TITLE,DEVELOPER,SCORE
com.tap4fun.ape.gplay,Age of Apes,tap4fun,4.555137
com.nvsgames.snap,MARVEL SNAP,Nuverse,4.4266634
com.my.defense,Rush Royale: Tower Defense TD,UPWAKE.ME,4.2469587
com.andoutlaw.cowboy,Outlaw Cowboy,ONEMT HONG KONG LIMITED,4.5412846
com.ea.game.pvzfree_row,Plants vs. Zombies™,ELECTRONIC ARTS,4.19127
com.topgamesinc.evony,Evony: The King's Return,TG Inc.,3.4091449
com.supercell.clashroyale,Clash Royale,Supercell,4.2668853
com.igg.android.lordsmobile,Lords Mobile: Kingdom Wars,IGG.COM,4.411461
io.state.fight,State.io — Conquer the World,CASUAL AZUR GAMES,3.965162
com.warrior.hikeradventure,Hiker: Heropack Creed,Easy & Fun Casual Games,3.0747664
com.gof.global,Whiteout Survival,Century Games Pte. Ltd.,4.5292583
com.sgs.real.gangster.mafia.vegas.theft.crime.simulator.game,Gangster Vegas Crime 3D Sim,Stag Creations,3.84
com.sivona.stormshot.e,Stormshot: Skull Isle Odyssey,FunPlus International AG,4.2425876
com.star.union.planetant,The Ants: Underground Kingdom,StarUnion,4.4049835
com.global.ztmslg,Puzzles & Survival: Z Express,37GAMES,4.3607626
com.supercell.clashofclans,Clash of Clans,Supercell,4.5498357
es.socialpoint.MonsterLegends,Monster Legends,Social Point,4.5756574
com.survive.silentcastle,Silent Castle: Survive,BEP1C STUDIO,4.4254146
com.netflix.NGP.BloonsTDSix,Bloons TD 6 NETFLIX,"Netflix, Inc.",4.822034
com.camelgames.aoz,Age of Origins,CamelStudio,3.8651574
com.igg.android.vikingriseglobal,Viking Rise,IGG.COM,4.535457
com.pixelfederation.ts2,Train Station 2: Railroad Game,Pixel Federation Games,4.2991505
com.yottagames.gameofmafia,The Grand Mafia,Phantix Games,4.47166
com.totalbattle,Total Battle: War Strategy,Scorewarrior,4.3265305
com.bw.ud.googleplay,Uboat,Seagame,4.6
com.maxgames.stickwarlegacy,Stick War: Legacy,Max Games Studios,4.6601424
com.global.antgame,Ant Legion: For The Swarm,37GAMES,4.556522
com.camelgames.superking,War and Order,CamelStudio,4.0462327
net.wargaming.wot.blitz,World of Tanks Blitz - PVP MMO,Wargaming Group,4.0840015
com.igg.android.doomsdaylastsurvivors,Doomsday: Last Survivors,IGG.COM,4.462481
com.ubisoft.dragonfire,South Park: Phone Destroyer™,Ubisoft Entertainment,4.7245474
com.fingerfun.coc.gplay,City of Crime: Gang Wars,FingerFun Limited.,4.509958
tycoon.building.simulator.games.aldagames.com,Transport Tycoon Empire: City,Alda Games,4.4026403
com.bugbomb.stickmanpath,Stickman Path,OVIVO Games,3.7007298
br.com.tapps.vloggergoviral,Vlogger Go Viral: Tuber Life,Tapps Games,4.5213475
com.more.dayzsurvival.gp,Last Shelter: Survival,Long Tech Network Limited,4.1635594
com.ninjakiwi.bloonstdbattles2,Bloons TD Battles 2,ninja kiwi,4.158969
com.elex.twdsaw.gp,The Walking Dead: Survivors,Galaxy Play Technology Limited,4.5212607
com.brusgames.kingofcrusaderstrongholds,Medieval: Defense & Conquest,Vojtech Jesatko,4.5833335
com.kingsgroup.sos,State of Survival: Zombie War,FunPlus International AG,4.349196
