APP_ID,TITLE,DEVELOPER,SCORE
com.unicostudio.braintest,Brain Test: Tricky Puzzles,Unico Studio,4.7058973
com.skibidi.toilet.guess,Guess Skibydi Monster Voice,DINO Global LTD,4.6666665
com.fun.frenzy.trivia.android,Fun Frenzy Trivia Play Offline,Matcha Sauce LLC,4.5737705
com.trivia.star.android,TRIVIA STAR Quiz Games Offline,Super Lucky Games LLC,4.836419
com.fullfat.textordie,Text or Die,Rollic Games,4.279726
com.etermax.preguntados.lite,Trivia Crack,etermax,4.419446
com.unicostudio.braintest4,Brain Test 4: Tricky Friends,Unico Studio,4.635714
com.guess.movie.fans.wordgame.moviequiz,Movie Trivia Star,jiyingshe,4.639466
com.randomlogicgames.triviagame,Trivia Night,"Random Logic Games, LLC",3.85
com.unicostudio.popularwords,Popular Words: Family Game,Unico Studio,4.7629795
com.zd.answer,Trivia Crush,CanaryDroid,4.731418
com.JaddZayed.GuessTheDrawing,Guess The Drawing,Supersonic Studios LTD,3.28
com.logoquiz.triviagame,Logo Quiz - World Trivia Game,PrizePool Studios,4.8030887
com.qoni.guesstheiranswer,Guess Their Answer,TapNation,4.389309
com.bible.trivia.wordgame.biblequiz,Bible Trivia Challenge,jiyingshe,4.8188977
com.unicostudio.braintest2new,Brain Test 2: Tricky Stories,Unico Studio,4.725405
typing.fast.texting.practice.keybord.type.games,"Type Sprint: Typing Games, Pra",Masterskaya DK,4.2801204
com.gimica.triviamadness,Trivia Madness,Gimica GmbH,4.4897027
tr.com.apps.how.many,How Many - Trivia Game,Apps Mobile Games,4.45679
com.unicostudio.braintest3,Brain Test 3: Tricky Quests,Unico Studio,4.677778
com.erudite.trivia.brain.quiz.mind.game,Erudite: Trivia Game & Quiz,Mioris LTD,4.630719
com.umi.feudlive,Family Feud® Live!,"Jam City, Inc.",3.8416243
com.whoisit.celebquiz,Who is it? Celeb Quiz Trivia,PrizePool Studios,4.741071
com.daily.bible.trivia.android,Daily Bible Trivia Bible Games,My Daily Bread LLC,4.931382
com.bo.hooked,Wild Cash | Quiz to Earn,Hooked Technology,3.3564355
com.xmonetize.quizzland,QuizzLand. Quiz & Trivia game,Quiz & Trivia Games by Mno Go Apps,4.742853
com.unicostudio.whois,Who is? Brain Teaser & Riddles,Unico Studio,4.6680884
com.tellmewow.senior.hangman,Hangman,Senior Games,4.44239
word.riddles.guess.brain.test.tricky.puzzle.quiz.game.free,Word Riddles - Offline Word Ga,Magic Word Games,4.6814117
games.elia.peoplesay,People Say - Family Game,ELIA,4.6590166
game.mind.teaser.smartbrain,Smart Brain: Mind-Blowing Game,Unico Studio,4.0843496
trivia.master.question.quiz.answer.crack.star.millionaire.free.knowledge,Trivia Master - Word Quiz Game,Word Connect Games,4.714286
com.nuomondo.millionaire.quiz,Millionaire - Quiz & Trivia,Trivia & Quiz Games by Nuomondo,4.7525773
bible.trivia.quiz.question.answer.spelling.correct.knowledge.test.game,Bible Trivia - Word Quiz Game,Word Connect Games,4.5801888
com.tellmewow.senior.pastime,Pastimes - 26 Mini Games,Senior Games,4.486989
com.etermax.trivia.preguntados2,Trivia Crack 2,etermax,4.5090947
com.niceteen.games.dtbam,Deal To Be A Millionaire,Niceteen Games,4.5748034
com.sonypicturestelevision.jeopardy2,Jeopardy!® Trivia TV Game Show,Uken Games,4.3662515
com.BanditBears.ZoomOut3D,Zoom Out 3D,CrazyLabs LTD,4.440967
com.puzzle.sweetsmerge,Sweets Merge - Candy Puzzle,AaoWei,3.5
