APP_ID,TITLE,DEVELOPER,SCORE
in.playsimple.wordsearch,Word Search Explorer,PlaySimple Games,4.918152
com.peoplefun.wordcross,Wordscapes,PeopleFun,4.5326495
com.vottzapps.wordle,Wordle!,Lion Studios Plus,4.105746
com.fugo.wow,Words of Wonders: Crossword,Fugo Games,4.877254
com.littleengine.wordpal,Word Wars - Word Game,PlaySimple Games,4.4572473
com.wordgame.words.connect,Word Connect,ZenLife Games Ltd,4.8314385
in.daily_puzzle.crossword,Crossword Explorer,PlaySimple Games,4.426384
in.playsimple.wordtrip,Word Trip,PlaySimple Games,4.648941
in.playsimple.tripcross,Crossword Jam,PlaySimple Games,4.709517
in.crossy.daily_crossword,Daily Themed Crossword Puzzles,PlaySimple Games,4.592759
com.hitapps.figgerits,Figgerits - Word Puzzle Game,Hitapps,4.285103
com.pieyel.scrabble,Scrabble® GO-Classic Word Game,Scopely,4.213841
com.mobilegame.wordsearch,Word Search,Italic Games,4.735238
com.peoplefun.wordsearch,Wordscapes Search,PeopleFun,4.759842
com.nytimes.crossword,NYT Games: Word Games & Sudoku,The New York Times Company,3.6164994
com.platinumplayer.word.addict,Word Collect - Word Games Fun,Super Lucky Games LLC,4.8763733
com.blackout.word,Word Search - Word Puzzle Game,Blackout Lab,4.74393
com.braindom,Braindom: Brain Games Test,Matchingham Games,4.7728057
com.joyvendor.wordhike.android.en,Word Hike -Inventive Crossword,Joy Vendor,4.80133
com.histudiogames.wordcarnivalg,Word Carnival - All in One,HI STUDIO LIMITED,4.732143
com.zynga.words3,Words with Friends 2 Classic,Zynga,4.1108756
com.wb.headsup,Heads Up!,Warner Bros. International Enterprises,3.4464078
com.wordfarm.scapes,Word Farm Adventure: Word Game,Mad Brain Games LTD,4.632622
bible.wordgame.words.connect.crossword.cookies,Bible Word Puzzle - Word Games,Kidult Lovin,4.774468
com.gsr.wordcross,Crossword Quest,Words Mobile,4.6739492
com.aaaudi.wordmaker,Word Maker: Words Games Puzzle,AAA Fun,4.5759
com.playvalve.wsjourney,Word Search - Word Puzzle Game,Playvalve,4.8151217
com.funcraft.wordgrams,Wordgrams - Crossword & Puzzle,FunCraft Games,4.3829613
com.scopely.wheeloffortune,Wheel of Fortune: TV Game,Scopely,4.448307
com.hitapps.associations,Associations: Word Puzzle Game,Hitapps Games,4.2803235
spelling.quiz.trivia.question.answer.correct.word.learn.language.puzzle,Spelling Quiz - Word Trivia,Word Connect Games,4.7643676
com.fanatee.stop2,Stop 2 - Word Trivia Game,"Fanatee, Inc.",4.1666665
com.histudiogames.wordblastg,Word Blast: Word Search Games,HI STUDIO LIMITED,4.7152033
com.bitmango.go.wordcookies,Word Cookies! ®,BitMango,4.5472775
com.histudiogames.wordserenityg,Word Serenity: Fun Word Search,HI STUDIO LIMITED,4.682279
word.connnect.win.real.game,Word Connect Win,PonyjoyTeam,4.7586207
com.tangramgames.gourddoll.wordcrush,Word Crush - Fun Puzzle Game,TangramGames,4.6668053
com.severex.figgerits.puzzle.logic,Acrostics－Crostic Crossword,Severex,4.4455447
com.fanatee.dragx,Crossword: LunaCross,"Fanatee, Inc.",4.3396225
com.pch.wordmania,PCH Wordmania - Word Games,Publishers Clearing House,4.5494356
