APP_ID,TITLE,DEVELOPER,SCORE
com.bloodsugar.healthly.lifestyle,Blood Sugar,P & L Studio,4.4340277
com.appsinnova.android.bloodpressure,Health Tracker,APPS INNOVA,4.2396693
menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,Leap Fitness Group,4.9131985
com.planetfitness,Planet Fitness Workouts,Planet Fitness,3.875829
bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure App,QR Code Scanner.,4.262937
com.dreams.sweetdream,Sweet Dream - Sleep Sounds,Glennie M Wood,4.40566
loseweight.weightloss.workout.fitness,Lose Weight at Home in 30 Days,Simple Design Ltd.,4.8887568
com.alltrails.alltrails,"AllTrails: Hike, Bike & Run","AllTrails, LLC",4.780653
fitness.home.workout.weight.loss,JustFit - Lazy Workout,Enerjoy,4.5244956
com.gen.workoutme,BetterMe: Health Coaching,BetterMe Limited,4.245152
com.calm.android,"Calm - Sleep, Meditate, Relax","Calm.com, Inc.",4.468006
com.fitbit.FitbitMobile,Fitbit,Fitbit LLC,4.0741405
loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,Leap Fitness Group,4.854063
app.feelsy,Feelsy: Stress Anxiety Relief,Gototop LTD,4.0547886
splits.splitstraining.dothesplits.splitsin30days,Splits Training in 30 Days,Leap Fitness Group,4.7939243
io.yuka.android,Yuka - Food & cosmetic scan,Yuka App,4.770671
com.google.android.apps.fitness,Google Fit: Activity Tracking,Google LLC,3.997242
com.ecw.healow,healow,eClinicalWorks LLC,4.5539804
org.iggymedia.periodtracker,Flo Ovulation & Period Tracker,Flo Health Inc.,4.605322
com.getsomeheadspace.android,Headspace: Mindful Meditation,"Headspace for Meditation, Mindfulness and Sleep",4.4843473
com.water.reminder.tracker,My Water Reminder: Tracker App,Water Tracker Reminder,4.703627
com.jolly.android.steps,Jolly Steps,StepstoHealth,4.508772
stepcounter.pedometer.stepstracker,Step Counter - Pedometer,Hitchhike Tech,4.8461537
com.myfitnesspal.android,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.",4.0652237
com.health.blood.pressure.heart.android,Blood Pressure - Take Pill,XuDongTeam,4.076923
ipnossoft.rma.free,BetterSleep: Sleep tracker,Ipnos Software,4.4777365
heartratemonitor.heartrate.pulse.pulseapp,Heart Rate Monitor - Pulse App,QR Code Scanner.,4.8596272
fitnesscoach.workoutplanner.weightloss,Fitness Coach: Weight Loss,Leap Fitness Group,4.9317408
bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,QR Code Scanner.,4.40367
com.fun.android.steps,Fun Steps,StepstoHealth,4.61244
com.finch.finch,Finch: Self Care Pet,Finch Care Public Benefit Corporation,4.893622
bloodpressure.bloodpressureapppro.bloodpressureapp,Blood Pressure App Pro,Hitchhike Tech,4.210145
com.heartrate.bloodpressuretracker,Blood Pressure Tracker,Super Effect Studio,4.0689654
net.beginners.weight.loss.workout.women.yoga.go,Yoga-Go: Yoga For Weight Loss,WELLTECH APPS LIMITED,4.681143
homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,Leap Fitness Group,4.9261756
com.withfeelingai.test,Paradot: Virtual Being to Chat,WITHFEELING.AI,3.853846
in.sweatco.app,Sweatcoin,Sweatco Ltd,4.3539805
com.basenjiapps.breeze,Breeze: mental health,Basenji Apps,3.8650963
com.strava,"Strava: Run, Bike, Hike",Strava Inc.,4.456816
com.onepeloton.callisto,Peloton - Fitness & Workouts,"Peloton Interactive, Inc",4.2604275
