APP_ID,TITLE,DEVELOPER,SCORE
com.zillow.android.zillowmap,Zillow: Homes For Sale & Rent,Zillow,4.7129
com.tmobile.homeisp,T-Mobile Internet,T-Mobile USA,4.0749626
com.roku.rokuhome,Roku Smart Home,Roku Inc.,4.479277
com.rent,Rent. Apartments & Homes,"Rent Group, Inc",4.4958625
com.move.realtor,Realtor.com Real Estate,realtor.com®,4.638788
com.servicemagic.consumer,Angi: Hire Home Service Pros,Angi Inc.,4.3614745
com.ivuu,AlfredCamera Home Security app,Alfred Systems Inc.,4.7753115
com.thumbtack.consumer,Thumbtack: Hire Service Pros,Thumbtack,4.463555
com.apartmentlist.mobile,Apartment List,Apartment List,4.5878735
com.apartments.mobile.android,Apartments.com Rental Search a,Apartments.com,4.638438
com.redfin.android,Redfin Houses for Sale & Rent,Redfin,4.646394
com.trulia.android,Trulia: Homes For Sale & Rent,Trulia,4.734145
com.appfolio.resident_portal,Online Portal by AppFolio,"AppFolio, Inc.",3.7847223
com.vivint.vivintsky,Vivint,Vivint Home,4.056097
com.stromming.planta,Planta - Care for your plants,Strömming AB,4.419301
com.tv.cast.screen.mirroring.remote.control,TV Cast: Anycast in smart view,TV Master - Smart TV Remote Control,4.6410656
app.visory.security_camera,Surveillance camera Visory,Saby Baby monitor Ltd,4.1634617
com.homes.homesdotcom,Homes.com for Sale & Rent,Homes.com,4.363229
com.roku.tv.remote.control,Roku Remote Control TV Remote,SoulApps Studio,4.608069
com.zillow.android.rentals,Apartments & Rentals - Zillow,Zillow,4.685256
com.primedia.apartmentguide,Apartments by Apartment Guide,"Rent Group, Inc",4.518594
com.remotecontrol.tvremote.universal,Universal TV Remote Control,SoulApps Studio,3.7
com.ecobee.athenamobile,ecobee,ecobee inc.,4.6566434
com.icandesignapp.all,Room Planner: Home Interior 3D,iCanDesign LLC,4.172093
co.real.productionreal2,REAL Messenger,Real Messenger Inc,4.09
com.universal.tv.remote.control.all.tv.controller,Universal TV Remote Control,TV Master - Smart TV Remote Control,4.2651687
com.trulia.android.rentals,Trulia Rent Apartments & Homes,Trulia,4.7045164
com.hotpads.mobile,HotPads Apartments & Home Rent,HotPads,4.652174
com.orbit.orbitsmarthome,b-hyve,B-hyve,4.4435163
com.universal.ac.remote.control.air.conditioner,AC Remote - Air Conditioner,TV Master - Smart TV Remote Control,4.411043
vizio.remote.control.tv.smartcast,Vizio Smart TV Remote,Naba,4.4663863
com.remax.remaxmobile,RE/MAX® Real Estate,"RE/MAX, LLC",4.3994293
com.merkury.geeni,Merkury Smart,Merkury Innovations,4.0878377
cz.master.lois,Home Security Camera: ZoomOn,Master App Solutions,3.8472223
com.wizconnected.wiz2,WiZ V2,Signify Netherlands B.V.,3.82
com.smartrent.resident,SmartRent,SmartRent,4.2252254
io.afero.partner.hubspace,Hubspace,Afero,4.468458
com.boost.samsung.remote,Remote for Samsung TV,BoostVision,3.76
com.fix.fix_android,Fix app by Fix.com,Fix.com,4.05
com.planner5d.planner5d,Planner 5D: Design Your Home,Planner 5D,3.4879518
