APP_ID,TITLE,DEVELOPER,SCORE
com.google.samples.apps.cardboarddemo,Cardboard,Google LLC,3.7214007
com.mobilesecretcodes.allandroidtips.androidtricks.allsecretcodes,Secret codes and Ciphers,Appsiun Technology,4.3333335
com.nzdeveloper.playstoressettingshortcut.playservices,Play Store Update Info,Play Smart Store & Ampere Services,3.85
com.magicdev.mods.melon.playground,Addon Mod for Melon Playground,Magicdev,4.2884617
com.amazedmebox.normal,Melon playground normal,Roblox Skin Map Mods,3.3636363
com.robloc_rainbow_friends_mod.robux_assist_roblox_mod,Rainbow - Monsters Guys Aid,BloxAllThem,4.26
com.booster.gameboostermega2,Game Booster Fire GFX- Fix Lag,TOLAN,4.35
com.app.solfeggiomedi,Solfeggio Frequencies Healing,Self Healing,4.6438355
com.pcsx3.app,DamonSX2 Pro - PS2 Emulator,Reinferno Pvt. Limited,3.9
com.weemelon.sandbox,Melon Playground Sandbox,Neo Melon Ground,0
com.connection.wireless.wirelessconnectortv,Mirror Link Screen Connector,Boss Inc,4.6676736
com.estudiobiblico.catolica,Biblia Católica Español,maria magdalena,4.5526314
com.bettertomorrowapps.camerablockfree,Camera Block: Guard & Anti spy,BytePioneers s. r. o.,4.6254296
com.manateeworks.barcodescanners,Barcode Scanner,Cognex Corporation,4.5414634
study.bible.with.explanation.offline,Study Bible with explanation,Bible Verses,4.737288
inc.trilokia.pubgfxtool.free,"PGT: GFX, Launcher & Optimizer",Trilokia Inc.,4.5
com.amazedmebox.sandbox,Ragdoll Playgrounds Sandbox,Roblox Skin Map Mods,0
com.melon.playground.mods,Melon Playground Mods,Melon Mods,4.254902
com.kalemlyur.emfmeter.magnetic.field.sensor,Object Detector EMF Radiation,kalemluyrr,4.142857
com.connectionwireless.mirrorlinkc,Mirror link car connector,FastSoft,4.6489363
com.dji.connrctors,Drone Remote Controller,kahlochSto,4.8039217
ru.iiec.pydroid3.quickinstallrepo,Pydroid repository plugin,IIEC,4.21
com.scandit.demoapp,Scandit Barcode Scanner Demo,Scandit Inc.,4.37
mods.for.melon.playground.melmod.addons.skins,Mods For Melon Playground,Ponica.Media,0
com.hdmi.app.tv,Mobile Connect to TV USB HDMI,Screen Mirroring & HDMI USB TV Connector Apps,3.39
com.sah.smarttagsfinder,Samsung Galaxy SmartTag,kahlochSto,4.544554
com.quanticapps.quranandroid,"Quran Pro: Read, Listen, Learn",Quanticapps,4.6996527
com.booster.gfx,Game Booster Power GFX Lag Fix,TOLAN,4.4684687
com.rainbow_friends_assist.melon_playground_mod,Rainbow Friends Mod for Melon,Pig Blox Inflection Art,4.279412
com.Asteroid.droneremotecontrol,Drone Remote Control,Asteroid Tech,4.232143
rikka.safetynetchecker,YASNAC - SafetyNet Checker,Xingchen & Rikka,4.86
org.godotengine.ebox,E-box - Xbox Emulator,DarkerGreen,3.0947368
electric.screen.prank.org,Electric screen - simulator,AZTek Apps,4.617647
com.mirror.link,Mirror Link,Flavapp,3.0633802
com.jmsm.cloude,CloudEye 365,jeemak,3.25
hdmi.connector.five,Mobile Connect To TV USB,high-TechPro,3.74
com.app.call.detail.history,Call Details of Any Number,SUN LIGHT TECHNOLOGY,3.6
com.robloc_murder_mystery_2.robux_assist_roblox_mod,Murder Mystery 2 Aid,BloxingRobloc,3.919355
com.tips_pgsharp.toca_assist_tips,PGShap Assist,Moder for Minecraft Pe,3.75
com.ttv.ocrdemo,"ID Card, Passport, Driver Lice",FaceOnLive,3.75
