APP_ID,TITLE,DEVELOPER,SCORE
my.diary.journal,My Diary - Diary With Lock,Melissa Winifred,4.6486487
cashgiraffe.app,Cash Giraffe - Play and earn,Cash Giraffe,4.3769197
com.life360.android.safetymapd,Life360: Live Location Sharing,Life360,4.582277
com.pinterest,Pinterest,Pinterest,4.5468826
com.gamesworkshop.w40k,"Warhammer 40,000: The App",Games Workshop,3.6932516
com.google.android.apps.chromecast.app,Google Home,Google LLC,4.2467813
com.amazon.dee.app,Amazon Alexa,Amazon Mobile LLC,4.319041
com.astrosouls,AstroSoul: Astro Palm Reader,Appmaking LTD,3.1339285
com.ringapp,Ring - Always Home,Ring.com,4.035959
com.frontdoor.app.prod,Frontdoor,frontdoor,4.05
com.plantparentai.app,Plant Parent: Plant Care Guide,Glority Global Group Ltd.,4.4613004
diary.journal.lock.mood.daily,Diary with Lock: Daily Journal,Simple Design Ltd.,4.8977275
online.moneywell.app,Money Well - Games for rewards,Money Well,4.310247
com.nextdoor,Nextdoor: Neighborhood network,Nextdoor.com,4.5241876
online.cashemall.app,Cash’em All: Play & Win,Cash'em All,4.3414516
com.tmobile.tuesdays,T-Mobile Tuesdays,T-Mobile USA,4.641442
com.dramaton.slime,Super Slime Simulator: DIY Art,Dramaton,4.321021
io.purrcat,MONEY KITTY: Play & Earn Money,Kanbina,4.455243
com.chamberlain.android.liftmaster.myq,myQ Garage & Access Control,The Chamberlain Group LLC,3.893979
com.goodland.slimeart,Slime Art: Relaxing DIY ASMR,Good Land Games,4.3100777
com.lgeha.nuts,LG ThinQ,"LG Electronics, Inc.",4.2993784
com.eero.android,eero wifi system,eero LLC,3.598131
com.safeway.client.android.safeway,Safeway Deals & Delivery,"Albertsons Companies, Inc.",4.659519
scratch.lucky.money.free.real.big.win,Lucky Money - Win Real Cash,Shape Keeper Ltd,4.5701475
cpro.freestuff,Free Stuff,"Escargot Studios, LLC",4.5205092
com.thetileapp.tile,Tile: Making Things Findable,Tile Inc.,4.7689004
com.ford.fordpass,FordPass™,Ford Motor Co.,4.2074823
com.hualai,Wyze - Make Your Home Smarter,Wyze Labs Inc.,3.8719418
com.aaa.android.discounts,AAA Mobile,"American Automobile Association, Inc.",4.3456526
com.nest.android,Nest,Nest Labs Inc.,4.056553
com.publix.main,Publix,Publix Super Markets Inc.,4.797508
com.greatclips.android,Great Clips Online Check-in,Great Clips,4.7201695
com.aarp.app,AARP Now,AARP,4.701269
com.gm.chevrolet.nomad.ownership,myChevrolet,General Motors (GM),4.616453
com.tuya.smartlife,Smart Life - Smart Living,Volcano Technology Limited,4.6182237
genesis.nebula,Nebula: Horoscope & Astrology,OBRIO,4.146594
com.samsung.android.samsungpay.gear,Samsung Pay (Watch Plug-in),"Samsung Electronics Co.,  Ltd.",4.0916667
com.picturerock.rock,Rock Identifier: Stone ID,Next Vision Limited,4.5263443
salah.rasoulallah.com,Al-Shafie,Rasoulallah.net,4.72
com.prodege.swagbucksmobile,Swagbucks: Surveys for Money,Prodege,4.283884
