APP_ID,TITLE,DEVELOPER,SCORE
com.ubercab,Uber - Request a ride,"Uber Technologies, Inc.",4.6575046
me.lyft.android,Lyft,"Lyft, Inc.",3.9806855
com.waze,Waze Navigation & Live Traffic,Waze,4.3599234
com.lutech.phonetracker,Phone Tracker - Phone Locator,Lutech Ltd,4.105263
net.sharewire.parkmobilev2,ParkMobile - Find Parking,"Parkmobile, LLC",4.722393
com.maps.voice.navigation.traffic.gps.location.route.driving.directions,"GPS, Maps, Voice Navigation & ",AppStar Studios,3.9768064
phonetracker.locationtracker.gpstracker.familylocator,Phone Tracker: Phone Locator,QR Code Scanner.,4.617886
com.thetransitapp.droid,Transit: Bus & Subway Times,"Transit, Inc.",4.539687
com.tranzmate,Moovit: Bus & Train Schedules,Moovit,4.4051394
org.ocearch.SharkTrackerAndroid,OCEARCH Shark Tracker,Ocearch.org,4.2512565
com.jvstudios.gpstracker,"GPS Maps, Navigation & Traffic",JVSTUDIOS,4.1764917
com.appscourt.livestreetview.gps.maps.travelnavigation.apps,Live Satellite View GPS Map,Appscourt,3.2460318
com.goxradar.hudnavigationapp21,"Radar GO-X: HUD, GPS, Maps",duff hl studio,4.5655737
com.passportparking.mobile,Passport Parking,"Passport Labs, Inc.",3.6302896
onxmaps.offroad,onX Offroad: Trail Maps & GPS,onXmaps,3.7584097
gps.speedometer.digihud.odometer,GPS Speedometer - Odometer App,Trusted Android Apps- PDF Reader & Documents Tools,4.489403
gps.speedometer.gpsspeedometer.odometer,Speedometer: GPS Speedometer,Simple Design Ltd.,4.8956523
sinet.startup.inDriver,inDrive. Rides with fair fares,® SUOL INNOVATIONS LTD,4.622202
com.navigationstreet.areafinder.livemaps.earthview.free,GPS Satellite Maps: Live Earth,Digital App Valley,4.1343284
com.voice.gps.driving.directions.gps.navigation.maps.location,Voice GPS & Driving Directions,Delta Raza Studio,4.468687
ee.mtakso.client,Bolt: Request a Ride,Bolt Technology,4.7458878
com.parkwhiz.driverApp,ParkWhiz -- Parking App,ParkWhiz Inc,4.2976766
com.gpsnavigation.maps.gpsroutefinder.routemap,GPS Navigation: Road Map Route,Multi Tech Apps,4.54251
com.maps.android.trafficradarapp,"Map Drive - Radar, Speedometer",TikiP Studio,4.4
com.spothero.spothero,SpotHero - Find Parking,SpotHero,4.392421
com.radarsontheroad.map.kozalakug,Location Tracker - GPS Locator,Kozalak UG,4.233333
com.marinetraffic.android,MarineTraffic - Ship Tracking,MarineTraffic,3.654902
org.rajman.neshan.traffic.tehran.navigator,نشان نقشه ومسیریاب فارسیNeshan,نقشه و مسیریاب نشان,4.349565
com.miczon.android.webcamapplication,Earth Camera Online,Easy Language Translator,3.8190477
com.negroni.android.radar.maps.app,"Radar Map, Radar Detector, HUD",Negroni,4.54
com.mta.mobileapp,MTA TrainTime,MTA (Metropolitan Transportation Authority),4.734375
com_3d.earth.map.live.earth.satellite.world.map.navigator,Earth Map Satellite Live View,Synlox Studio,3.57
com.roadie.drive.android.app,Roadie Driver,"Roadie, Inc.",3.919514
com.live.voice.navigation.driving.directions.gps.maps,"GPS, Maps Driving Directions",Voice Navigation Apps,4.3504534
com.live.streetview.map,Street View Live Map Satellite,Priceless Apps Dev,4.14
com.njtransit.njtapp,NJ TRANSIT Mobile App,NJ TRANSIT,4.154412
com.coulombtech,ChargePoint,"ChargePoint, Inc.",4.418173
com.sixdays.truckerpath,Trucker Path: Truck GPS & Fuel,Trucker Path,4.1333704
com.webmarketing.exxonmpl,Exxon Mobil Rewards+,ExxonMobil,4.5582576
com.didiglobal.passenger,DiDi Rider: Affordable rides,DiDi Global,4.1871047
