APP_ID,TITLE,DEVELOPER,SCORE
epic.mychart.android,MyChart,Epic Systems Corporation,4.5708976
com.goodrx,GoodRx: Prescription Coupons,GoodRx,4.7845616
com.teladoc.members,Teladoc Health: Virtual care,"Teladoc, Inc.",4.096272
com.mobile.uhc,UnitedHealthcare,"UNITED HEALTHCARE SERVICES, INC.",4.3680754
com.resmed.myair,myAir™ by ResMed,ResMed,3.5840507
com.jardogs.fmhmobile,FollowMyHealth®,Allscripts Healthcare Solutions Inc,4.7387557
com.anthem.sydney,Sydney Health,"Elevance Health, Inc.",4.576129
com.shire.biolife,BioLife Plasma Services,Takeda Pharmaceuticals,3.8513916
com.modernizingmedicine.patientportal,APPatient,Modernizing Medicine,3.6462264
com.cslplasma.cslplasmadonorapplication,CSL Plasma,CSL PLASMA INC.,3.9315352
com.simplepractice.video,Telehealth by SimplePractice,SimplePractice,4.641748
com.myquest,MyQuest for Patients,Quest Diagnostics Incorporated,4.4101124
com.solutran.otc,Healthy Benefits+,"Solutran, Inc.",4.4798512
com.aetna.aetnahealth,Aetna Health,Aetna Inc,4.6408186
com.octapharma.OctaApp,OctaApp – Donate Blood Plasma!,Octapharma Plasma Inc.,4.2479672
com.aligntech.myinvisalign,My Invisalign - Official App,Align Technology,4.5356035
com.weedmaps.app.android,Weedmaps: Find Weed & Delivery,Weedmaps,4.726748
com.athenahealth.athenapatient,athenaPatient,athenahealth,3.3069308
com.mysalesforce.mycommunity.C00D6g000000DEMvEAO.A0OT3p000000CaRIGA0,Grifols Plasma Donor Hub,GRIFOLS SA,3.308176
com.singlecare.scma,SingleCare - Rx Coupons,"Singlecare, LLC",4.644501
com.zocdoc.android,Zocdoc: Find and book doctors,"Zocdoc, Inc.",4.368155
leafly.android,Leafly: Find Cannabis and CBD,"Leafly Holdings, Inc",4.740273
com.lbrc.PeriodCalendar,My Calendar - Period Tracker,SimpleInnovation,4.847056
mobi.firedepartment,PulsePoint Respond,PulsePoint Foundation,4.632426
com.alivecor.aliveecg,Kardia,AliveCor Inc.,4.727778
com.doctorondemand.android.patient,Doctor On Demand,"Doctor On Demand, Inc",4.805989
com.publix.pharmacyonline,Publix Pharmacy,Publix Super Markets Inc.,3.5241158
com.labcorp.patientportal,Labcorp | Patient,Laboratory Corporation of America Holdings/LabCorp,3.996
com.amn.amnone,AMN Passport,AMN Healthcare Inc,4.0411763
com.allergan.bd.bdmobileapp,Allē,"Allergan, Inc.",4.4469695
com.hcahealthcare.mhom,MyHealthONE,HCA Healthcare Inc.,4.3325844
com.optum.rx,OptumRx,Optum Inc.,4.720329
com.cube.arc.blood,Blood Donor,American Red Cross,4.4524975
com.solv,Solv: Find Quality Doctor Care,Solv Health,4.7971334
com.mdlive.mobile,MDLIVE: Talk to a Doctor 24/7,MDLIVE Inc,4.6093626
com.clearcare.clearcareconnect,WellSky Personal Care,"ClearCare Online, Inc.",4.059708
com.shiftkey.provider,ShiftKey - PRN Healthcare Jobs,"ShiftKey, LLC",4.62406
com.nimblerx,Nimble Rx,"NimbleRx, Inc.",4.8127856
com.lifescan.reveal,OneTouch Reveal® Diabetes App,LifeScan Europe GmbH,4.0827637
com.newtechsys.rxlocalmobile,RxLocal,"PioneerRx, LLC",3.0714285
