APP_ID,TITLE,DEVELOPER,SCORE
com.spotify.music,Spotify: Music and Podcasts,Spotify AB,4.3781643
com.pandora.android,Pandora - Music & Podcasts,Pandora,4.1193576
com.mwm.sampler,Beat Maker Pro - DJ Drum Pad,MWM - Music and creative apps for Android,4.675989
com.soundcloud.android,SoundCloud: Play Music & Songs,SoundCloud,4.6874795
com.mmm.trebelmusic,"TREBEL: Music, MP3 & Podcasts","M&M Media, Inc.",4.765348
com.audiomack,Audiomack: Music Downloader,Audiomack Music Apps,4.750968
com.sirius,"SiriusXM: Music, Sports & News",Sirius XM Radio Inc,4.753461
com.radio.pocketfm,Pocket FM: Audio Series,Pocket FM Corp.,4.4805446
com.amazon.mp3,Amazon Music: Songs & Podcasts,Amazon Mobile LLC,3.235475
com.clearchannel.iheartradio.controller,"iHeart: Music, Radio, Podcasts","iHeartMedia, Inc.",4.591494
com.jksol.voicerecodeing,Voice Recorder,Calendar Date,4.417563
com.apple.android.music,Apple Music,Apple,3.8916013
com.shazam.android,Shazam: Music Discovery,Apple Inc.,4.819586
com.bandlab.bandlab,BandLab – Music Making Studio,BandLab Technologies,4.6057773
volumebooster.soundspeaker.louder,Volume Booster - Sound Booster,360 Tool,4.8929577
com.google.android.apps.youtube.music,YouTube Music,Google LLC,4.4868627
ringtonesforandroidphonefree.ringtones.ringtonessongs.ringtonesapp,Ringtones for Android Phone,QR Code Scanner.,4.7533336
tunein.player,"TuneIn Radio: News, Music & FM",TuneIn Inc,4.687399
musicplayer.playmusic.audioplayer,"Music player, MP3 Player",Hitchhike Tech,4.7590513
com.easybrain.make.music,Groovepad - music & beat maker,Easybrain,4.6761546
com.scannerradio,Scanner Radio - Police Scanner,GordonEdwards.net LLC,4.5247836
net.melodify.android,ملودیفای | مرجع تخصصی آهنگ,Melodify,3.7437186
com.starmakerinteractive.starmaker,StarMaker: Sing Karaoke Songs,STAR SHINE ENTERTAINMENT PTE. LTD.,4.555483
com.synthesia.synthesia,Synthesia,Synthesia LLC,3.9447675
com.touchtunes.android,TouchTunes: Live Bar JukeBox,Touchtunes Interactive Networks,3.394217
voicerecorder.audiorecorder.voice,Voice Recorder & Voice Memos,Simple Design Ltd.,4.9046764
com.toto.jcyj.mvmix,Offline Music Player - Mixtube,Mixtube Music player,4.6327868
jbl.stc.com,JBL Headphones,"Harman Consumer, Inc.",4.3679857
com.superbtools.free.online.offline.music.player,MP3 Music Downloader,Superb Tools For Android,4.707483
com.dywx.larkplayer,Music Player & MP3:Lark Player,"Lark Player Studio - Music, MP3 & Video Player",4.547696
musicplayer.musicapps.music.mp3player,Music Player & MP3 Player,InShot Inc.,4.8126636
com.wing.audio,Audio Master - Ringtone Maker,April Hughes,4.2038836
com.agminstruments.drumpadmachine,Drum Pad Machine - beat maker,Easybrain,4.4472127
com.edjing.edjingdjturntable,edjing Mix - Music DJ app,MWM - Music and creative apps for Android,4.563268
com.mwm.stems,Stemz: AI Tool for Musicians,MWM - Music and creative apps for Android,4.264151
com.streema.simpleradio,Simple Radio: Live AM FM Radio,"Streema, Inc.",4.639287
com.radio.fmradio,Radio FM,RadioFM,4.5959306
voicechanger.voiceeffects.soundeffects.voiceavatar,Voice Changer - Voice Effects,Dairy App & Notes & Audio Editor & Voice Recorder,4.39786
com.media.bestrecorder.audiorecorder,Voice Recorder,"quality apps (recorder, weather, music)",4.8369794
com.livenation.mobile.android.na,Live Nation At The Concert,"Live Nation Worldwide, Inc.",3.1075726
