APP_ID,TITLE,DEVELOPER,SCORE
com.novanews.android.localnews.en,Local News: Breaking & Latest,NEWSDELIVER LIMITED,4.3416815
com.particlenews.newsbreak,NewsBreak: Local News & Alerts,Particle Media Inc.,4.6904335
com.opera.app.news.local,Local News: 24/7 Coverage,Opera,4.7184467
police.scanner.radio.broadcastify.citizen,Police Scanner - Scanner Radio,"Police Scanner, Scanner Radio App",4.797671
com.novanews.android.globalnews,Global News - Breaking & Local,NEWSDELIVER LIMITED,4.3714285
com.opera.app.news,Opera News: breaking & local,Opera,4.5331917
com.microsoft.amp.apps.bingnews,Microsoft Start: News & more,Microsoft Corporation,4.1574974
com.local.news.plus,Local News - Latest & Smart,EASE Group,4.2875
ma.safe.bnus,Breaking News US - Local News,Safe Apps Inc,4.50159
com.quora.android,Quora: the knowledge platform,"Quora, Inc.",4.6181917
ma.safe.bn,Breaking News: Local & Alerts,SAFE APPS,4.4946547
com.weather.forecast.news,Local Weather & News - Radar,EASE Group,4.514563
com.podcast.podcasts,Podcast Player,Castbox.FM - Radio & Podcast & AudioBooks,4.648663
com.cnn.mobile.android.phone,CNN Breaking US & World News,CNN,4.622615
com.opera.app.news.us,Apex News: Breaking & Local,Opera,4.571002
com.google.android.apps.magazines,Google News - Daily Headlines,Google LLC,4.131327
sp0n.citizen,Citizen: Local Safety Alerts,Sp0n Inc.,3.8704715
com.gameinformer.tablet,Game Informer,Game Informer,2.9235668
com.homepage.news.android,Breaking News & Latest Stories,HomePage News,3.662745
com.fng.foxnation,FOX Nation: Celebrate America,"FOX News Network, LLC",4.0414367
jp.gocro.smartnews.android,SmartNews: Local Breaking News,"SmartNews, Inc.",3.9778113
com.nytimes.android,The New York Times,The New York Times Company,4.33984
com.fli.android.newsmaxapp,Newsmax,Newsmax Media,4.6977444
com.zumobi.msnbc,NBC News: Breaking News & Live,NBC News Digital LLC,4.1233325
com.yahoo.apps.yahooapp,"Yahoo - News, Mail, Sports",Yahoo,4.531126
com.haystack.android,Haystack News: Local TV News,Haystack News,4.3450413
com.beloud,Beloud: Local News & Opinions,Beloud.com,4.35
com.abc.abcnews,ABC News: Stream Breaking News,Disney,3.6745827
com.condenast.thenewyorker.android,The New Yorker,Condé Nast Digital,3.38
bbc.mobile.news.ww,BBC News,BBC Studios Limited,4.3479004
com.breakingnewsbrief.app,US News - Breaking News Brief,My Apply Apps,4.129386
com.allbritton.wjla.abc7news,ABC7/WJLA,Sinclair Digital Interactive Solutions,3.95
com.twcable.twcnews,Spectrum News: Local Stories,Charter/Spectrum,4.0730433
com.theepochtimes.news,The Epoch Times: Breaking News,Epoch Times Association Inc,4.71492
io.sixminutes.breakingnews,6 Minutes Local Breaking News,6minutes Apps,4.36
com.cellit.cellitnews.wbff,WBFF FOX45,Sinclair Digital Interactive Solutions,4.16
com.newssynergy.komo,KOMO News Mobile,Sinclair Digital Interactive Solutions,3.32
com.checkitt,Ground News,Snapwise Inc.,4.5465117
live.free.tv_us,"FREECABLE© TV App: Shows, News","TV App: News, TV Shows, TV Series & Moviesテレビ",4.691203
com.dailywire.thedailywire,DailyWire+,The Daily Wire,3.3924243
