APP_ID,TITLE,DEVELOPER,SCORE
com.becloser,Be Closer: Share your location,Applabel LTD,4.521204
org.findmykids.app,Findmykids: Location Tracker,GEO TRACK TECHNOLOGIES INC,4.633962
com.wte.view,Pregnancy Tracker & Baby App,What to Expect,4.827665
com.babycenter.pregnancytracker,Pregnancy App & Baby Tracker,BabyCenter,4.8554263
com.antonio.family.locator.phone.tracker,Phone Tracker By Number,Awesome Game Studio,4.6889634
com.amazon.tahoe.freetime,"Amazon Kids+: Books, Videos…",Amazon Mobile LLC,3.8849056
us.mitene,FamilyAlbum - Photo Sharing,"MIXI, Inc.",4.828235
com.microsoft.familysafety,Microsoft Family Safety,Microsoft Corporation,3.2881355
cm.pt.barkparent,Bark - Parental Controls,"Bark Technologies, Inc.",3.8882236
org.blubblub.app.speechblubs,Speech Blubs: Language Therapy,Blub Blub Inc.,4.6427016
com.pg.clubpampers.android.us,Pampers Club: Diaper Offers,"Pampers by P&G-Diapers, Baby products & Reward",4.342965
com.family.locator.find.my.kids,Family Tracker by Phone Number,SoulApps Studio,4.7319884
com.hp.pregnancy.lite,Pregnancy + | Tracker App,Philips Digital UK Limited,4.725303
com.sand.airdroidkidp,AirDroid Parental Control,SAND STUDIO,4.292453
app.talltales,Tall Tales - Bedtime Stories,Tall Tales App,4.1
com.neiman.contractions,Contraction Timer & Counter 9m,Neiman,4.8242893
com.reasonlabs.familykeeper.parentalcontrol.parents,FamilyKeeper Parental Control,ReasonLabs,3.87
com.huckleberry_labs.app,Huckleberry Sleep Baby Tracker,Huckleberry Labs,4.677586
com.testlab.family360,Family360 - GPS Live Locator,Family360,4.3178296
com.appclose.androidapp,AppClose - co-parenting app,"AppClose, Inc",4.623444
fr.wemoms,WeMoms Pregnancy Baby Tracker,WeMoms,4.7607975
app.kids360.parent,Kids360: parental control apps,ANKO Solutions LLC,4.47
com.nighp.babytracker_android,Baby Tracker - Newborn Log,NIGHP SOFTWARE,4.903308
com.oubapps.po.ch,شرطة الأطفال - مكالمة وهمية,Oub Apps,4.0340137
com.kinedu.appkinedu,Kinedu: Baby Development Plan,Kinedu,4.652381
com.qustodio.family.parental.control.app.screentime,Qustodio Parental Control App,Qustodio LLC,3.1512196
com.rb.enfamil,Enfamil Family Beginnings®,Reckitt Benckiser Group plc,4.2562814
com.saby.babymonitor3g,Baby Monitor Saby. 3G BabyCam,Saby Baby monitor Ltd,4.1
com.tmobile.familycontrols,T-Mobile® FamilyMode™,T-Mobile USA,3.733645
maybebaby.getpregnant.getbaby.flo,Ovulation Calendar & Fertility,Arbor Ltd,4.8511167
app.geoloc,GeoLocator — We Link Family,GeoLoc,4.32
com.nanit.baby,Nanit,Nanit,3.800995
com.ourfamilywizard,OurFamilyWizard Co-Parent App,"OurFamilyWizard, LLC",4.257468
com.orange.magic.board.doodle.coloring,Magic Board - Doodle & Color,Orange Studios Games,4.08
com.talkingparents.tpandroid,TalkingParents: Co-Parent App,TalkingParents.com,3.5019608
pl.trpaslik.babynoise,White Noise: Baby Sleep Sounds,DOSA Apps,4.46
com.hubblebaby.nursery,HubbleClub By Hubble Connected,Hubble Connected,4.0993376
com.glow.android.nurture,AI Pregnancy Tracker Planner,Glow Inc,4.462564
com.coquisoft.parentlove,Baby & Breastfeeding Tracker,ParentLove Baby Tracker by Coquisoft,4.9463954
com.mmguardian.parentapp,MMGuardian Parental Control,MMGuardian.com,4.1363163
