APP_ID,TITLE,DEVELOPER,SCORE
com.wallpaper.hd4k.center.live,"Wallpaper Center - Live, 4K HD",Daniel.yan,4.664835
com.applock.launcher,Shield: Antivirus Launcher,Bacchus Media,4.1644206
net.zedge.android,ZEDGE™ Wallpapers & Ringtones,Zedge,4.6407933
com.voicelockscreen.applock.voicelock,Voice Lock Screen: Pin Pattern,YakinGlobal,3.1940298
com.simejikeyboard,Facemoji:Emoji AI Keyboard,EKATOX APPS,4.65005
com.iconchanger.widget.theme.shortcut,"Themepack - App Icons, Widgets",YoloTech,4.4592447
com.theforce99.toca.wednesday.addams.tocaboca.hdwallpaper,BocaBoca Toca Wednesday Addams,The Force99,3.7864077
com.lutech.theme,"Themes - App icons, Wallpapers",Lutech Ltd,4.65651
com.ikeyboard.theme.neon.love,Neon Love Theme,Delicate theme for Android App,4.80625
com.ringpro.popular.freerings,Ringtones Songs For Android,TP Entertainment Global,4.7531495
easy.launcher,Easy Homescreen,Homescreen Apps,3.7891157
com.themekit.widgets.themes,ThemeKit - Themes & Widgets,ThemeKit,4.55414
com.ultimate.theme.changer,Ultimate Themes - DIY widgets,LAMBDA TECH,4.3274336
cool.fonts.symbol.keyboard.custom.fancy.text.editor,Fonts Art: Keyboard Font Maker,AIBY Inc.,4.148248
com.cutepet.shimeji,Shimeji - DIY my lovely friend,HENRY GMBH,3.4607842
com.wave.livewallpaper,Wave Live Wallpapers Maker 3D,Live Wallpapers by Wave Studio,4.4577727
com.itg.colorphone.callscreen,Color Phone: Call Screen Theme,Infinity Technologies Global,3.7555556
messenger.homescreen.launcher.app,Messages: SMS Text App,Messenger Pro Team,4.18
mobi.deallauncher.coupons.shopping,Coupons & Promo Codes,Bay Spring Media LLC,3.2564707
helectronsoft.com.live.wallpaper.pixel4d,Pixel 4D™ Live Wallpapers,TarrySoft,4.569885
id.highfivestudio.stitchbluekoala,Cute Blue Koala Wallpaper HD 4,HighFive Studio,4.808696
com.color.phone.screen.callscreen.callbackground.callwallpaper,Color Phone Screen Call Screen,WEGO Global,4.5636363
com.wallpaperscraft.wallpaperscraft_parallax,Live Wallpapers 3D – Wallcraft,Nebuchadnezzar DOO,4.29
omarapps22.broken.screen.wallpaper,Broken Screen Wallpaper‏,lion apps,4.285714
com.babydola.launcherios,Launcher iOS 16,Apps Genz,4.3711486
us.current.android,Make Money: Play & Earn Cash,Mode Mobile: Make Money On Earn App,4.224426
battle.royale.wallpapers.hd,Battle Royale Chapter 2 Mobile,Game Epic Wallpapers,4.3982344
com.findmyphone.findphone,Find My Phone by Clap,Soft Solution : Find my Phone by Whistle & Clap,4.3864737
com.jeremysteckling.facerrel,Facer Watch Faces,Facer Studios,4.201984
com.mediapro.entertainment.freeringtone,Music ringtones for android,Ringtones & Wallpapers,4.75185
com.repica.keyboard,CoolTap: Neon Keyboards,Daniel Andre Rene Piccand Dev,0
com.themekeyboard.gifkeyboard,"Keyboard themes - fonts, emoji",Miwa Developer,4.5059524
com.magicwidget.themepack.iconchanger.allfree,MagicWidgets: Themepack & Icon,One Office Premium,3.4019608
mdesk.toset.woodesk,Woodesk,WILLIAM0713,4.19
com.fancywallpaper.diyphonetheme,Art Wallpaper - Decorate Phone,Timewarp Developer,4.6960783
com.ipados.keyboard,X-Design: Keyboard Tuning,ERICH JOSEF LURZ Dev,3.5
fonts.keyboard.fontboard.stylish,Fonts Keyboard & Emoji No ROOT,Simple Design Ltd.,4.804469
com.wallpaper.express.daily,Cute Wallpapers Cool Wallpaper,DevTeamIn2020,4.44
com.wave.keyboard.theme.diamondanimatedkeyboard,Diamond Live Wallpaper HD,Live Wallpapers and Emoji Keyboard Themes,4.6302156
com.girly.cute.kawaii.wallpapers.backgrounds.uhd4k.walltech,Girly Wallpapers,Wallpaper World Designs,4.7887325
