APP_ID,TITLE,DEVELOPER,SCORE
com.ezt.pdfreader.pdfviewer,PDF Reader – PDF Viewer,EZTech Apps,4.440171
com.codeway.chatapp,Ask AI - Chat with Chatbot,Codeway Dijital,4.567022
com.xfinity.digitalhome,Xfinity,Comcast,3.5933962
com.icecream.android.grassproxy,Grass Proxy - Secure& Fast,YaNi Dev,4.009259
com.adobe.reader,Adobe Acrobat Reader: Edit PDF,Adobe,4.571193
com.gear.android.proxy,Gear Proxy,hellodevservice,4.1165047
com.intsig.camscanner,CamScanner - PDF Scanner App,CamSoft Information,4.8545504
com.logan.marsproxy,Mars Proxy-Fast and secure VPN,WATER LIVE NETWORK,4.4117646
com.microsoft.office.outlook,Microsoft Outlook,Microsoft Corporation,4.5014486
com.microsoft.office.officehubrow,Microsoft 365 (Office),Microsoft Corporation,4.6996746
com.teacapps.barcodescanner,QR & Barcode Reader,TeaCapps,4.6148844
com.smartwidgetlabs.chatgpt,AI Chat Open Assistant Chatbot,Smart Widget Labs Co Ltd,4.451613
com.hp.printercontrol,HP Smart,HP Inc.,4.116706
com.appswing.qr.barcodescanner.barcodereader,QR Scanner - Barcode Scanner,Apps Wing,4.130885
com.google.android.apps.docs.editors.docs,Google Docs,Google LLC,4.13827
com.maila.navin.vectors,Purify Cleaner,BOTHAN MOBILE US LIMITED,4.6190476
com.google.android.apps.subscriptions.red,Google One,Google LLC,4.292808
com.google.android.apps.docs.editors.sheets,Google Sheets,Google LLC,4.0751634
com.dropbox.android,Dropbox: Secure Cloud Storage,"Dropbox, Inc.",4.4334865
com.att.shm,Smart Home Manager,"AT&T Services, Inc.",4.5535803
com.grammarly.android.keyboard,Grammarly - Grammar Keyboard,"Grammarly, Inc.",4.381977
com.google.android.calendar,Google Calendar,Google LLC,4.202937
com.google.android.apps.tasks,Google Tasks,Google LLC,4.476314
com.scaleup.chatai,AI Chatbot - Nova,ScaleUp,4.5206723
com.qrcodescanner.barcodereader.qrcode,QR Code Scanner & Barcode Read,QR & Barcode Scanner,4.4496403
com.recoverall.filedata.device,All Recovery,Safie Lab,4.069307
com.officedocument.word.docx.document.viewer,"Word Office - PDF, Docx, XLSX",iKame Applications - Begamob Global,4.007407
com.docusign.ink,DocuSign - Upload & Sign Docs,DocuSign,4.651563
com.microsoft.office.word,Microsoft Word: Edit Documents,Microsoft Corporation,4.7665453
com.dufftranslate.cameratranslatorapp21,"Duff Translate, Cam Translator",duff hl studio,3.9590163
qrcodereader.barcodescanner.scan.qrscanner,QR Scanner: Barcode Scanner,Simple Design Ltd.,4.743913
droom.sleepIfUCan,Alarmy - Alarm Clock Solution,Alarm Clock Alarmy,4.6302004
com.file.miner.recovery.maall,File Miner & Recovery,Tiktok Downloader,3.94
com.hp.android.printservice,HP Print Service Plugin,HP Inc.,4.1940503
com.atomczak.notepat,Notepad - simple notes,atomczak,4.567911
ai.chat.gpt.bot,ChatOn - AI Chat Bot Assistant,AIBY Inc.,4.1374664
com.aisecurity,AI Security,Ostentus Apps,4
com.okta.android.auth,Okta Verify,Okta Inc.,4.453799
com.unrollme,Unroll.Me - Email Cleanup,Unroll.Me,4.5801105
me.id.auth,ID.me Authenticator,ID.me,3.6157205
