APP_ID,TITLE,DEVELOPER,SCORE
com.einnovation.temu,Temu: Shop Like a Billionaire,Temu,4.661469
com.zzkko,SHEIN-Shopping Online,Roadget Business PTE. LTD.,4.6819386
com.walmart.android,Walmart: Shopping & Savings,Walmart,4.6904435
com.amazon.mShop.android.shopping,Amazon Shopping,Amazon Mobile LLC,4.2660575
com.alibaba.aliexpresshd,AliExpress,Alibaba Mobile,4.495383
com.shopify.arrive,The most rewarding way to Shop,Shopify Inc.,4.6702228
com.alibaba.intl.android.apps.poseidon,Alibaba.com - B2B marketplace,Alibaba Mobile,4.4999576
com.thehomedepot,The Home Depot,"The Home Depot, Inc.",4.6862855
com.offerup,OfferUp: Buy. Sell. Letgo.,OfferUp Inc.,4.39088
com.wikibuy.prod.main,Capital One Shopping,capitaloneshopping.com,4.770663
com.fetchrewards.fetchrewards.hop,"Fetch: Have Fun, Save Money",Fetch Rewards,4.656893
com.ebay.mobile,"eBay: Fashion, Car Parts, Tech",eBay Mobile,4.7105947
com.poshmark.app,Poshmark - Sell & Shop Online,"Poshmark, Inc",4.6738925
com.nike.omega,"Nike: Shoes, Apparel & Stories","Nike, Inc.",4.534827
com.rfi.sams.android,Sam's Club,Sam's Club,4.928844
com.etsy.android,Etsy: Custom & Creative Goods,"Etsy, Inc",4.8532434
com.affirm.central,"Affirm: Buy now, pay over time","Affirm, Inc",4.760328
com.dollargeneral.android,Dollar General,"Dolgencorp, LLC",4.688105
com.target.ui,Target,Target Corporation,3.9930794
com.wayfair.wayfair,Wayfair - Shop All Things Home,"Wayfair, LLC",4.7974567
com.costco.app.android,Costco Wholesale,Costco Wholesale,4.79626
com.lowes.android,Lowe's,"Lowe's Companies, Inc.",4.665569
com.usablenet.mobile.walgreen,Walgreens,Walgreen Co.,4.6818795
com.afterpaymobile.us,Afterpay - Buy Now. Pay Later,Afterpay,3.8943443
org.craigslist.CraigslistMobile,craigslist,craigslist.org,4.633362
com.mercariapp.mercari,Mercari: Your Marketplace,"Mercari, Inc",4.7527857
com.myklarnamobile,Klarna | Shop now. Pay later.,Klarna Bank AB (publ),4.4522986
com.cvs.launchers.cvs,CVS/pharmacy,CVS Pharmacy,4.18362
com.macys.android,Macy's,Macy's Inc,4.4519835
com.bathandbody.bbw,My Bath & Body Works,Bath and Body Works Mobile,4.767953
com.instacart.shopper,Instacart: Earn money to shop,Instacart,4.2709064
com.kroger.mobile,Kroger,The Kroger Co.,4.560088
com.shopmium,Shopmium: save money every day,Shopmium,4.1825843
com.dhgate.buyermob,DHgate-online wholesale stores,dhgate.com,4.264162
com.chewy.android,Chewy - Where Pet Lovers Shop,"Chewy, Inc.",4.8478694
com.bestbuy.android,Best Buy,"Best Buy, Inc",3.743501
com.airgoat.goat,GOAT – Sneakers & Apparel,GOAT,4.0308957
com.cargurus.mobileApp,CarGurus: Used & New Cars,"CarGurus, Inc",4.6552215
com.circlek.gmap.na,Circle K,Circle K North America,4.579251
com.ibotta.android,Ibotta: Save & Earn Cash Back,Ibotta,4.464437
