APP_ID,TITLE,DEVELOPER,SCORE
com.bamnetworks.mobile.android.ballpark,MLB Ballpark,"MLB Advanced Media, L.P.",4.375951
com.bamnetworks.mobile.android.gameday.atbat,MLB,"MLB Advanced Media, L.P.",4.3539147
com.espn.score_center,ESPN,Disney,4.3060555
com.crrepa.band.dafit,Da Fit,MO YOUNG LTD,3.599494
com.gc.teammanager,GameChanger,GameChanger Media,4.479613
com.adidas.app,adidas,adidas,4.486352
onxmaps.hunt,onX Hunt: GPS Hunting Maps,onXmaps,4.7082615
com.ludexmobile,LUDEX Sports Card Scanner +TCG,Ludex AI,4.4179106
com.foxsports.videogo,Bally Sports,"Diamond Digital Group, LLC",4.549851
com.topgolf.mobile,Topgolf,Topgolf,4.870482
com.siplay.tourneymachine_android,Tourney Machine - Tournament S,SportsSignUp,4.6165805
com.draftkings.sportsbook,DraftKings Sportsbook & Casino,"DraftKings, Inc.",4.5843825
com.huami.watch.hmwatchmanager,Zepp（formerly Amazfit）,Huami Inc.,4.3050184
com.fishbrain.app,Fishbrain - Fishing App,Fishbrain,3.807548
com.df.df_sports_betting_tips,Dofu - Betting Tips and Live,DofuSports Ltd,4.0530167
com.fanduel.sportsbook,FanDuel Sportsbook & Casino,FanDuel,4.7103376
com.squarevalley.i8birdies,18Birdies - Golf GPS Scorecard,18Birdies LLC,4.884844
com.wnba.centercourt,WNBA - Live Games & Scores,WNBA Enterprises,3.932773
app.collx.android,CollX: Sports Card Scanner,CollX,3.4772117
com.teamsnap.teamsnap,TeamSnap: manage youth sports,"TeamSnap, Inc.",4.2893553
com.memsgroupinc.fishbox,Fishbox - Fishing Forecast,"MEMS Group, Inc.",3.9619048
com.fubo.firetv.screen,fuboTV: Watch Live Sports & TV,fuboTV,2.178218
com.teamreach.app,TeamReach - Your Team App,TeamReach LLC,4.495935
com.nbaimd.gametime.nba2011,NBA: Live Games & Scores,"NBA Properties, Inc.",4.5297155
com.bleacherreport.android.teamstream,Bleacher Report: Sports News,Bleacher Report Inc.,4.520771
com.fishangler.fishangler,FishAngler - Fishing App,"FishAngler, LLC",4.604538
com.gregacucnik.fishingpoints,Fishing Points - Fishing App,Fishing Points d.o.o.,4.5819893
com.playmgm.nj.sports,BetMGM Sportsbook,BetMGM,3.8131926
com.swingbyswing,Golf GPS & Scorecard by SwingU,"Swing by Swing Golf, Inc.",4.592446
com.foxsports.android,FOX Sports: Watch Live,FOX Sports Interactive,4.058475
org.usga,USGA,"United States Golf Association, USGA",4.018182
com.huntstand.core,HuntStand: GPS Hunting Tools,TerraStride Inc.,4.345699
com.resultadosfutbol.mobile,BeSoccer - Soccer Live Score,BeSoccer Apps,4.5751586
com.golfnow.android.teetimes,GolfNow: Golf Tee Times,GolfNow - Mobile Development Team,4.561626
com.teamliquid.liquipedia.liquipedia_app,Liquipedia,Team Liquid,4.4
com.sportsyou.sportsYou,sportsYou,sportsYou,4.04
com.williamhill.us.nj.sports,Caesars Sportsbook,Caesars Digital,4.3366685
com.handmark.sportcaster,CBS Sports App: Scores & News,"CBS Interactive, Inc.",4.4437327
com.sportngin.android,SportsEngine – Team Management,SportsEngine,4.4993896
com.threesixteen.app,Rooter: Watch Gaming & Esports,Rooter Sports,4.282158
