APP_ID,TITLE,DEVELOPER,SCORE
com.pdf.pro,PDF Pro - Reader & Maker,super teacher,3.8454545
com.gamma.scan,QR & Barcode Scanner,Gamma Play,4.499518
de.brainvpnapp.free,VPN - Fast & Secure VPN,Tofig Omer,4.4952683
com.sec.android.easyMover,Samsung Smart Switch Mobile,"Samsung Electronics Co.,  Ltd.",4.0823126
app.phonedoctor.cleaner,Phone Doctor,Cheryl Cook,3.53
com.google.android.apps.translate,Google Translate,Google LLC,4.319837
com.peach.cndy.app,PPNet—Private VPN,li jin,4.4339623
com.microsoft.bing,Bing: Chat with AI & GPT-4,Microsoft Corporation,4.298985
com.apple.movetoios,Move to iOS,Apple,3.238545
remote.control.tv.universal.forall.roku,Remote Control for TV - All TV,Hitchhike Tech,4.478205
com.brighthouse.mybhn,My Spectrum,Charter/Spectrum,4.634592
com.google.android.apps.authenticator2,Google Authenticator,Google LLC,3.6035204
com.byound.clean.dorado,CleanSpace,BOTHAN MOBILE US LIMITED,4.5364237
com.flashalert2017.version1,Flashlight: Led Torch Light,Infinity Technologies Global,4.087054
com.google.android.apps.adm,Google Find My Device,Google LLC,4.391797
com.jamtime.net.android,"WalaVPN-Lite,High speed,Stable",Five Oceans E-Commerce,4.2475247
com.ztnstudio.notepad,Notepad – Notes and To Do List,Sappalodapps Development,4.7215815
com.vpnmasterx.pro,Fast VPN Pro - Fast & Secure,VPM Master,4.382413
com.duckduckgo.mobile.android,DuckDuckGo Private Browser,DuckDuckGo,4.7324357
com.sweep.cleaner.pro.junk,Sweep Pro,Polina Dev,4.372549
pcc.cleancleaner.app,Clean Cleaner - Safe & Fast,SKILLS CLOUD APPS,4.2988214
com.beepassvpn.free.vpn.secure,BeePassVPN: Unlimited & Secure,BeePass VPN Team,3.6603773
net.spaider.vpn,Spider VPNفیلتر شکن پرسرعت قوی,nexus vpn,4.75827
com.monster.netutil.proxy,Proton Proxy-Global Network,Wu.Dev,3.5
com.dubox.drive,TeraBox: Cloud Storage Space,Flextech Inc.,4.5488563
app.vault.android.app,Calculator Vault,Lara Pollar,3.952381
com.normalspeed.vpnbooster,Normal Speed,JiangHeng,4.0392156
videoplayer.videodownloader.downloader,All Video Downloader & Player,QR Code Scanner.,4.7502055
com.google.ar.lens,Google Lens,Google LLC,4.601459
com.cyber.free.proxy,Cyber Proxy -Safe and Stable,SeasMall E-Commerce,4.5049505
com.zhiliao.musically.livewallpaper,TickTock-TikTok Live Wallpaper,TikTok Pte. Ltd.,4.687009
com.appsinnova.android.keepbooster,TurboClean,APPS INNOVA,4.738255
com.updev.proxy.sper,Super Proxy-Super VPN,Smart Independent Studio,3.8137255
com.coinidentifyer.ai,CoinSnap - Coin Identifier,Next Vision Limited,4.427548
com.coolguy.desktoppet,Pixel Shimeji - Desktop Pet,Toon Way Eye,3.9282868
com.antivirus,AVG AntiVirus & Security,AVG Mobile,4.751604
com.fontify.fontmaster.gp,FontMaster,Ma Sanmei,3.4766355
com.xlineproxy.fast.android,Hothit,Jacksons Chen,4.07563
com.fast.free.unblock.secure.vpn,Secure VPN－Safer Internet,Signal Lab,4.7669444
com.appsinnova.android.keepclean,KeepClean,APPS INNOVA,4.5979276
