APP_ID,TITLE,DEVELOPER,SCORE
com.booking,Booking.com: Hotels and more,Booking.com Hotels & Vacation Rentals,4.5667834
com.hopper.mountainview.play,"Hopper: Hotels, Flights & Cars",Hopper Inc.,3.6887987
com.expedia.bookings,"Expedia: Hotels, Flights & Car",Expedia,4.4608016
com.airbnb.android,Airbnb,Airbnb,4.4670153
com.upside.consumer.android,Upside: Cash Back - Gas & Food,Upside Services Inc.,4.586088
com.google.earth,Google Earth,Google LLC,4.25469
com.aa.android,American Airlines,"American Airlines, Inc.",4.626768
com.vrbo.android,Vrbo Vacation Rentals,Vrbo,4.7842836
com.united.mobile.android,United Airlines,United Airlines,4.686931
com.southwestairlines.mobile,Southwest Airlines,Southwest Airlines,4.6473794
com.hilton.android.hhonors,Hilton Honors: Book Hotels,Hilton,4.5501976
com.priceline.android.negotiator,"Priceline: Hotel, Flight & Car",priceline.com,4.703112
com.spirit.customerapp,Spirit Airlines,Spirit Airlines Inc.,4.7055426
com.relayrides.android.relayrides,Turo - Find your drive,Turo Inc.,4.9071465
com.hcom.android,Hotels.com: Travel Booking,Hotels.com LP,4.0655
com.marriott.mrt,Marriott Bonvoy™,Marriott International,4.788676
gov.dhs.cbp.pspd.mpc,Mobile Passport Control,U.S. Customs and Border Protection,4.689295
com.limebike,Lime - #RideGreen,"Neutron Holdings, Inc.",4.829012
com.flyfrontier.android,Frontier Airlines,Frontier Airlines,4.2690825
com.disney.wdw.android,My Disney Experience,Disney,4.2242684
com.flightradar24free,Flightradar24 Flight Tracker,Flightradar24 AB,4.6678944
com.thedyrt.wayfinder,The Dyrt: Tent & RV Camping,The Dyrt,4.523209
com.alaskaairlines.android,Alaska Airlines - Travel,Alaska Airlines,4.7093906
com.trivago,trivago: Compare hotel prices,trivago,4.4560547
com.carnival.android,Carnival HUB,Carnival Corporation,4.57871
com.rccl.royalcaribbean,Royal Caribbean International,Royal Caribbean Cruises Ltd.,3.7946084
com.jetblue.JetBlueAndroid,JetBlue - Book & manage trips,JetBlue Airways Corporation,4.633934
com.amtrak.rider,Amtrak,Amtrak,4.21877
co.bird.android,Bird — Ride Electric,"Bird Rides, Inc.",4.747151
com.disney.wdpro.dlr,Disneyland®,Disney,4.4486556
com.seaworld.mobile,SeaWorld,SeaWorld Parks & Entertainment Inc.,4.693241
com.valero.wholesale.valeropay,ValeroPay+,Valero Marketing and Supply Company,4.129032
com.greyhound.mobile.consumer,Greyhound: Buy Bus Tickets,Greyhound Lines Inc,4.6022253
com.google.android.apps.mapslite,Google Maps Go,Google LLC,4.3435583
com.sygic.familywhere.android,Find my Phone - Family Locator,FAMILY LOCATOR LLC,4.1026254
com.bah.r1smobile,Recreation.gov,"Booz Allen Hamilton, Inc.",4.789324
gbis.gbandroid,GasBuddy: Find & Pay for Gas,GasBuddy,4.0806365
com.rover.android,Rover - Dog Boarding & Walking,Rover.com,4.74009
com.hertz.android.digital,Hertz Car Rental,The Hertz Corporation,4.320632
com.gps.maps.me.city.navigation.metro.transit.navigation.live.traffic.weather,GPS Offline Maps & Navigation,RCSTUDIOAPPS,4.005917
