APP_ID,TITLE,DEVELOPER,SCORE
com.appsinnova.weatherforecast.liveweather,Live Weather: Radar & Forecast,APPS INNOVA,4.6055274
com.weather.forecast.channel.local,Local Weather - Live Radar,APPS INNOVA,4.4324327
com.weather.Weather,The Weather Channel - Radar,The Weather Channel,4.637533
com.aws.android,Weather by WeatherBug,WeatherBug,4.702162
com.accuweather.android,AccuWeather: Weather Radar,AccuWeather,3.7021713
com.home.weather.radar,Weather Home - Live Radar,My Home Apps,4.5952554
com.accurate.weather.forecast.live,Weather: Live radar & widgets,Weather Forecast & Widget & Radar,4.7721243
com.apalon.weatherradar.free,Clime: NOAA Weather Radar Live,Clime Weather Service,4.3255205
com.weather.forecast.weatherchannel,Weather app,Accurate Weather Forecast & Weather Radar Map,4.658201
com.acmeaom.android.myradar,MyRadar Weather Radar,ACME AtronOmatic LLC,4.446795
com.weather.live.forecast.amwidget,Weather - Live & Forecast,Weather Forecast & Live Weather & Radar & Widgets,4.8173075
de.wetteronline.wetterapp,Weather & Radar - Storm radar,WetterOnline GmbH,4.393892
live.weather.vitality.local.channel.forecast,Local Weather Forecast - Radar,Vitality App Studios,4.8766356
com.channel.liveweather.localweather.weatherforecast.weather,Weather Forecast - Live Radar,PlayStudioInc,4.6732674
com.weather.free.forecast.dailyweather,Daily Weather,P & L Studio,4.48503
live.weather.vitality.studio.forecast.widget,Local Weather Alerts - Widget,Vitality App Studios,4.9135466
com.handmark.expressweather,1Weather Forecasts & Radar,OneLouder Apps,4.5030065
com.windyty.android,Windy.com - Weather Forecast,Windyty SE,4.6042404
weather.forecast.channel.live,Weather Forecast & Channel,Weather 365 Days,4.3465347
com.weather.expressplus.one,Weather+,Lemon Great App,4.519608
co.windyapp.android,Wind speed — Windy.app,Windy Weather World Inc,4.8143177
com.wunderground.android.weather,Weather data & microclimate : ,Weather Underground,4.718966
com.wwrdev.weather,Weather Forecast - Radar & Map,Ace Weather Team,3.99
com.bandroiday.projects.weather,Today Weather- Live & Accurate,MobiSmart Studio,4.415385
com.channel.live.accuate.forecast.weather,Weather Live - Widgets & Radar,Weather Forecast & Live Weather & Radar & Widgets,4.8458624
asav.roomtemprature,Room Temperature Thermometer,Master Technologis,4.460094
com.accurate.local.weather.forecast.live,Weather app - Radar & Widget,Fillog Studio,4.822418
com.usnaviguide.radar_now,RadarNow! ®,USNaviguide LLC,4.8585463
com.jrustonapps.mylightningtracker,My Lightning Tracker & Alerts,jRustonApps B.V.,4.661069
com.chanel.weather.forecast.accu,Weather forecast,BACHA Soft,4.7537513
com.droid27.transparentclockweather,Transparent clock and weather,MACHAPP Software Ltd,4.431426
life.channel.accurate.local.weather.forecast,Local Weather：Weather Forecast,Enjoy Life Studio,4.8828783
com.weatherradar.liveradar.weathermap,Weather Radar & Weather Live,AVNSoftware Inc.,4.28
com.weawow,Weather & Widget - Weawow,weawow weather app,4.8735094
com.graph.weather.forecast.channel,Weather forecast,smart-pro android apps,4.7224402
com.vietapps.thermometer,Smart thermometer for room,VietApps JSC,3.0736842
com.weathercreative.weatherkitty,Weather Kitty - App & Widget,Weather Creative Inc.,4.9123726
com.accurate.live.weather.widget,Weather Forecast - Live Radar,Z APPs,4.721854
erg.com.nioshheatindex,OSHA NIOSH Heat Safety Tool,Centers for Disease Control and Prevention,3.55
com.focuson.weather,Weather Focus,Salvatore Barrera,4.373134
